family	identity	ink512_before	ink512_after	ink1600_before	ink1600_after	pages
odf	002_advanced_excel_line__ods	0.71	0.71	0.62	0.62	3
odf	006_advanced_excel_scatter__ods	0.64	0.64	0.67	0.67	3
odf	010_advanced_excel_line__ods	0.71	0.71	0.61	0.61	3
odf	014_advanced_excel_scatter__ods	0.66	0.66	0.69	0.69	3
odf	018_advanced_excel_line__ods	0.69	0.69	0.6	0.6	3
odf	022_advanced_excel_scatter__ods	0.65	0.65	0.68	0.68	3
odf	026_advanced_excel_line__ods	0.69	0.69	0.61	0.61	3
odf	030_advanced_excel_scatter__ods	0.65	0.65	0.68	0.68	3
odf	034_advanced_excel_line__ods	0.71	0.71	0.63	0.63	3
odf	171128IPAP__odp	30.98	30.98	25.12	25.35	40
odf	microsoft_learn_multi_chart_examples__ods	1.57	1.57	1.19	1.19	5
ooxml	002_advanced_excel_line__xlsx	0.0	0.0	0.03	0.03	3
ooxml	006_advanced_excel_scatter__xlsx	0.0	0.0	0.69	0.69	3
ooxml	010_advanced_excel_line__xlsx	0.0	0.0	0.06	0.06	3
ooxml	014_advanced_excel_scatter__xlsx	0.24	0.24	0.11	0.11	3
ooxml	018_advanced_excel_line__xlsx	0.0	0.0	0.03	0.03	3
ooxml	022_advanced_excel_scatter__xlsx	0.14	0.14	0.69	0.69	3
ooxml	026_advanced_excel_line__xlsx	0.0	0.0	0.03	0.03	3
ooxml	030_advanced_excel_scatter__xlsx	0.24	0.24	0.11	0.11	3
ooxml	034_advanced_excel_line__xlsx	0.0	0.0	0.06	0.06	3
ooxml	171128IPAP__pptx	10.28	10.29	6.93	6.94	40
ooxml	microsoft_learn_multi_chart_examples__xlsx	0.34	0.35	0.34	0.34	5
ooxml	029_Unit_Circle_Chart_Pie_Theme_8a922142__docx	3.76	0.55	-	-	1
ooxml	028_Unit_Circle_Chart_Optimized_Graph_83d9c756__docx	3.47	3.47	-	-	1
odf	029_Unit_Circle_Chart_Pie_Theme_8a922142__odt	0.79	0.79	-	-	1
odf	028_Unit_Circle_Chart_Optimized_Graph_83d9c756__odt	3.54	1.41	-	-	1
