identity	base|ink|%	after|ink|%	pages	base MAJOR	after MAJOR
6880ac7361ca1b99a9230811_ST Capability List Rev.16 - Web__xlsx	27.04	26.85	217	0	0
wiley-cancelled-title-list__xlsx	0.42	0.01	60	0	0
Special-Procedures_2025-07-10__xls	0.16	0.16	22	0	0
