cells	document	sheet	sheet_state	origin	sqref	formula	hits_value_range	hits_walked_range	hits_print_area	dxf_paints	can_paint
56	sheets/chartset-011/xlsx/066_Agile_Gantt_chart_08f9de45.xlsx	Color	visible	main	I36:BL36	"AND(#REF!=""High Risk"",I$7>=#REF!,I$7<=#REF!+#REF!-1)"	yes	yes	n/a	yes	yes
56	sheets/chartset-011/xlsx/066_Agile_Gantt_chart_08f9de45.xlsx	Color	visible	main	I36:BL36	"AND(#REF!=""On Track"",I$7>=#REF!,I$7<=#REF!+#REF!-1)"	yes	yes	n/a	yes	yes
56	sheets/chartset-011/xlsx/066_Agile_Gantt_chart_08f9de45.xlsx	Color	visible	main	I36:BL36	"AND(#REF!=""Med Risk"",I$7>=#REF!,I$7<=#REF!+#REF!-1)"	yes	yes	n/a	yes	yes
56	sheets/chartset-011/xlsx/066_Agile_Gantt_chart_08f9de45.xlsx	Color	visible	main	I36:BL36	AND(LEN(#REF!)=0,I$7>=#REF!,I$7<=#REF!+#REF!-1)	yes	yes	n/a	yes	yes
56	sheets/chartset-011/xlsx/066_Agile_Gantt_chart_08f9de45.xlsx	Color	visible	main	I6:BL6	AND(I$7<=EOMONTH($I$7,1),I$7>EOMONTH($I$7,0))	yes	yes	n/a	yes	yes
56	sheets/chartset-011/xlsx/066_Agile_Gantt_chart_08f9de45.xlsx	Dark	visible	main	I36:BL36	"AND(#REF!=""Low Risk"",I$7>=#REF!,I$7<=#REF!+#REF!-1)"	yes	yes	n/a	yes	yes
56	sheets/chartset-011/xlsx/066_Agile_Gantt_chart_08f9de45.xlsx	Dark	visible	main	I36:BL36	"AND(#REF!=""High Risk"",I$7>=#REF!,I$7<=#REF!+#REF!-1)"	yes	yes	n/a	yes	yes
56	sheets/chartset-011/xlsx/066_Agile_Gantt_chart_08f9de45.xlsx	Dark	visible	main	I36:BL36	"AND(#REF!=""On Track"",I$7>=#REF!,I$7<=#REF!+#REF!-1)"	yes	yes	n/a	yes	yes
56	sheets/chartset-011/xlsx/066_Agile_Gantt_chart_08f9de45.xlsx	Dark	visible	main	I36:BL36	"AND(#REF!=""Med Risk"",I$7>=#REF!,I$7<=#REF!+#REF!-1)"	yes	yes	n/a	yes	yes
56	sheets/chartset-011/xlsx/066_Agile_Gantt_chart_08f9de45.xlsx	Dark	visible	main	I36:BL36	AND(LEN(#REF!)=0,I$7>=#REF!,I$7<=#REF!+#REF!-1)	yes	yes	n/a	yes	yes
56	sheets/chartset-011/xlsx/066_Agile_Gantt_chart_08f9de45.xlsx	Dark	visible	main	I6:BL6	AND(I$7<=EOMONTH($I$7,1),I$7>EOMONTH($I$7,0))	yes	yes	n/a	yes	yes
56	sheets/chartset-011/xlsx/066_Agile_Gantt_chart_08f9de45.xlsx	Light	visible	main	I36:BL36	"AND(#REF!=""Low Risk"",I$7>=#REF!,I$7<=#REF!+#REF!-1)"	yes	yes	n/a	yes	yes
56	sheets/chartset-011/xlsx/066_Agile_Gantt_chart_08f9de45.xlsx	Light	visible	main	I36:BL36	"AND(#REF!=""High Risk"",I$7>=#REF!,I$7<=#REF!+#REF!-1)"	yes	yes	n/a	yes	yes
56	sheets/chartset-011/xlsx/066_Agile_Gantt_chart_08f9de45.xlsx	Light	visible	main	I36:BL36	"AND(#REF!=""On Track"",I$7>=#REF!,I$7<=#REF!+#REF!-1)"	yes	yes	n/a	yes	yes
56	sheets/chartset-011/xlsx/066_Agile_Gantt_chart_08f9de45.xlsx	Light	visible	main	I36:BL36	"AND(#REF!=""Med Risk"",I$7>=#REF!,I$7<=#REF!+#REF!-1)"	yes	yes	n/a	yes	yes
56	sheets/chartset-011/xlsx/066_Agile_Gantt_chart_08f9de45.xlsx	Light	visible	main	I36:BL36	AND(LEN(#REF!)=0,I$7>=#REF!,I$7<=#REF!+#REF!-1)	yes	yes	n/a	yes	yes
56	sheets/chartset-011/xlsx/066_Agile_Gantt_chart_08f9de45.xlsx	Light	visible	main	I6:BL6	AND(I$7<=EOMONTH($I$7,1),I$7>EOMONTH($I$7,0))	yes	yes	n/a	yes	yes
55	sheets/chartset-011/xlsx/066_Agile_Gantt_chart_08f9de45.xlsx	Color	visible	main	J6:BL6	AND(J$7<=EOMONTH($I$7,2),J$7>EOMONTH($I$7,0),J$7>EOMONTH($I$7,1))	yes	yes	n/a	yes	yes
55	sheets/chartset-011/xlsx/066_Agile_Gantt_chart_08f9de45.xlsx	Dark	visible	main	J6:BL6	AND(J$7<=EOMONTH($I$7,2),J$7>EOMONTH($I$7,0),J$7>EOMONTH($I$7,1))	yes	yes	n/a	yes	yes
55	sheets/chartset-011/xlsx/066_Agile_Gantt_chart_08f9de45.xlsx	Light	visible	main	J6:BL6	AND(J$7<=EOMONTH($I$7,2),J$7>EOMONTH($I$7,0),J$7>EOMONTH($I$7,1))	yes	yes	n/a	yes	yes
