document	sheet	sheet_state	origin	sqref	cells	dxfId	priority	accepted	formula_count	formula	hits_value_range	hits_walked_range	hits_print_area	dxf_paints	value_range	walked_range
sheets/chartset-005/xlsx/074_Idea_planner_bacaa123.xlsx	Idea planner	visible	main	F9:F12	4	10	1	yes	1	"$F9=""complete"""	yes	yes	n/a	yes	A1:H13	A1:J13
sheets/chartset-005/xlsx/074_Idea_planner_bacaa123.xlsx	Idea planner	visible	main	F9:F12	4	9	2	yes	1	"$F9=""not started"""	yes	yes	n/a	yes	A1:H13	A1:J13
sheets/chartset-006/xlsx/044_Cash_flow_forecast_Use_this_template_b8fa1f35.xlsx	Cash flow forecast	visible	main	C8:N8	12	1	1	no	1	C8<Cash_Minimum	yes	yes	n/a	yes	B1:P66	A1:XFD66
sheets/chartset-006/xlsx/088_To-do_list_with_progress_tracker_Use_this_template_8c438912.xlsx	To-Do List	visible	main	B3:I7	40	0	4	no	1	"AND($G3=0,$G3<>"""")"	yes	yes	n/a	yes	B1:I7	A1:J7
sheets/chartset-007/xlsx/037_Personal_money_tracker_a57957bb.xlsx	Cash summary	visible	main	B22	1	92	7	yes	1	$B$22>=0.5	yes	yes	n/a	yes	B1:G22	A1:L23
sheets/chartset-007/xlsx/037_Personal_money_tracker_a57957bb.xlsx	Cash summary	visible	main	B22	1	91	8	no	1	AND($B$22>=0.25,$B$22<0.5)	yes	yes	n/a	yes	B1:G22	A1:L23
sheets/chartset-007/xlsx/037_Personal_money_tracker_a57957bb.xlsx	Cash summary	visible	main	B22	1	90	9	yes	1	$B$22<0.25	yes	yes	n/a	yes	B1:G22	A1:L23
sheets/chartset-007/xlsx/040_Blood_pressure_tracker_872b6833.xlsx	BLOOD PRESSURE DATA	visible	main	F12:F19	8	8	3	no	1	F12>MaxDiastolic	yes	yes	n/a	yes	B1:H20	A1:I20
sheets/chartset-007/xlsx/040_Blood_pressure_tracker_872b6833.xlsx	BLOOD PRESSURE DATA	visible	main	E12:E19	8	7	4	no	1	E12>MaxSystolic	yes	yes	n/a	yes	B1:H20	A1:I20
sheets/chartset-007/xlsx/050_Financial_vision_d44241e1.xlsx	Financial vision	visible	main	D11	1	3	3	yes	1	D11<=0	yes	yes	n/a	yes	C2:I21	A1:K23
sheets/chartset-007/xlsx/050_Financial_vision_d44241e1.xlsx	Financial vision	visible	main	D11	1	2	4	yes	1	D11>0	yes	yes	n/a	yes	C2:I21	A1:K23
sheets/chartset-007/xlsx/050_Financial_vision_d44241e1.xlsx	Financial vision	visible	main	F11	1	1	1	yes	1	F11<=0	yes	yes	n/a	yes	C2:I21	A1:K23
sheets/chartset-007/xlsx/050_Financial_vision_d44241e1.xlsx	Financial vision	visible	main	F11	1	0	2	yes	1	F11>0	yes	yes	n/a	yes	C2:I21	A1:K23
sheets/chartset-007/xlsx/082_Project_to_do_list_28f80082.xlsx	To Do List	visible	main	B8:G16	54	0	2	no	1	AND($C8>=valHStart, $C8<=valHEnd)	yes	yes	yes	yes	B1:H16	A1:XFD100
sheets/chartset-007/xlsx/083_Project_tracker_Use_this_template_b38d057c.xlsx	Project tracker	visible	main	K5:K13	9	5	1	no	1	(ABS((K5-G5))/G5)>FlagPercent	yes	yes	n/a	yes	B2:M13	A1:XFD14
sheets/chartset-007/xlsx/083_Project_tracker_Use_this_template_b38d057c.xlsx	Project tracker	visible	main	L5:L13	9	4	2	no	1	(ABS((L5-H5))/H5)>FlagPercent	yes	yes	n/a	yes	B2:M13	A1:XFD14
sheets/chartset-008/xlsx/023_Waterfall_Chart_Template_for_Excel_349f7689.xlsx	Waterfall1	visible	main	K27:K35 D27:I35 D38:I38 K38	70	7	10	no	1	ISERROR(D27)	yes	yes	yes	yes	A3:M38	A1:M38
sheets/chartset-008/xlsx/023_Waterfall_Chart_Template_for_Excel_349f7689.xlsx	Waterfall1	visible	main	K36:K37 D36:I37	14	6	7	no	1	ISERROR(D36)	yes	yes	yes	yes	A3:M38	A1:M38
sheets/chartset-008/xlsx/023_Waterfall_Chart_Template_for_Excel_349f7689.xlsx	Waterfall1	visible	main	J27:J38	12	5	5	no	1	ISERROR(J27)	yes	yes	yes	yes	A3:M38	A1:M38
sheets/chartset-008/xlsx/023_Waterfall_Chart_Template_for_Excel_349f7689.xlsx	Waterfall2	visible	main	M27:N38 D27:K27 D28:J38	109	4	8	no	1	ISERROR(D27)	yes	yes	yes	yes	A3:P38	A1:XFD38
sheets/chartset-008/xlsx/023_Waterfall_Chart_Template_for_Excel_349f7689.xlsx	Waterfall2	visible	main	K38:L38	2	3	1	no	1	ISERROR(K38)	yes	yes	yes	yes	A3:P38	A1:XFD38
sheets/chartset-008/xlsx/023_Waterfall_Chart_Template_for_Excel_349f7689.xlsx	Waterfall2	visible	main	L27	1	2	4	no	1	ISERROR(L27)	yes	yes	yes	yes	A3:P38	A1:XFD38
sheets/chartset-008/xlsx/023_Waterfall_Chart_Template_for_Excel_349f7689.xlsx	Waterfall2	visible	main	L28:L37	10	1	3	no	1	ISERROR(L28)	yes	yes	yes	yes	A3:P38	A1:XFD38
sheets/chartset-008/xlsx/023_Waterfall_Chart_Template_for_Excel_349f7689.xlsx	Waterfall2	visible	main	K28:K37	10	0	2	no	1	ISERROR(K28)	yes	yes	yes	yes	A3:P38	A1:XFD38
sheets/chartset-009/xlsx/015_Free_Gantt_Chart_Template_for_Excel_414e86bf.xlsx	GanttChart	visible	main	K6:BN7	112	3	53	no	1	K$6=TODAY()	yes	yes	yes	yes	A1:BN44	A1:BN44
sheets/chartset-009/xlsx/015_Free_Gantt_Chart_Template_for_Excel_414e86bf.xlsx	GanttChart	visible	main	K6:BN43	2128	2	16	no	1	K$6=TODAY()	yes	yes	yes	no	A1:BN44	A1:BN44
sheets/chartset-009/xlsx/015_Free_Gantt_Chart_Template_for_Excel_414e86bf.xlsx	GanttChart	visible	main	K8:BN43	2016	1	56	no	1	AND($E8<=K$6,ROUNDDOWN(($F8-$E8+1)*$H8,0)+$E8-1>=K$6)	yes	yes	yes	yes	A1:BN44	A1:BN44
sheets/chartset-009/xlsx/015_Free_Gantt_Chart_Template_for_Excel_414e86bf.xlsx	GanttChart	visible	main	K8:BN43	2016	0	57	no	1	AND(NOT(ISBLANK($E8)),$E8<=K$6,$F8>=K$6)	yes	yes	yes	yes	A1:BN44	A1:BN44
sheets/chartset-009/xlsx/024_Free_Kids_Chore_Chart_Template_ad74bb34.xlsx	ChoreChart	visible	main	B5:J13	81	1	1	no	1	MOD(ROW(),2)=0	yes	yes	yes	yes	B2:J25	A1:M25
sheets/chartset-009/xlsx/024_Free_Kids_Chore_Chart_Template_ad74bb34.xlsx	BW	visible	main	B5:J13	81	0	1	no	1	MOD(ROW(),2)=0	yes	yes	yes	yes	B2:J25	A1:M25
sheets/chartset-009/xlsx/075_Idea_planner_tasks_f44ebd73.xlsx	Idea Planner	visible	main	F7:F10	4	2	1	yes	1	F7=1	yes	yes	n/a	yes	B2:G10	A1:H10
sheets/chartset-009/xlsx/075_Idea_planner_tasks_f44ebd73.xlsx	Idea Planner	visible	main	F7:F10	4	1	2	yes	1	F7=0	yes	yes	n/a	yes	B2:G10	A1:H10
sheets/chartset-009/xlsx/075_Idea_planner_tasks_f44ebd73.xlsx	Idea Planner	visible	main	F7:F10	4	0	3	yes	1	F7=-1	yes	yes	n/a	yes	B2:G10	A1:H10
sheets/chartset-009/xlsx/081_Project_performance_report_Use_this_template_be2468b3.xlsx	Performance report	visible	main	J5:M22 R5:S22	108	19	1	yes	1	J5<0	yes	yes	yes	yes	B1:U22	A1:W22
sheets/chartset-009/xlsx/081_Project_performance_report_Use_this_template_be2468b3.xlsx	Performance report	visible	main	U5:U22	18	18	4	yes	1	"$U5=""BLACK"""	yes	yes	yes	yes	B1:U22	A1:W22
sheets/chartset-009/xlsx/081_Project_performance_report_Use_this_template_be2468b3.xlsx	Performance report	visible	main	U5:U22	18	17	5	yes	1	"$U5=""GREEN"""	yes	yes	yes	yes	B1:U22	A1:W22
sheets/chartset-009/xlsx/081_Project_performance_report_Use_this_template_be2468b3.xlsx	Performance report	visible	main	U5:U22	18	16	6	yes	1	"$U5=""RED"""	yes	yes	yes	yes	B1:U22	A1:W22
sheets/chartset-009/xlsx/081_Project_performance_report_Use_this_template_be2468b3.xlsx	Performance report	visible	main	U5:U22	18	15	7	yes	1	"$U5=""ORANGE"""	yes	yes	yes	yes	B1:U22	A1:W22
sheets/chartset-009/xlsx/081_Project_performance_report_Use_this_template_be2468b3.xlsx	Performance report	visible	main	U5:U22	18	14	8	yes	1	"$U5="""""	yes	yes	yes	yes	B1:U22	A1:W22
sheets/chartset-009/xlsx/085_Simple_Gantt_chart_d65b8377.xlsx	Project schedule	visible	main	I9:BL13	280	8	6	no	1	AND(task_start<=I$5,ROUNDDOWN((task_end-task_start+1)*task_progress,0)+task_start-1>=I$5)	yes	yes	n/a	yes	A1:BL33	A1:BM36
sheets/chartset-009/xlsx/085_Simple_Gantt_chart_d65b8377.xlsx	Project schedule	visible	main	I9:BL13	280	7	7	no	1	AND(task_end>=I$5,task_start<J$5)	yes	yes	n/a	yes	A1:BL33	A1:BM36
sheets/chartset-009/xlsx/085_Simple_Gantt_chart_d65b8377.xlsx	Project schedule	visible	main	I15:BL19	280	6	4	no	1	AND(task_start<=I$5,ROUNDDOWN((task_end-task_start+1)*task_progress,0)+task_start-1>=I$5)	yes	yes	n/a	yes	A1:BL33	A1:BM36
sheets/chartset-009/xlsx/085_Simple_Gantt_chart_d65b8377.xlsx	Project schedule	visible	main	I15:BL19	280	5	5	no	1	AND(task_end>=I$5,task_start<J$5)	yes	yes	n/a	yes	A1:BL33	A1:BM36
sheets/chartset-009/xlsx/085_Simple_Gantt_chart_d65b8377.xlsx	Project schedule	visible	main	I21:BL25	280	4	2	no	1	AND(task_start<=I$5,ROUNDDOWN((task_end-task_start+1)*task_progress,0)+task_start-1>=I$5)	yes	yes	n/a	yes	A1:BL33	A1:BM36
sheets/chartset-009/xlsx/085_Simple_Gantt_chart_d65b8377.xlsx	Project schedule	visible	main	I21:BL25	280	3	3	no	1	AND(task_end>=I$5,task_start<J$5)	yes	yes	n/a	yes	A1:BL33	A1:BM36
sheets/chartset-009/xlsx/085_Simple_Gantt_chart_d65b8377.xlsx	Project schedule	visible	main	I27:BL31	280	2	36	no	1	AND(task_start<=I$5,ROUNDDOWN((task_end-task_start+1)*task_progress,0)+task_start-1>=I$5)	yes	yes	n/a	yes	A1:BL33	A1:BM36
sheets/chartset-009/xlsx/085_Simple_Gantt_chart_d65b8377.xlsx	Project schedule	visible	main	I27:BL31	280	1	37	no	1	AND(task_end>=I$5,task_start<J$5)	yes	yes	n/a	yes	A1:BL33	A1:BM36
sheets/chartset-009/xlsx/085_Simple_Gantt_chart_d65b8377.xlsx	Project schedule	visible	main	I4:BL31 I21:BL25 I15:BL19 I9:BL13 I27:BL31	2688	0	1	no	1	AND(TODAY()>=I$5, TODAY()<J$5)	yes	yes	n/a	no	A1:BL33	A1:BM36
sheets/chartset-010/xlsx/047_Date_tracker_Gantt_chart_bf34f3a8.xlsx	Gantt Chart	visible	main	C2:O2	13	0	4	no	1	#REF!<=TODAY()+7	no	yes	n/a	yes	A1:A1	A1:R3
sheets/chartset-010/xlsx/069_Blue_modern_balance_sheet_Use_this_template_6b4d70d3.xlsx	Summary	visible	main	C12	1	5	1	yes	1	$C$12>$C$11	yes	yes	n/a	yes	B2:D13	A1:E14
sheets/chartset-010/xlsx/069_Blue_modern_balance_sheet_Use_this_template_6b4d70d3.xlsx	Summary	visible	main	C12	1	4	2	yes	1	$C$12<$C$11	yes	yes	n/a	yes	B2:D13	A1:E14
sheets/chartset-010/xlsx/069_Blue_modern_balance_sheet_Use_this_template_6b4d70d3.xlsx	Summary	visible	main	C12	1	3	3	yes	1	$C$12=$C$11	yes	yes	n/a	yes	B2:D13	A1:E14
sheets/chartset-010/xlsx/069_Blue_modern_balance_sheet_Use_this_template_6b4d70d3.xlsx	Summary	visible	main	D12	1	2	5	yes	1	$D$12>$D$11	yes	yes	n/a	yes	B2:D13	A1:E14
sheets/chartset-010/xlsx/069_Blue_modern_balance_sheet_Use_this_template_6b4d70d3.xlsx	Summary	visible	main	D12	1	1	6	yes	1	$D$12<$D$11	yes	yes	n/a	yes	B2:D13	A1:E14
sheets/chartset-010/xlsx/069_Blue_modern_balance_sheet_Use_this_template_6b4d70d3.xlsx	Summary	visible	main	D12	1	0	7	yes	1	$D$12=$D$11	yes	yes	n/a	yes	B2:D13	A1:E14
sheets/chartset-010/xlsx/072_Gantt_project_planner_dde00e33.xlsx	Project Planner	visible	main	H5:BO30	1560	9	1	no	1	PercentComplete	yes	yes	n/a	yes	B1:BO30	A1:BO30
sheets/chartset-010/xlsx/072_Gantt_project_planner_dde00e33.xlsx	Project Planner	visible	main	H5:BO30	1560	8	3	no	1	PercentCompleteBeyond	yes	yes	n/a	yes	B1:BO30	A1:BO30
