make-bullet-probe.py: the bullet's baseline less its paragraph's first baseline, over
the stated size and the stated line spacing, a:noAutofit throughout.  The ppt block is
the same deck converted by 26.2.4.2.  Nothing here is out by more than 0.057 pt at the
HEAD, and nothing was at the base either -- which is why round 100 had to add the autofit
variable; see bullet-fit-probe.txt.  This table is the control that says the stated size
and the stated line spacing are NOT where the corpus bullet residual lives.

=== pptx
   sz  lnSpc%  26.2.4.2     head   delta  refPitch
   12       0     1.927    1.984  +0.057    14.400
   12      70     2.296    2.353  +0.057    10.091
   12      80     2.041    2.098  +0.057    11.509
   12      90     1.758    1.814  +0.056    12.954
   12     100     1.927    1.984  +0.057    14.400
   12     120     1.927    1.984  +0.057    17.263
   18       0     2.948    2.920  -0.028    21.600
   18      70     3.544    3.515  -0.029    15.108
   18      80     3.090    3.061  -0.029    17.291
   18      90     2.665    2.636  -0.029    19.446
   18     100     2.948    2.920  -0.028    21.600
   18     120     2.948    2.920  -0.028    25.909
   24       0     3.912    3.883  -0.029    28.800
   24      70     4.677    4.649  -0.028    20.154
   24      80     4.082    4.053  -0.029    23.046
   24      90     3.543    3.515  -0.028    25.909
   24     100     3.912    3.883  -0.029    28.800
   24     120     3.911    3.883  -0.028    34.555
   36       0     5.811    5.839  +0.028    43.200
   36      70     6.945    6.973  +0.028    30.246
   36      80     6.094    6.123  +0.029    34.555
   36      90     5.216    5.244  +0.028    38.891
   36     100     5.811    5.839  +0.028    43.200
   36     120     5.811    5.839  +0.028    51.817
  beyond 0.10 pt: 0 of 24

=== ppt
   sz  lnSpc%  26.2.4.2     head   delta  refPitch
   12       0     1.928    1.984  +0.056    14.627
   12      70     2.296    2.353  +0.057    10.318
   12      80     2.041    2.098  +0.057    11.735
   12      90     1.757    1.814  +0.057    13.181
   12     100     1.928    1.984  +0.056    14.627
   12     120     1.928    1.984  +0.056    17.490
   18       0     2.948    2.920  -0.028    21.827
   18      70     3.543    3.515  -0.028    15.336
   18      80     3.089    3.061  -0.028    17.519
   18      90     2.665    2.636  -0.029    19.672
   18     100     2.948    2.920  -0.028    21.827
   18     120     2.948    2.920  -0.028    26.135
   24       0     3.912    3.883  -0.029    29.027
   24      70     4.677    4.649  -0.028    20.382
   24      80     4.082    4.053  -0.029    23.272
   24      90     3.543    3.515  -0.028    26.135
   24     100     3.912    3.883  -0.029    29.027
   24     120     3.912    3.883  -0.029    34.781
   36       0     5.811    5.839  +0.028    43.427
   36      70     6.945    6.973  +0.028    30.472
   36      80     6.094    6.123  +0.029    34.781
   36      90     5.215    5.244  +0.029    39.119
   36     100     5.811    5.839  +0.028    43.427
   36     120     5.811    5.839  +0.028    52.044
  beyond 0.10 pt: 0 of 24

