doc	part	holder	depth	alt	pos	has_wh	w	h	left	top	frm	to	parse	strokeweight	strokecolor	stroked	strokeoff	fullpath
ABCD-FE-01-00 Flight Envelope - v1 08.03.16.docx	word/footer2.xml	w:pict	top	fallback	absolute	0	-	-	-	-	-.2pt,1.55pt	509.45pt,1.55pt	1	1pt	white	-	0	/home/user/sample-files/words/ceiling-001/docx/ABCD-FE-01-00 Flight Envelope - v1 08.03.16.docx
ABCD-FE-01-00 Flight Envelope - v1 08.03.16.docx	word/footer1.xml	w:pict	top	fallback	absolute	0	-	-	-	-	1pt,1.9pt	510.65pt,1.9pt	1	1pt	white	-	0	/home/user/sample-files/words/ceiling-001/docx/ABCD-FE-01-00 Flight Envelope - v1 08.03.16.docx
AW-104D-RVSM-Aircraft-Approval-Checklist.pdf.docx	word/footer1.xml	w:pict	top	fallback	absolute	0	-	-	-	-	3.25pt,-1.75pt	514.05pt,-.4pt	1	.25pt	black [3200]	-	0	/home/user/sample-files/words/ceiling-001/docx/AW-104D-RVSM-Aircraft-Approval-Checklist.pdf.docx
AW-104D-RVSM-Aircraft-Approval-Checklist.pdf.docx	word/footer2.xml	w:pict	top	fallback	absolute	0	-	-	-	-	3.95pt,-1.8pt	513.4pt,-1.1pt	1	.25pt	black [3200]	-	0	/home/user/sample-files/words/ceiling-001/docx/AW-104D-RVSM-Aircraft-Approval-Checklist.pdf.docx
003_Free_Genogram_Diagram_Template_Easy_Format_60eb6e42.docx	word/document.xml	w:pict	group	fallback	absolute	0	-	-	-	-	9518,1848	15459,8258	1	.5pt	#00b050	-	0	/home/user/sample-files/words/chartset-005/docx/003_Free_Genogram_Diagram_Template_Easy_Format_60eb6e42.docx
003_Free_Genogram_Diagram_Template_Easy_Format_60eb6e42.docx	word/document.xml	w:pict	group	fallback	absolute	0	-	-	-	-	9287,1221	15441,8150	1	.5pt	#00b050	-	0	/home/user/sample-files/words/chartset-005/docx/003_Free_Genogram_Diagram_Template_Easy_Format_60eb6e42.docx
003_Free_Genogram_Diagram_Template_Easy_Format_60eb6e42.docx	word/document.xml	w:pict	group	fallback	absolute	0	-	-	-	-	14977,12770	21657,12770	1	-	#00b050	-	0	/home/user/sample-files/words/chartset-005/docx/003_Free_Genogram_Diagram_Template_Easy_Format_60eb6e42.docx
003_Free_Genogram_Diagram_Template_Easy_Format_60eb6e42.docx	word/document.xml	w:pict	group	fallback	absolute	0	-	-	-	-	6463,12770	10897,12770	1	-	#00b050	-	0	/home/user/sample-files/words/chartset-005/docx/003_Free_Genogram_Diagram_Template_Easy_Format_60eb6e42.docx
003_Free_Genogram_Diagram_Template_Easy_Format_60eb6e42.docx	word/document.xml	w:pict	group	fallback	absolute	0	-	-	-	-	42040,4887	42040,8315	1	.5pt	#00b050	-	0	/home/user/sample-files/words/chartset-005/docx/003_Free_Genogram_Diagram_Template_Easy_Format_60eb6e42.docx
003_Free_Genogram_Diagram_Template_Easy_Format_60eb6e42.docx	word/document.xml	w:pict	group	fallback	absolute	0	-	-	-	-	16553,4887	41939,4887	1	.5pt	#00b050	-	0	/home/user/sample-files/words/chartset-005/docx/003_Free_Genogram_Diagram_Template_Easy_Format_60eb6e42.docx
003_Free_Genogram_Diagram_Template_Easy_Format_60eb6e42.docx	word/document.xml	w:pict	group	fallback	absolute	0	-	-	-	-	16553,4887	16553,7828	1	.5pt	#00b050	-	0	/home/user/sample-files/words/chartset-005/docx/003_Free_Genogram_Diagram_Template_Easy_Format_60eb6e42.docx
003_Free_Genogram_Diagram_Template_Easy_Format_60eb6e42.docx	word/document.xml	w:pict	group	fallback	absolute	0	-	-	-	-	16869,15607	16887,22352	1	-	#00b050	-	0	/home/user/sample-files/words/chartset-005/docx/003_Free_Genogram_Diagram_Template_Easy_Format_60eb6e42.docx
003_Free_Genogram_Diagram_Template_Easy_Format_60eb6e42.docx	word/document.xml	w:pict	group	fallback	absolute	0	-	-	-	-	2837,22387	16879,22387	1	-	#00b050	-	0	/home/user/sample-files/words/chartset-005/docx/003_Free_Genogram_Diagram_Template_Easy_Format_60eb6e42.docx
003_Free_Genogram_Diagram_Template_Easy_Format_60eb6e42.docx	word/document.xml	w:pict	group	fallback	absolute	0	-	-	-	-	2837,14819	2837,22425	1	-	#00b050	-	0	/home/user/sample-files/words/chartset-005/docx/003_Free_Genogram_Diagram_Template_Easy_Format_60eb6e42.docx
003_Free_Genogram_Diagram_Template_Easy_Format_60eb6e42.docx	word/document.xml	w:pict	group	fallback	absolute	0	-	-	-	-	21756,0	21756,4889	1	.5pt	#00b050	-	0	/home/user/sample-files/words/chartset-005/docx/003_Free_Genogram_Diagram_Template_Easy_Format_60eb6e42.docx
003_Free_Genogram_Diagram_Template_Easy_Format_60eb6e42.docx	word/document.xml	w:pict	group	fallback	absolute	0	-	-	-	-	-2957,12887	9887,12887	1	.5pt	#00b050	-	0	/home/user/sample-files/words/chartset-005/docx/003_Free_Genogram_Diagram_Template_Easy_Format_60eb6e42.docx
003_Free_Genogram_Diagram_Template_Easy_Format_60eb6e42.docx	word/document.xml	w:pict	group	fallback	absolute	0	-	-	-	-	3468,13558	3468,33457	1	.5pt	#00b050	-	0	/home/user/sample-files/words/chartset-005/docx/003_Free_Genogram_Diagram_Template_Easy_Format_60eb6e42.docx
003_Free_Genogram_Diagram_Template_Easy_Format_60eb6e42.docx	word/document.xml	w:pict	group	fallback	absolute	0	-	-	-	-	-8976,9768	-8976,16681	1	.5pt	#00b050	-	0	/home/user/sample-files/words/chartset-005/docx/003_Free_Genogram_Diagram_Template_Easy_Format_60eb6e42.docx
003_Free_Genogram_Diagram_Template_Easy_Format_60eb6e42.docx	word/document.xml	w:pict	group	fallback	absolute	0	-	-	-	-	14125,16638	14125,21905	1	.5pt	#00b050	-	0	/home/user/sample-files/words/chartset-005/docx/003_Free_Genogram_Diagram_Template_Easy_Format_60eb6e42.docx
003_Free_Genogram_Diagram_Template_Easy_Format_60eb6e42.docx	word/document.xml	w:pict	group	fallback	absolute	0	-	-	-	-	24699,10285	24699,16657	1	.5pt	#00b050	-	0	/home/user/sample-files/words/chartset-005/docx/003_Free_Genogram_Diagram_Template_Easy_Format_60eb6e42.docx
003_Free_Genogram_Diagram_Template_Easy_Format_60eb6e42.docx	word/document.xml	w:pict	group	fallback	absolute	0	-	-	-	-	-9018,16638	24740,16638	1	.5pt	#00b050	-	0	/home/user/sample-files/words/chartset-005/docx/003_Free_Genogram_Diagram_Template_Easy_Format_60eb6e42.docx
003_Free_Genogram_Diagram_Template_Easy_Format_60eb6e42.docx	word/document.xml	w:pict	group	fallback	absolute	0	-	-	-	-	0,19436	0,26170	1	.5pt	#00b050	-	0	/home/user/sample-files/words/chartset-005/docx/003_Free_Genogram_Diagram_Template_Easy_Format_60eb6e42.docx
003_Free_Genogram_Diagram_Template_Easy_Format_60eb6e42.docx	word/document.xml	w:pict	group	fallback	absolute	0	-	-	-	-	-118,19446	-62,25949	1	.5pt	#00b050	-	0	/home/user/sample-files/words/chartset-005/docx/003_Free_Genogram_Diagram_Template_Easy_Format_60eb6e42.docx
