doc	part	requires	vlines_in_fallback	choice_holds
004_Free_Genogram_Diagram_Template_Editable_Format_b82b6152.docx	word/document.xml	wps	1	cNvCnPr,prstGeom:line,wsp
004_Free_Genogram_Diagram_Template_Editable_Format_b82b6152.docx	word/document.xml	wps	1	cNvCnPr,prstGeom:line,wsp
004_Free_Genogram_Diagram_Template_Editable_Format_b82b6152.docx	word/document.xml	wps	1	cNvCnPr,prstGeom:line,wsp
004_Free_Genogram_Diagram_Template_Editable_Format_b82b6152.docx	word/document.xml	wps	1	cNvCnPr,prstGeom:line,wsp
004_Free_Genogram_Diagram_Template_Editable_Format_b82b6152.docx	word/document.xml	wps	1	cNvCnPr,prstGeom:line,wsp
004_Free_Genogram_Diagram_Template_Editable_Format_b82b6152.docx	word/document.xml	wps	1	cNvCnPr,prstGeom:line,wsp
004_Free_Genogram_Diagram_Template_Editable_Format_b82b6152.docx	word/document.xml	wps	1	cNvCnPr,prstGeom:line,wsp
004_Free_Genogram_Diagram_Template_Editable_Format_b82b6152.docx	word/document.xml	wps	1	cNvCnPr,prstGeom:line,wsp
004_Free_Genogram_Diagram_Template_Editable_Format_b82b6152.docx	word/document.xml	wps	1	cNvCnPr,prstGeom:line,wsp
004_Free_Genogram_Diagram_Template_Editable_Format_b82b6152.docx	word/document.xml	wps	1	cNvCnPr,prstGeom:line,wsp
006_Free_Genogram_Diagram_Template_Fillable_Format_7ca08541.docx	word/document.xml	wpg	2	cNvCnPr,prstGeom:line,wgp,wsp
006_Free_Genogram_Diagram_Template_Fillable_Format_7ca08541.docx	word/document.xml	wps	1	cNvCnPr,prstGeom:line,wsp
006_Free_Genogram_Diagram_Template_Fillable_Format_7ca08541.docx	word/document.xml	wps	1	cNvCnPr,prstGeom:line,wsp
006_Free_Genogram_Diagram_Template_Fillable_Format_7ca08541.docx	word/document.xml	wpg	38	cNvCnPr,prstGeom:ellipse,prstGeom:line,prstGeom:rect,wgp,wsp
010_Free_Genogram_Diagram_Template_Yellow_Theme_6ee4f818.docx	word/document.xml	wpg	18	cNvCnPr,prstGeom:ellipse,prstGeom:line,prstGeom:rect,prstGeom:triangle,wgp,wsp
010_Free_Genogram_Diagram_Template_Yellow_Theme_6ee4f818.docx	word/document.xml	wpg	57	cNvCnPr,prstGeom:ellipse,prstGeom:line,prstGeom:rect,prstGeom:triangle,wgp,wsp
010_Free_Genogram_Diagram_Template_Yellow_Theme_6ee4f818.docx	word/document.xml	wpg	12	cNvCnPr,prstGeom:line,wgp,wsp
010_Free_Genogram_Diagram_Template_Yellow_Theme_6ee4f818.docx	word/document.xml	wpg	2	cNvCnPr,prstGeom:line,wgp,wsp
010_Free_Genogram_Diagram_Template_Yellow_Theme_6ee4f818.docx	word/document.xml	wps	1	cNvCnPr,prstGeom:line,wsp
010_Free_Genogram_Diagram_Template_Yellow_Theme_6ee4f818.docx	word/document.xml	wps	1	cNvCnPr,prstGeom:line,wsp
010_Free_Genogram_Diagram_Template_Yellow_Theme_6ee4f818.docx	word/document.xml	wps	1	cNvCnPr,prstGeom:line,wsp
010_Free_Genogram_Diagram_Template_Yellow_Theme_6ee4f818.docx	word/document.xml	wps	1	cNvCnPr,prstGeom:line,wsp
010_Free_Genogram_Diagram_Template_Yellow_Theme_6ee4f818.docx	word/document.xml	wps	1	cNvCnPr,prstGeom:line,wsp
016_Project_Timeline_Template_Complete_Guide_7d36d09c.docx	word/document.xml	wps	1	cNvCnPr,prstGeom:line,wsp
016_Project_Timeline_Template_Complete_Guide_7d36d09c.docx	word/document.xml	wps	1	cNvCnPr,prstGeom:line,wsp
046_Visual_Product_Roadmap_Template_Fillable_Format_582acab0.docx	word/document.xml	wps	1	cNvCnPr,prstGeom:line,wsp
046_Visual_Product_Roadmap_Template_Fillable_Format_582acab0.docx	word/document.xml	wps	1	cNvCnPr,prstGeom:line,wsp
046_Visual_Product_Roadmap_Template_Fillable_Format_582acab0.docx	word/document.xml	wps	1	cNvCnPr,prstGeom:line,wsp
046_Visual_Product_Roadmap_Template_Fillable_Format_582acab0.docx	word/document.xml	wps	1	cNvCnPr,prstGeom:line,wsp
046_Visual_Product_Roadmap_Template_Fillable_Format_582acab0.docx	word/document.xml	wps	1	cNvCnPr,prstGeom:line,wsp
046_Visual_Product_Roadmap_Template_Fillable_Format_582acab0.docx	word/document.xml	wps	1	cNvCnPr,prstGeom:line,wsp
007_Free_Genogram_Diagram_Template_Green_and_Purple_Theme_8d2ba829.docx	word/document.xml	wps	1	cNvCnPr,prstGeom:line,wsp
007_Free_Genogram_Diagram_Template_Green_and_Purple_Theme_8d2ba829.docx	word/document.xml	wps	1	cNvCnPr,prstGeom:line,wsp
007_Free_Genogram_Diagram_Template_Green_and_Purple_Theme_8d2ba829.docx	word/document.xml	wps	1	cNvCnPr,prstGeom:line,wsp
007_Free_Genogram_Diagram_Template_Green_and_Purple_Theme_8d2ba829.docx	word/document.xml	wps	1	cNvCnPr,prstGeom:line,wsp
007_Free_Genogram_Diagram_Template_Green_and_Purple_Theme_8d2ba829.docx	word/document.xml	wpg	4	cNvCnPr,prstGeom:line,prstGeom:rect,prstGeom:triangle,wgp,wsp
007_Free_Genogram_Diagram_Template_Green_and_Purple_Theme_8d2ba829.docx	word/document.xml	wps	1	cNvCnPr,prstGeom:line,wsp
007_Free_Genogram_Diagram_Template_Green_and_Purple_Theme_8d2ba829.docx	word/document.xml	wps	1	cNvCnPr,prstGeom:line,wsp
007_Free_Genogram_Diagram_Template_Green_and_Purple_Theme_8d2ba829.docx	word/document.xml	wps	1	cNvCnPr,prstGeom:line,wsp
007_Free_Genogram_Diagram_Template_Green_and_Purple_Theme_8d2ba829.docx	word/document.xml	wps	1	cNvCnPr,prstGeom:line,wsp
007_Free_Genogram_Diagram_Template_Green_and_Purple_Theme_8d2ba829.docx	word/document.xml	wps	1	cNvCnPr,prstGeom:line,wsp
007_Free_Genogram_Diagram_Template_Green_and_Purple_Theme_8d2ba829.docx	word/document.xml	wps	1	cNvCnPr,prstGeom:line,wsp
007_Free_Genogram_Diagram_Template_Green_and_Purple_Theme_8d2ba829.docx	word/document.xml	wps	1	cNvCnPr,prstGeom:line,wsp
007_Free_Genogram_Diagram_Template_Green_and_Purple_Theme_8d2ba829.docx	word/document.xml	wpg	3	cNvCnPr,prstGeom:line,wgp,wsp
007_Free_Genogram_Diagram_Template_Green_and_Purple_Theme_8d2ba829.docx	word/document.xml	wpg	2	cNvCnPr,prstGeom:line,wgp,wsp
007_Free_Genogram_Diagram_Template_Green_and_Purple_Theme_8d2ba829.docx	word/document.xml	wpg	1	cNvCnPr,prstGeom:line,prstGeom:rect,wgp,wsp
007_Free_Genogram_Diagram_Template_Green_and_Purple_Theme_8d2ba829.docx	word/document.xml	wps	1	cNvCnPr,prstGeom:line,wsp
007_Free_Genogram_Diagram_Template_Green_and_Purple_Theme_8d2ba829.docx	word/document.xml	wpg	3	cNvCnPr,prstGeom:ellipse,prstGeom:line,prstGeom:rect,wgp,wsp
007_Free_Genogram_Diagram_Template_Green_and_Purple_Theme_8d2ba829.docx	word/document.xml	wps	1	cNvCnPr,prstGeom:line,wsp
007_Free_Genogram_Diagram_Template_Green_and_Purple_Theme_8d2ba829.docx	word/document.xml	wps	1	cNvCnPr,prstGeom:line,wsp
007_Free_Genogram_Diagram_Template_Green_and_Purple_Theme_8d2ba829.docx	word/document.xml	wps	1	cNvCnPr,prstGeom:line,wsp
017_Project_Timeline_Template_Customizable_Format_5d5ca2e8.docx	word/document.xml	wps	1	cNvCnPr,prstGeom:line,wsp
019_Project_Timeline_Template_Excellent_Layout_4ee62967.docx	word/document.xml	wps	1	cNvCnPr,prstGeom:line,wsp
019_Project_Timeline_Template_Excellent_Layout_4ee62967.docx	word/document.xml	wps	1	cNvCnPr,prstGeom:line,wsp
019_Project_Timeline_Template_Excellent_Layout_4ee62967.docx	word/document.xml	wps	1	cNvCnPr,prstGeom:line,wsp
019_Project_Timeline_Template_Excellent_Layout_4ee62967.docx	word/document.xml	wps	1	cNvCnPr,prstGeom:line,wsp
019_Project_Timeline_Template_Excellent_Layout_4ee62967.docx	word/document.xml	wps	1	cNvCnPr,prstGeom:line,wsp
030_Unit_Circle_Chart_Points_System_23b5ef07.docx	word/document.xml	wpg	16	cNvCnPr,prstGeom:ellipse,prstGeom:line,prstGeom:rect,prstGeom:straightConnector1,wgp,wsp
041_Visual_Product_Roadmap_Template_Blank_Format_63a3e010.docx	word/document.xml	wps	1	cNvCnPr,prstGeom:line,wsp
082_Printable_Graph_Paper_Template_Colored_Background_9092cf9b.docx	word/document.xml	wps	1	cNvCnPr,prstGeom:line,wsp
051_Organogram_Template_Basic_Theme_e6464d06.docx	word/document.xml	wpg	38	cNvCnPr,prstGeom:line,prstGeom:rect,wgp,wsp
056_Organogram_Template_Square_Theme_38f373d4.docx	word/document.xml	wpg	34	cNvCnPr,prstGeom:line,prstGeom:rect,prstGeom:straightConnector1,wgp,wsp
022_Unit_Circle_Chart_Circle_A_and_B_19dbf275.docx	word/document.xml	wps	1	cNvCnPr,prstGeom:line,wsp
022_Unit_Circle_Chart_Circle_A_and_B_19dbf275.docx	word/document.xml	wpg	6	cNvCnPr,prstGeom:ellipse,prstGeom:line,wgp,wsp
