path	charts	lineparts
sheets/chartset-013/ods/033_Event_planning_tracker_Use_this_template_f29a848e.ods	2	0
sheets/chartset-013/ods/035_Project_plan_for_law_firms_aa2d4462.ods	2	0
sheets/chartset-013/ods/043_Buy_a_car_vs._rideshare_ff07c7e6.ods	1	0
sheets/chartset-013/ods/049_Expenses_calculator_c351f3d0.ods	1	0
sheets/chartset-013/ods/059_Milestone_and_task_project_timeline_Use_this_template_24f1e8f1.ods	1	1
sheets/chartset-014/ods/027_Simple_personal_cash_flow_statement_675c6584.ods	4	0
sheets/chartset-014/ods/038_Baby_growth_chart_bb9cd672.ods	1	1
sheets/chartset-014/ods/039_Baby_growth_tracker_e295ae56.ods	1	1
sheets/chartset-014/ods/045_Check_register_with_chart_4becb8a0.ods	1	0
sheets/chartset-014/ods/048_Expense_trends_budget_18d1e8ba.ods	1	0
sheets/chartset-014/ods/064_Small_business_cash_flow_Use_this_template_0a640756.ods	1	1
sheets/done-002/ods/2012-GA-Survey-Chapter-5-Tables-16Dec2013-V2.ods	1	0
sheets/done-002/ods/2012-GA-Survey-Chapter-6-Tables-16Dec2013-V2.ods	1	0
sheets/done-009/ods/EHEST-Pre-departure-checklist-Rev.-1-06-12-2016.ods	9	0
sheets/done-010/ods/Keywords_Mapping_Graphs_and_Charts.ods	11	0
sheets/done-010/ods/TOGAF9-Tool-ConfReqts-CSQ.ods	1	0
sheets/missing-001/ods/orbus_togaf_tool_csq.ods	1	0
slides/ceiling-001/odp/Fundamentals_Module_1_basics.odp	2	2
slides/ceiling-001/odp/N2_E_Maestroni_Swarm_COP.odp	1	0
slides/ceiling-001/odp/Sylva%20introduction%20session.odp	1	0
slides/ceiling-001/odp/Thailand17.odp	3	3
slides/ceiling-002/odp/8_P-Pavese_AIRBUS-ATB-journee-CRATB.odp	6	2
slides/ceiling-002/odp/Demick_JetBlue.odp	5	5
slides/chart-001/odp/southern-classic-kennesaw-state-university-final.odp	21	8
slides/chartset-001/odp/008_advanced_powerpoint_bubble.odp	1	0
slides/chartset-001/odp/015_advanced_powerpoint_scatter.odp	1	0
slides/chartset-001/odp/016_advanced_powerpoint_bubble.odp	1	0
slides/chartset-001/odp/031_advanced_powerpoint_scatter.odp	1	0
slides/chartset-001/odp/bar_chart.odp	1	0
slides/chartset-001/odp/combo_bar_line_chart.odp	1	1
slides/chartset-001/odp/line_chart.odp	1	1
slides/chartset-001/odp/scatter_chart.odp	1	1
slides/chartset-001/odp/stacked_area_chart.odp	1	0
slides/chartset-001/odp/stacked_bar_chart.odp	1	0
slides/chartset-002/odp/001_advanced_powerpoint_bar.odp	1	0
slides/chartset-002/odp/006_advanced_powerpoint_area.odp	1	0
slides/chartset-002/odp/007_advanced_powerpoint_scatter.odp	1	0
slides/chartset-002/odp/014_advanced_powerpoint_area.odp	1	0
slides/chartset-002/odp/017_advanced_powerpoint_bar.odp	1	0
slides/chartset-002/odp/023_advanced_powerpoint_scatter.odp	1	0
slides/chartset-002/odp/024_advanced_powerpoint_bubble.odp	1	0
slides/chartset-002/odp/030_advanced_powerpoint_area.odp	1	0
