path	mixed_extent	same_extent_base
words/done-001/docx/Pre-Application_Letter_of_Intent_Example.docx	0	0
words/done-001/docx/Service-Bulletin-SDFNR5-April-25-2023-FNR-TRANSMISSION-LUBRICATION.docx	0	0
words/done-001/docx/private-hire-operators-licensed.docx	0	0
words/done-002/docx/lk03_17.docx	0	0
words/done-002/docx/easa-form-1.docx	0	0
words/done-002/docx/Interview-mit-Manfred1-Müller.docx	0	0
words/done-002/docx/s33song-beverlyactproductionofdocuments.docx	0	0
words/done-003/docx/mde087077~283.docx	0	0
words/done-003/docx/Technical_Issue_Report_Form.docx	0	2
words/done-003/doc/96-3-clement-data.doc	0	0
words/done-004/docx/1528039320.docx	0	0
words/done-004/docx/How-to-Write-an-Architecture-Document-for-a-Technology-Service.docx	0	0
words/done-004/doc/opic 5--Case Studies Movie and Aviation Industries.doc	0	0
words/done-005/docx/healthcare-reform-nsa-consumer-bulletin.docx	0	0
words/done-005/doc/316r_a_e.doc	0	0
words/done-005/docx/Technical Report and Technical Update Guidelines.docx	0	0
words/done-005/docx/f445896eb008d14c1746fc37d412dc22.docx	0	0
words/done-006/doc/LHD-230-application-for-the-approval-of-an-aircraftr.doc	0	0
words/done-006/docx/technical-memo-format.docx	0	0
words/done-006/doc/1244277 1 Comment.doc	0	0
words/done-007/doc/congregationalhistories_ky_2023.doc	0	0
words/done-007/docx/final-technical-report-template.docx	0	0
words/done-007/docx/Press release_EUREKA labels ITEA 3 Cluster.docx	0	0
words/done-008/docx/FAA-2017-0628-0002_attachment_1.docx	0	0
words/done-008/docx/UAS-SGI_waiver_approval_request_form.docx	0	0
words/done-008/docx/4400-91_Proposal_To_Lease_Space_10-2024.docx	0	0
words/done-008/docx/Lessons-Learned-Bulletin-Dorset-version-to-IIRG-V5.docx	0	0
words/done-009/doc/2013-op12-Annex III - Curriculum Vitae.doc	0	0
words/done-009/doc/A380MaenPressRel.doc	0	0
words/done-009/doc/CP-ETSO template_v2020.DOC	0	0
words/done-010/docx/195584360.docx	0	1
words/done-010/docx/PM-apeech-Handover-of-New-Airbus-Aircraft-for-Fiji-Airways-Dec.-15th.docx	0	0
words/done-010/doc/f111.doc	0	29
words/done-011/docx/f2_registro_de_aprovacao_com_pbcs_EN.docx	0	1
words/done-011/docx/part-145-approval list 2025.docx	1	0
words/done-011/docx/b053-19.docx	0	0
words/done-011/docx/monthly-content-feeder.docx	0	2
words/done-012/docx/technical-architecture.docx	0	0
words/done-012/docx/Leadership Information Article.docx	0	0
words/done-012/docx/bulletin.docx	0	0
words/done-013/docx/easa-regulations-update-20.docx	0	0
words/done-013/docx/SPA-11_mcar_part-11_v2.9.docx	0	0
words/done-013/doc/Reid.doc	0	2
words/done-014/doc/644730BRI0mna000BOX361539B00public0.doc	0	0
words/done-014/docx/1_tpr_template__from_fy14_.docx	0	6
words/done-014/docx/231164_SystemDesignDocument.docx	0	2
words/done-014/doc/300502-Mecenat-Airbus-Simusante_CHU-Amiens-Picardie.doc	0	0
words/done-015/docx/system_design__technical_architecture_template.docx	0	0
words/done-015/docx/Agile_Arc_SysDes.docx	0	0
words/done-015/docx/DOA_Template_Form_Type_Certification_Programme.docx	20	26
words/done-016/docx/HC-Bulletin-template.docx	0	0
words/done-016/docx/SPA-06_mcar_part-6_and_IS_v2.9.docx	0	7
words/done-016/doc/150_5335_5a.doc	7	1
words/extra-001/doc/info-bulletin-601.doc	0	0
words/extra-001/docx/ABCD-WB-08-00 Weight and Balance Report - v1 08.03.16.docx	1	12
words/metrics-001/docx/review-welsh-government-communications-mister-peter-mandelson.docx	0	0
words/metrics-001/docx/AWR OPS-AOC 044 Statement of Compliance RVSM  Rev 04 01 Feb 2024.docx	0	0
words/metrics-001/docx/02_mcar_part-2_and_IS_v2.10.docx	0	0
words/done-016/docx/TE.CAO.00125 Foreign Part 145 approvals - OJT Logbook.docx	0	0
words/missing-001/docx/33004.docx	0	3
words/pagination-001/docx/FO.FCTOA.00010 Application for a Part-ORA ATO Approval.docx	0	30
words/pagination-001/doc/A_320.doc	0	17
