doc	page	dLeft	dBottom	dRight	dTop	refW	refH	oH	oV	rH	rV
REDAC HF briefing Sep 2016_LARD_ATC_TO_FE_v2__pptx	8	-0.02	+0.28	+0.14	+0.01	672.8	368.9	11	10	11	10
REDAC HF briefing Sep 2016_LARD_ATC_TO_FE_v2__pptx	9	-0.02	+0.16	+0.14	+0.01	672.8	407.8	10	10	10	10
REDAC HF briefing Sep 2016_LARD_ATC_TO_FE_v2__pptx	10	+0.01	+0.03	+0.05	+0.01	627.8	49.5	0	4	0	4
REDAC HF briefing Sep 2016_LARD_ATC_TO_FE_v2__pptx	12	+0.01	+0.02	+0.05	+0.00	627.8	49.5	0	4	0	4
REDAC HF briefing Sep 2016_LARD_ATC_TO_FE_v2__pptx	13	+0.01	+0.02	+0.05	+0.00	627.8	49.5	0	4	0	4
REDAC HF briefing Sep 2016_LARD_ATC_TO_FE_v2__pptx	15	+0.00	+0.04	+0.05	-0.01	628.6	78.3	4	4	4	4
REDAC HF briefing Sep 2016_LARD_ATC_TO_FE_v2__pptx	16	+0.01	-0.02	+0.05	-0.01	628.6	67.5	4	4	4	4
REDAC briefing March12-13-2014jemvbFINAL.ppt__pptx	8	-0.00	-0.19	+0.12	+0.00	673.8	218.6	10	5	10	5
REDAC briefing March12-13-2014jemvbFINAL.ppt__pptx	9	-0.02	-0.23	+0.10	-0.01	625.0	218.6	10	4	10	4
REDAC briefing March12-13-2014jemvbFINAL.ppt__pptx	14	-0.01	+0.00	+0.07	+0.02	317.2	42.2	0	6	0	6
REDAC briefing March12-13-2014jemvbFINAL.ppt__pptx	15	+0.01	-0.01	+0.07	+0.01	307.4	42.2	0	6	0	6
REDAC briefing March12-13-2014jemvbFINAL.ppt__pptx	16	+0.01	-0.01	+0.09	+0.01	299.2	42.2	0	6	0	6
REDAC briefing March12-13-2014jemvbFINAL.ppt__pptx	17	+0.01	-0.01	+0.08	+0.01	308.2	42.2	0	6	0	6
REDAC briefing March12-13-2014jemvbFINAL.ppt__pptx	18	+0.00	+0.00	+0.08	+0.03	310.4	42.2	0	6	0	6
REDAC briefing March12-13-2014jemvbFINAL.ppt__pptx	19	+0.00	-0.00	+0.08	+0.02	317.2	42.2	0	6	0	6
REDAC briefing March12-13-2014jemvbFINAL.ppt__pptx	20	+0.01	-0.06	+0.09	+0.00	317.2	43.1	0	6	0	6
REDAC briefing March12-13-2014jemvbFINAL.ppt__pptx	21	+0.01	+0.06	+0.06	+0.02	295.5	51.2	0	6	0	6
REDAC briefing March12-13-2014jemvbFINAL.ppt__pptx	22	-0.00	-0.04	+0.07	+0.02	306.7	54.8	0	6	0	6
REDAC briefing March12-13-2014jemvbFINAL.ppt__pptx	23	-0.01	-0.01	+0.07	+0.02	308.9	42.2	0	6	0	6
REDAC briefing March12-13-2014jemvbFINAL.ppt__pptx	24	+0.01	-0.01	+0.09	+0.01	317.2	42.2	0	6	0	6
REDAC briefing March12-13-2014jemvbFINAL.ppt__pptx	25	+0.01	-0.01	+0.07	+0.01	307.4	42.2	0	6	0	6
ROK-PI Climate Bulletin - Edition 2017-06__pptx	1	-0.00	-0.25	+0.02	+0.01	310.1	378.0	17	4	17	4
ROK-PI Climate Bulletin - Edition 2017-06__pptx	2	-0.00	-0.26	+0.04	-0.00	292.8	378.0	17	4	17	4
RPA P4 - Advanced Material__pptx	2	-0.02	-0.07	+0.03	+0.00	297.7	145.3	6	5	6	5
RPA P4 - Advanced Material__pptx	3	+0.01	-0.01	+0.02	-0.02	640.9	263.5	15	0	15	0
RPA P4 - Advanced Material__pptx	10	+446.21	+120.38	-17.25	-134.26	508.8	332.2	7	0	7	4
RPA P4 - Advanced Material__pptx	12	-0.01	-0.03	-0.02	-0.02	636.5	228.1	10	0	10	0
RPA P4 - Advanced Material__pptx	14	-0.00	+0.13	-0.00	-0.01	362.2	171.3	6	4	6	4
Reporting_responsibilities_matrix__pptx	3	+0.00	-0.32	+0.03	+21.50	792.9	298.6	50	0	50	0
Reporting_responsibilities_matrix__pptx	4	+0.01	+0.38	+0.05	+0.01	893.9	343.4	14	0	14	0
Reporting_responsibilities_matrix__pptx	5	+0.02	-0.32	+0.08	+21.49	545.2	0.9	8	0	8	0
Reporting_responsibilities_matrix__pptx	6	+0.02	-0.32	+0.08	+21.49	545.2	0.9	8	0	8	0
Reporting_responsibilities_matrix__pptx	7	-24.81	+104.53	+26.81	+127.22	493.6	0.0	8	0	4	0
Reporting_responsibilities_matrix__pptx	8	+0.00	-0.04	+0.01	+21.77	796.9	30.6	10	0	10	0
Reporting_responsibilities_matrix__pptx	9	+0.00	-0.04	+0.01	+21.77	796.9	30.6	12	0	12	0
Reporting_responsibilities_matrix__pptx	10	+0.00	-0.04	+0.01	+21.77	796.9	30.6	10	0	10	0
Reporting_responsibilities_matrix__pptx	11	+0.00	-0.04	+0.01	+21.77	796.9	30.6	10	0	10	0
Reporting_responsibilities_matrix__pptx	12	+0.00	-0.04	+0.01	+21.77	797.0	85.6	20	0	20	0
Reporting_responsibilities_matrix__pptx	14	-26.94	+99.91	-277.18	+122.60	795.5	0.0	8	0	6	0
Reporting_responsibilities_matrix__pptx	15	-0.01	-0.03	+0.01	+21.76	495.9	28.5	6	0	6	0
Reporting_responsibilities_matrix__pptx	16	-0.01	-0.03	+0.01	+21.76	495.9	28.5	6	0	6	0
Reporting_responsibilities_matrix__pptx	17	-327.27	+127.78	-257.96	+122.60	195.6	27.9	4	0	4	0
Reporting_responsibilities_matrix__pptx	18	+0.02	-0.31	+0.06	+21.48	535.8	28.0	16	0	16	0
Reporting_responsibilities_matrix__pptx	19	-327.16	+209.48	-121.15	+122.60	195.7	109.3	6	0	6	0
Reporting_responsibilities_matrix__pptx	21	+0.00	-0.04	+0.01	+21.77	796.9	30.6	10	0	10	0
Reporting_responsibilities_matrix__pptx	22	+0.00	-0.04	+0.01	+21.77	796.9	30.6	10	0	10	0
Reporting_responsibilities_matrix__pptx	23	+0.00	-0.04	+0.01	+21.77	796.9	30.6	10	0	10	0
Reporting_responsibilities_matrix__pptx	24	+0.00	-0.04	+0.02	+21.77	493.6	0.0	4	0	4	0
Reporting_responsibilities_matrix__pptx	27	+0.00	-0.04	+0.01	+21.77	796.9	1.4	6	0	6	0
Reporting_responsibilities_matrix__pptx	29	+0.00	-0.05	+0.02	+21.77	493.6	29.5	6	0	6	0
Reporting_responsibilities_matrix__pptx	30	+0.00	-0.03	+0.05	-0.01	960.0	426.1	0	4	0	4
Reporting_responsibilities_matrix__pptx	31	+0.00	-0.06	+0.05	-0.01	960.8	413.7	4	4	4	4
Reporting_responsibilities_matrix__pptx	32	+0.00	-0.05	+0.05	-0.01	960.8	431.7	4	4	4	4
Reporting_responsibilities_matrix__pptx	33	+0.00	-0.05	+0.05	-0.01	960.0	426.0	0	4	0	4
Reporting_responsibilities_matrix__pptx	34	+0.00	-0.05	+0.05	-0.01	960.0	426.0	0	4	0	4
Reporting_responsibilities_matrix__pptx	35	+0.00	-0.05	+0.05	-0.01	960.0	426.0	0	4	0	4
Reporting_responsibilities_matrix__pptx	36	+0.00	-0.05	+0.05	-0.01	960.0	426.0	0	4	0	4
Reporting_responsibilities_matrix__pptx	37	+0.00	-0.03	+0.05	-0.01	960.8	431.9	4	4	4	4
Reporting_responsibilities_matrix__pptx	38	+0.00	-0.03	+0.05	-0.01	960.0	426.1	0	4	0	4
Reporting_responsibilities_matrix__pptx	39	+0.00	-0.00	+0.05	+0.00	960.8	438.0	4	4	4	4
Reporting_responsibilities_matrix__pptx	40	+0.00	-0.03	+0.05	-0.01	960.0	426.1	0	4	0	4
Reporting_responsibilities_matrix__pptx	41	+0.00	-0.03	+0.05	-0.01	960.0	426.1	0	4	0	4
Reporting_responsibilities_matrix__pptx	42	+0.00	-0.05	+0.05	-0.01	960.0	426.0	0	4	0	4
Reporting_responsibilities_matrix__pptx	43	+0.00	-0.00	+0.05	-0.01	960.8	426.4	4	4	4	4
Reporting_responsibilities_matrix__pptx	44	+0.00	+0.01	+0.05	-0.01	960.8	426.5	4	4	4	4
Reporting_responsibilities_matrix__pptx	45	+0.00	-0.05	+0.05	-0.01	960.0	426.0	0	4	0	4
Reporting_responsibilities_matrix__pptx	46	+0.00	-0.05	+0.05	-0.01	960.8	426.0	4	4	4	4
Reporting_responsibilities_matrix__pptx	47	+0.00	-0.03	+0.05	-0.01	960.0	426.1	0	4	0	4
Reporting_responsibilities_matrix__pptx	48	+0.00	-0.03	+0.05	-0.01	960.0	426.1	0	4	0	4
Reporting_responsibilities_matrix__pptx	49	+0.00	-0.03	+0.05	-0.01	960.0	426.1	0	4	0	4
Reporting_responsibilities_matrix__pptx	50	+0.00	-0.03	+0.05	-0.01	960.0	426.1	0	4	0	4
Reporting_responsibilities_matrix__pptx	51	+0.00	-0.03	+0.05	-0.01	960.0	426.1	0	4	0	4
Reporting_responsibilities_matrix__pptx	52	+0.00	-0.03	+0.05	-0.01	960.0	426.1	0	4	0	4
Reporting_responsibilities_matrix__pptx	53	+0.00	-0.03	+0.05	-0.01	960.0	426.1	0	4	0	4
Reporting_responsibilities_matrix__pptx	54	+0.00	-0.03	+0.05	-0.01	960.0	431.7	0	4	0	4
Reporting_responsibilities_matrix__pptx	55	+0.00	-0.03	+0.05	-0.01	960.0	431.7	0	4	0	4
Reporting_responsibilities_matrix__pptx	56	+0.00	-0.03	+0.05	-0.01	960.0	431.7	0	4	0	4
Reporting_responsibilities_matrix__pptx	57	+0.00	-0.03	+0.05	-0.01	960.0	431.7	0	4	0	4
Reporting_responsibilities_matrix__pptx	58	+0.00	-0.03	+0.05	-0.01	960.0	431.7	0	4	0	4
Reporting_responsibilities_matrix__pptx	59	+0.00	-0.03	+0.05	-0.01	960.0	431.7	0	4	0	4
Reporting_responsibilities_matrix__pptx	60	+0.00	-0.03	+0.05	-0.01	960.0	431.7	0	4	0	4
Reporting_responsibilities_matrix__pptx	61	+0.00	-0.03	+0.05	-0.01	960.0	431.7	0	4	0	4
Reporting_responsibilities_matrix__pptx	62	+0.00	-0.03	+0.05	-0.01	960.0	431.7	0	4	0	4
Reporting_responsibilities_matrix__pptx	63	+0.00	-0.03	+0.05	-0.01	960.0	431.7	0	4	0	4
Reporting_responsibilities_matrix__pptx	64	+0.00	-0.05	+0.05	-0.01	960.8	426.0	4	4	4	4
Reporting_responsibilities_matrix__pptx	65	+0.00	-0.05	+0.05	-0.00	960.8	428.7	4	4	4	4
Reporting_responsibilities_matrix__pptx	66	+0.00	-0.03	+0.05	-0.01	960.0	426.1	0	4	0	4
Reporting_responsibilities_matrix__pptx	67	+0.00	-0.03	+0.05	-0.01	960.0	426.1	0	4	0	4
Reporting_responsibilities_matrix__pptx	68	+0.00	-0.03	+0.05	-0.01	960.0	426.1	0	4	0	4
Reporting_responsibilities_matrix__pptx	69	+0.00	-0.03	+0.05	-0.01	960.0	426.1	0	4	0	4
Reporting_responsibilities_matrix__pptx	70	+0.00	-0.03	+0.05	-0.01	960.0	426.1	0	4	0	4
Reporting_responsibilities_matrix__pptx	71	+0.00	-0.03	+0.05	-0.01	960.0	426.1	0	4	0	4
Reporting_responsibilities_matrix__pptx	72	+0.00	-0.03	+0.05	-0.01	960.0	426.1	0	4	0	4
Reporting_responsibilities_matrix__pptx	73	+0.00	-0.03	+0.05	-0.01	960.0	426.1	0	4	0	4
Reporting_responsibilities_matrix__pptx	74	+0.00	-0.03	+0.05	-0.01	960.0	426.1	0	4	0	4
Reporting_responsibilities_matrix__pptx	75	+0.00	-0.03	+0.05	-0.01	960.0	426.1	0	4	0	4
Reporting_responsibilities_matrix__pptx	76	+0.00	-0.03	+0.05	-0.01	960.0	426.1	0	4	0	4
Reporting_responsibilities_matrix__pptx	77	+0.00	+0.04	+0.05	-0.01	960.8	431.6	4	4	4	4
Reporting_responsibilities_matrix__pptx	78	+0.00	+0.04	+0.05	-0.01	960.8	465.6	4	4	4	4
Reporting_responsibilities_matrix__pptx	79	+0.00	-0.05	+0.05	-0.01	960.8	426.0	4	4	4	4
Reporting_responsibilities_matrix__pptx	80	+0.00	-0.03	+0.05	-0.01	960.8	426.1	4	4	4	4
Reporting_responsibilities_matrix__pptx	81	+0.00	-0.03	+0.05	-0.01	960.0	426.1	0	4	0	4
Reporting_responsibilities_matrix__pptx	82	+0.00	+0.02	+0.05	-0.01	960.0	451.6	0	4	0	4
Reporting_responsibilities_matrix__pptx	83	+0.00	+0.02	+0.05	-0.01	960.0	435.1	0	4	0	4
Reporting_responsibilities_matrix__pptx	84	+0.00	-0.03	+0.05	-0.01	960.0	426.1	0	4	0	4
Reporting_responsibilities_matrix__pptx	85	+0.00	+0.08	+0.05	-0.01	960.8	436.6	4	4	4	4
Reporting_responsibilities_matrix__pptx	86	+0.00	-0.03	+0.05	-0.01	960.0	426.1	0	4	0	4
Reporting_responsibilities_matrix__pptx	87	+0.00	+0.02	+0.05	-0.01	960.0	433.6	0	4	0	4
Reporting_responsibilities_matrix__pptx	88	+0.00	-0.03	+0.05	-0.01	960.0	426.1	0	4	0	4
Reporting_responsibilities_matrix__pptx	89	+0.00	-0.03	+0.05	-0.01	960.0	426.1	0	4	0	4
Reporting_responsibilities_matrix__pptx	90	+0.00	-0.03	+0.05	-0.01	960.0	426.1	0	4	0	4
Reporting_responsibilities_matrix__pptx	91	+0.00	+0.03	+0.05	-0.01	960.8	433.2	4	4	4	4
Reporting_responsibilities_matrix__pptx	92	+0.00	+0.03	+0.05	-0.01	960.8	429.4	4	4	4	4
Reporting_responsibilities_matrix__pptx	93	+0.00	-0.03	+0.05	-0.01	960.0	426.1	0	4	0	4
Reporting_responsibilities_matrix__pptx	94	+0.00	-0.05	+0.05	-0.01	960.8	426.0	4	4	4	4
Reporting_responsibilities_matrix__pptx	95	+0.00	+0.00	+0.05	-0.01	960.0	429.8	0	4	0	4
Reporting_responsibilities_matrix__pptx	96	+0.00	+0.01	+0.05	-0.01	960.0	462.5	0	4	0	4
Reporting_responsibilities_matrix__pptx	97	+0.00	+0.02	+0.05	-0.01	960.0	438.3	0	4	0	4
Reporting_responsibilities_matrix__pptx	98	+0.00	+0.01	+0.05	-0.01	960.0	438.7	0	4	0	4
Reporting_responsibilities_matrix__pptx	99	+0.00	+0.05	+0.05	-0.01	960.8	434.9	4	4	4	4
Reporting_responsibilities_matrix__pptx	100	+0.00	+0.08	+0.05	-0.01	960.8	453.2	4	4	4	4
Reporting_responsibilities_matrix__pptx	101	+0.00	+0.05	+0.05	-0.01	960.0	462.5	0	4	0	4
Reporting_responsibilities_matrix__pptx	102	+0.00	-0.00	+0.05	-0.01	960.0	449.1	0	4	0	4
Reporting_responsibilities_matrix__pptx	103	+0.00	-0.03	+0.05	-0.01	960.0	431.7	0	4	0	4
Reporting_responsibilities_matrix__pptx	104	+0.00	-0.03	+0.05	-0.01	960.0	431.7	0	4	0	4
Reporting_responsibilities_matrix__pptx	105	+0.00	+0.03	+0.05	-0.01	960.8	434.9	4	4	4	4
Reporting_responsibilities_matrix__pptx	106	+0.00	-0.05	+0.05	-0.01	960.0	426.0	0	4	0	4
Reporting_responsibilities_matrix__pptx	107	+0.00	+0.04	+0.05	-0.01	960.8	428.5	4	4	4	4
Reporting_responsibilities_matrix__pptx	108	+0.00	-0.05	+0.05	-0.01	960.0	426.0	0	4	0	4
Reporting_responsibilities_matrix__pptx	109	+0.00	-0.05	+0.05	-0.01	960.8	431.7	4	4	4	4
Reporting_responsibilities_matrix__pptx	110	+0.00	-0.01	+0.05	-0.01	960.0	446.8	0	4	0	4
Reporting_responsibilities_matrix__pptx	111	+0.00	-0.04	+0.05	-0.01	960.0	434.4	0	4	0	4
Reporting_responsibilities_matrix__pptx	112	+0.00	+0.05	+0.05	-0.01	960.0	446.0	0	4	0	4
Reporting_responsibilities_matrix__pptx	113	+0.00	+0.05	+0.05	-0.01	960.0	462.5	0	4	0	4
Reporting_responsibilities_matrix__pptx	114	+0.00	-0.00	+0.05	-0.01	960.0	444.3	0	4	0	4
Reporting_responsibilities_matrix__pptx	115	+0.00	+0.01	+0.05	-0.01	960.0	435.0	0	4	0	4
Reporting_responsibilities_matrix__pptx	116	+0.00	+0.01	+0.05	-0.01	960.0	435.0	0	4	0	4
Reporting_responsibilities_matrix__pptx	117	+0.00	+0.01	+0.05	-0.01	960.0	435.0	0	4	0	4
Reporting_responsibilities_matrix__pptx	118	+0.00	+0.01	+0.05	-0.01	960.0	435.0	0	4	0	4
Reporting_responsibilities_matrix__pptx	119	+0.00	+0.01	+0.05	-0.01	960.0	435.0	0	4	0	4
Reporting_responsibilities_matrix__pptx	120	+0.00	+0.01	+0.05	-0.01	960.0	435.0	0	4	0	4
Reporting_responsibilities_matrix__pptx	121	+0.00	+0.04	+0.05	-0.01	960.8	432.7	4	4	4	4
Reporting_responsibilities_matrix__pptx	122	+0.00	-0.05	+0.05	-0.01	960.0	426.0	0	4	0	4
Reporting_responsibilities_matrix__pptx	123	+0.00	+0.03	+0.05	-0.01	960.8	444.8	4	4	4	4
Reporting_responsibilities_matrix__pptx	124	+0.00	+0.05	+0.05	-0.01	960.0	462.5	0	4	0	4
Reporting_responsibilities_matrix__pptx	125	+0.00	+0.01	+0.05	-0.01	960.0	432.7	0	4	0	4
Reporting_responsibilities_matrix__pptx	126	+0.00	+0.05	+0.05	-0.01	960.0	446.0	0	4	0	4
Reporting_responsibilities_matrix__pptx	127	+0.00	+0.05	+0.05	-0.01	960.0	446.0	0	4	0	4
Reporting_responsibilities_matrix__pptx	128	+0.00	+0.01	+0.05	-0.01	960.0	435.9	0	4	0	4
Reporting_responsibilities_matrix__pptx	129	+0.00	+0.01	+0.05	-0.01	960.0	435.9	0	4	0	4
Reporting_responsibilities_matrix__pptx	130	+0.00	+0.05	+0.05	-0.01	960.0	479.1	0	4	0	4
Reporting_responsibilities_matrix__pptx	131	+0.00	-0.01	+0.05	-0.01	960.0	432.1	0	4	0	4
Reporting_responsibilities_matrix__pptx	132	+0.00	-0.01	+0.05	-0.01	960.0	432.1	0	4	0	4
Reporting_responsibilities_matrix__pptx	133	+0.00	-0.01	+0.05	-0.01	960.0	432.1	0	4	0	4
Reporting_responsibilities_matrix__pptx	134	+0.00	+0.03	+0.05	-0.01	960.8	474.8	4	4	4	4
Reporting_responsibilities_matrix__pptx	135	+0.00	-0.03	+0.05	-0.01	960.0	431.7	0	4	0	4
Reporting_responsibilities_matrix__pptx	136	+0.00	+0.01	+0.05	-0.01	960.0	434.0	0	4	0	4
Reporting_responsibilities_matrix__pptx	137	+0.00	-0.03	+0.05	-0.01	960.0	431.7	0	4	0	4
Reporting_responsibilities_matrix__pptx	138	+0.00	+16.58	+0.05	-0.01	960.8	442.6	4	4	4	4
Reporting_responsibilities_matrix__pptx	139	+0.00	+0.05	+0.05	-0.01	960.0	429.4	0	4	0	4
Reporting_responsibilities_matrix__pptx	140	+0.00	+0.01	+0.05	-0.01	960.0	432.5	0	4	0	4
Reporting_responsibilities_matrix__pptx	141	+0.00	+0.05	+0.05	-0.01	960.0	446.0	0	4	0	4
Reporting_responsibilities_matrix__pptx	142	+0.00	+0.05	+0.05	-0.01	960.0	479.1	0	4	0	4
Reporting_responsibilities_matrix__pptx	143	+0.00	+0.01	+0.05	-0.01	960.0	432.5	0	4	0	4
Reporting_responsibilities_matrix__pptx	144	+0.00	+0.04	+0.05	-0.01	960.8	440.4	4	4	4	4
Reporting_responsibilities_matrix__pptx	145	+0.00	-0.03	+0.05	-0.01	960.0	426.1	0	4	0	4
Reporting_responsibilities_matrix__pptx	146	+0.00	+0.01	+0.05	-0.01	960.0	432.4	0	4	0	4
Reporting_responsibilities_matrix__pptx	147	+0.00	-0.03	+0.05	-0.01	960.0	426.1	0	4	0	4
Reporting_responsibilities_matrix__pptx	148	+0.00	-0.03	+0.05	-0.01	960.0	426.1	0	4	0	4
Reporting_responsibilities_matrix__pptx	149	+0.00	-0.03	+0.05	-0.01	960.0	426.1	0	4	0	4
Reporting_responsibilities_matrix__pptx	150	+0.00	+0.01	+0.05	-0.01	960.8	428.4	4	4	4	4
Reporting_responsibilities_matrix__pptx	151	+0.00	-0.03	+0.05	-0.01	960.0	431.7	0	4	0	4
Reporting_responsibilities_matrix__pptx	152	+0.00	+0.03	+0.05	-0.01	960.8	429.4	4	4	4	4
Reporting_responsibilities_matrix__pptx	153	+0.00	+0.05	+0.05	-0.01	960.0	429.4	0	4	0	4
Reporting_responsibilities_matrix__pptx	154	+0.00	+0.05	+0.05	-0.01	960.0	429.4	0	4	0	4
Reporting_responsibilities_matrix__pptx	155	+0.00	+0.05	+0.05	-0.01	960.0	429.4	0	4	0	4
Reporting_responsibilities_matrix__pptx	156	+0.00	-0.03	+0.05	-0.01	960.0	431.7	0	4	0	4
Reporting_responsibilities_matrix__pptx	157	+0.00	-0.03	+0.05	-0.01	960.0	431.7	0	4	0	4
Reporting_responsibilities_matrix__pptx	158	+0.00	-0.03	+0.05	-0.01	960.0	426.1	0	4	0	4
Reporting_responsibilities_matrix__pptx	159	+0.00	-0.05	+0.05	-0.01	960.8	431.7	4	4	4	4
Reporting_responsibilities_matrix__pptx	160	+0.00	+0.01	+0.05	-0.01	960.8	423.8	4	4	4	4
Reporting_responsibilities_matrix__pptx	161	+0.00	-0.00	+0.05	-0.01	960.0	466.6	0	4	0	4
Reporting_responsibilities_matrix__pptx	162	+0.00	+0.02	+0.05	-0.01	960.0	432.4	0	4	0	4
Reporting_responsibilities_matrix__pptx	163	+0.00	+0.02	+0.05	-0.01	960.0	432.4	0	4	0	4
Reporting_responsibilities_matrix__pptx	164	+0.00	+0.02	+0.05	-0.01	960.0	432.4	0	4	0	4
Reporting_responsibilities_matrix__pptx	165	+0.00	+0.02	+0.05	-0.01	960.0	432.4	0	4	0	4
Reporting_responsibilities_matrix__pptx	166	+0.00	+0.05	+0.05	-0.01	960.0	446.0	0	4	0	4
Reporting_responsibilities_matrix__pptx	167	+0.00	+0.01	+0.05	-0.01	960.0	431.9	0	4	0	4
Reporting_responsibilities_matrix__pptx	168	+0.00	+0.01	+0.05	-0.01	960.0	432.5	0	4	0	4
Reporting_responsibilities_matrix__pptx	169	+0.00	+0.01	+0.05	-0.01	960.0	432.5	0	4	0	4
Reporting_responsibilities_matrix__pptx	170	+0.00	+0.01	+0.05	-0.01	960.0	432.5	0	4	0	4
Reporting_responsibilities_matrix__pptx	171	+0.00	+0.03	+0.05	-0.01	960.8	440.0	4	4	4	4
Reporting_responsibilities_matrix__pptx	172	+0.00	-0.05	+0.05	-0.01	960.0	426.0	0	4	0	4
Reporting_responsibilities_matrix__pptx	173	+0.00	-0.00	+0.05	-0.01	960.0	430.2	0	4	0	4
Reporting_responsibilities_matrix__pptx	174	+0.00	-0.05	+0.05	-0.01	960.0	426.0	0	4	0	4
Reporting_responsibilities_matrix__pptx	175	+0.00	+5.62	+0.05	-0.01	960.8	440.5	4	4	4	4
Reporting_responsibilities_matrix__pptx	176	+0.00	+0.00	+0.05	-0.01	960.0	435.1	0	4	0	4
Reporting_responsibilities_matrix__pptx	177	+0.00	+0.00	+0.05	-0.01	960.0	435.1	0	4	0	4
Reporting_responsibilities_matrix__pptx	178	+0.00	+0.00	+0.05	-0.01	960.0	435.1	0	4	0	4
Reporting_responsibilities_matrix__pptx	179	+0.00	+0.05	+0.05	-0.01	960.0	446.0	0	4	0	4
Reporting_responsibilities_matrix__pptx	180	+0.00	+0.01	+0.05	-0.01	960.0	431.9	0	4	0	4
Reporting_responsibilities_matrix__pptx	181	+0.00	+0.08	+0.05	-0.01	960.8	436.6	4	4	4	4
Reporting_responsibilities_matrix__pptx	182	+0.00	+0.00	+0.05	-0.01	960.0	431.1	0	4	0	4
Reporting_responsibilities_matrix__pptx	183	+0.00	-0.03	+0.05	-0.01	960.0	433.4	0	4	0	4
Reporting_responsibilities_matrix__pptx	184	+0.00	+0.02	+0.05	-0.01	960.0	449.7	0	4	0	4
Reporting_responsibilities_matrix__pptx	185	+0.00	-0.03	+0.05	-0.01	960.0	427.8	0	4	0	4
Reporting_responsibilities_matrix__pptx	186	+0.00	-0.03	+0.05	-0.01	960.0	427.8	0	4	0	4
Reporting_responsibilities_matrix__pptx	187	+0.00	-0.03	+0.05	-0.01	960.8	427.8	4	4	4	4
Reporting_responsibilities_matrix__pptx	188	+0.00	-0.03	+0.05	-0.01	960.0	427.8	0	4	0	4
Reporting_responsibilities_matrix__pptx	189	+0.00	-0.03	+0.05	-0.01	960.8	430.2	5	4	5	4
Reporting_responsibilities_matrix__pptx	190	+0.00	-0.03	+0.05	-0.01	960.0	427.8	0	4	0	4
Reporting_responsibilities_matrix__pptx	191	+0.00	-0.03	+0.05	-0.01	960.0	427.8	0	4	0	4
Reporting_responsibilities_matrix__pptx	192	+0.00	-0.03	+0.05	-0.01	960.0	427.8	0	4	0	4
Reporting_responsibilities_matrix__pptx	193	+0.00	-0.03	+0.05	-0.01	960.0	427.8	0	4	0	4
Reporting_responsibilities_matrix__pptx	194	+0.00	-0.03	+0.05	-0.01	960.0	427.8	0	4	0	4
Reporting_responsibilities_matrix__pptx	195	+0.00	-0.03	+0.05	-0.01	960.0	427.8	0	4	0	4
Reporting_responsibilities_matrix__pptx	196	+0.00	-0.03	+0.05	-0.01	960.0	427.8	0	4	0	4
Reporting_responsibilities_matrix__pptx	197	+0.00	-0.03	+0.05	-0.01	960.0	427.8	0	4	0	4
Reporting_responsibilities_matrix__pptx	198	+0.00	-0.03	+0.05	-0.01	960.0	427.8	0	4	0	4
Reporting_responsibilities_matrix__pptx	199	+0.00	-0.03	+0.05	-0.01	960.0	427.8	0	4	0	4
Reporting_responsibilities_matrix__pptx	200	+0.00	-0.03	+0.05	-0.01	960.0	427.8	0	4	0	4
Reporting_responsibilities_matrix__pptx	201	+0.00	+0.04	+0.05	-0.01	960.8	431.6	4	4	4	4
Reporting_responsibilities_matrix__pptx	202	+0.00	-0.03	+0.05	-0.01	960.8	426.1	4	4	4	4
Reporting_responsibilities_matrix__pptx	203	+0.00	-0.03	+0.05	-0.01	960.0	426.1	0	4	0	4
Reporting_responsibilities_matrix__pptx	204	+0.00	+0.02	+0.05	-0.01	960.0	451.6	0	4	0	4
Reporting_responsibilities_matrix__pptx	205	+0.00	+0.02	+0.05	-0.01	960.0	435.1	0	4	0	4
Reporting_responsibilities_matrix__pptx	206	+0.00	-0.03	+0.05	-0.01	960.0	426.1	0	4	0	4
Reporting_responsibilities_matrix__pptx	207	+0.00	+0.08	+0.05	-0.01	960.8	436.6	4	4	4	4
Reporting_responsibilities_matrix__pptx	208	+0.00	-0.03	+0.05	-0.01	960.0	426.1	0	4	0	4
Reporting_responsibilities_matrix__pptx	209	+0.00	+0.02	+0.05	-0.01	960.0	433.6	0	4	0	4
Reporting_responsibilities_matrix__pptx	210	+0.00	-0.03	+0.05	-0.01	960.0	426.1	0	4	0	4
Reporting_responsibilities_matrix__pptx	211	+0.00	-0.03	+0.05	-0.01	960.0	426.1	0	4	0	4
Reporting_responsibilities_matrix__pptx	212	+0.00	-0.03	+0.05	-0.01	960.0	426.1	0	4	0	4
Reporting_responsibilities_matrix__pptx	213	+0.00	-0.05	+0.05	-0.01	960.8	426.0	4	4	4	4
Reporting_responsibilities_matrix__pptx	214	+0.00	+0.00	+0.05	-0.01	960.0	429.8	0	4	0	4
Reporting_responsibilities_matrix__pptx	215	+0.00	+0.01	+0.05	-0.01	960.0	462.5	0	4	0	4
Reporting_responsibilities_matrix__pptx	216	+0.00	+0.02	+0.05	-0.01	960.0	438.3	0	4	0	4
Reporting_responsibilities_matrix__pptx	217	+0.00	+0.01	+0.05	-0.01	960.0	438.7	0	4	0	4
Reporting_responsibilities_matrix__pptx	218	+0.00	+0.05	+0.05	-0.01	960.8	434.9	4	4	4	4
