slides/ceiling-001/ppt/RRM-training-syllabus-Chapter-3-Teamwork-TC-Towing-Incident-Analysis-Dec-2009.ppt	ppt	27/27	2477/2576	8/8	0	match	2666/2764	13921/13959	33a047156ff755804f04402994180674
slides/ceiling-001/ppt/Fundamentals_Module_1_basics.ppt	ppt	26/26	1138/1089	5/5	0	match	1225/1180	6589/6471	4c9d169fc680c4a8c32a5d3d4146cab0
slides/ceiling-001/ppt/W3_Case_Study_of_a_Tsunami_Warning_Simulation_Exercise_Ed.ppt	ppt	20/20	900/812	6/6	0	words	955/862	4973/4473	fef48dc39d1d2a4e009f02be64f7817a
slides/ceiling-001/ppt/Thailand17.ppt	ppt	54/54	2713/2625	8/9	0	words	2919/2826	14880/14380	cd2b57dc165c4745ddfcb9207f7a55a4
slides/ceiling-001/pptx/7-Zulkefli_Part147n66_IKMAS.pptx	pptx	18/18	968/973	7/7	0	match	1031/1036	5520/5520	47ac38f8791ec806bd9a99df164139ed
slides/ceiling-001/ppt/architecture6.ppt	ppt	31/31	1926/2544	5/5	0	match	2011/2642	10724/10715	5379656ac5a3d5922d339ed8f4e6cfa5
slides/ceiling-001/pptx/OnTrac_StarCertificationProgram-3Day.pptx	pptx	15/15	1324/1030	8/7	0	words	1414/1116	7709/6233	f7ae39d11274b993f0a04c9fe96d39cb
slides/ceiling-001/pptx/solog_orientation_august_2019.pptx	pptx	15/15	677/685	6/6	0	match	737/746	4393/4393	fe989319b06c48131dc9cdffb8a9c38d
slides/ceiling-001/pptx/N2_E_Maestroni_Swarm_COP.pptx	pptx	30/30	5201/5152	4/4	0	match	5368/5325	28178/28278	3d071d21f1c0a74d5fadea134155a574
slides/ceiling-002/pptx/16 - UTM - (NASA).pptx	pptx	37/37	2453/2260	11/11	0	words	2657/2447	15126/13981	d8c4b69dc7ffabfb2b28d188892726a9
slides/ceiling-001/pptx/Sylva%20introduction%20session.pptx	pptx	15/15	1064/1465	7/7	0	match	1152/1560	5700/5700	90f6a7fac9d9b5ce49908cc132358c3e
slides/ceiling-002/ppt/pres_ioc_phuket.ppt	ppt	26/26	994/1520	9/9	0	match	1033/1596	6090/6089	76d35a7900914e627bae955024528073
slides/ceiling-002/pptx/8_P-Pavese_AIRBUS-ATB-journee-CRATB.pptx	pptx	26/26	2135/2010	11/11	0	words	2328/2199	10424/9914	2cda6ea9d473f0e0c3bfe73632d138d1
slides/ceiling-002/pptx/Demick_JetBlue.pptx	pptx	10/10	812/608	4/4	0	words	835/631	3519/3179	62d2167ca1768473ee031c4237d60d0c
