# ours: Paperless.Cli from this worktree; ref: /opt/libreoffice26.2 26.2.4.2, eight Latin duplicate faces aside; corpus /home/user/sample-files words track
# abs_ink = sum of pdf-image-diff.py's per-page UNSIGNED |ink|%; rank on this
id	pages_ours	pages_ref	abs_ink	signed_ink	major	worst_page	worst_ink	dwords	note
FAA 2025-26 Holdover Tables__docx	167	167	341.86	328.47	43	127	13.12	18	
24-25_FAA_Holdover_Tables__docx	155	155	334.19	323.39	42	109	13.98	35	
AC-150-5370-10G-updated-201604__docx	696	696	113.17	101.46	178	5	3.02	30	unscoreable-font:DejaVuSans-Bold|DejaVuSerifCondensed-BoldItalic
150-5370-10H__docx	727	727	109.22	96.19	726	7	3.21	34	font-note:FreeSerif|
PES-Technical-Report-Template_Jan_2019__docx	14	14	35.91	32.13	12	2	8.88	2	
150_5335_5a__doc	64	64	21.46	17.34	7	13	2.78	79	
EHEST-SMS-Safety-Management-Manual-V2__docx	82	82	20.07	16.54	7	64	3.38	48	font-note:|DejaVuSansCondensed-BoldOblique,DejaVuSansCondensed-Oblique
hdss-bulletin-issue-285-25-june-2025__docx	10	10	17.98	11.48	6	9	4.23	56	
Case-Study-Heathrow-Airport__docx	3	3	14.70	14.05	3	1	11.55	0	
AirbusCallouts__doc	24	24	13.05	9.06	3	2	3.35	-3	font-note:|DejaVuSansCondensed-BoldOblique,DejaVuSansCondensed-Oblique
CRIF - Sp̩cification technique - Socle applicatif__docx	28	28	12.93	6.34	2	3	1.71	-5	unscoreable-font:DejaVuSans,DejaVuSans-Bold|LiberationSansNarrow,LiberationSansNarrow-Bold,Unifont
UG.CAO.00006 Foreign Part 145 approvals - User Guide for Applicants & Approval Holders__docx	29	29	11.52	9.10	4	13	3.85	288	font-note:|DejaVuSansCondensed-BoldOblique,DejaVuSansCondensed-Oblique
t_TEMPforInvProgs__docx	26	26	11.11	5.88	5	22	3.06	0	
part-145-approval list (1)__docx	8	8	11.07	3.16	6	3	2.93	-2	unscoreable-font:DejaVuSerif|DejaVuSerifCondensed-Italic
RMI_Document_Repository_Public-Reprts_GettingOffOil__doc	6	6	10.85	9.86	2	2	7.58	0	
AFS-050-004-F2_0i__docx	8	8	10.82	10.33	3	8	3.00	-2	unscoreable-font:DejaVuSans,DejaVuSans-Bold|DejaVuSerif-Bold
docs-quality-MA.IMS.00001-Integrated-Management-System-manual__docx	44	44	10.48	6.73	2	30	2.77	-7	font-note:|DejaVuSansCondensed-Oblique
HC-Bulletin-template__docx	5	5	10.45	9.95	2	2	7.02	0	unscoreable-font:LiberationSerif,LiberationSerif-Bold|DejaVuSansCondensed-Oblique,LiberationSans,LiberationSans-Bold
231164_SystemDesignDocument__docx	28	28	9.62	8.06	1	11	0.81	-4	unscoreable-font:DejaVuSans,DejaVuSans-Bold|LiberationSansNarrow,LiberationSansNarrow-Bold
PK_FlugzeugeStricken__doc	7	7	8.78	7.63	3	2	6.52	-14	
150_5300_13_chg12__doc	31	31	8.16	6.02	1	25	1.85	-23	font-note:LiberationSans|
762__doc	23	23	7.67	1.80	8	8	2.37	-1	font-note:|DejaVuSansCondensed-BoldOblique
part-145-approval list 2025__docx	7	7	7.67	2.93	4	7	1.56	-2	unscoreable-font:DejaVuSerif|DejaVuSerifCondensed-Italic
33004__docx	47	47	7.65	5.85	1	41	0.47	10	font-note:|DejaVuSansCondensed-Oblique
ABCD-WB-08-00 Weight and Balance Report - v1 08.03.16__docx	12	12	7.40	6.83	3	12	3.71	-76	unscoreable-font:FreeSerif|LiberationSerif,LiberationSerif-Italic
ESPN-R - MCF - RA - Ed1__docx	58	58	7.20	4.64	13	4	1.01	-39	
May 25 bulletin focus on carers in the workplace__docx	4	4	6.80	2.76	3	3	3.87	0	
195584360__docx	20	20	6.67	2.34	4	14	1.53	1	
review-welsh-government-communications-mister-peter-mandelson__docx	14	14	6.27	5.04	5	14	2.41	0	font-note:|DejaVuSansCondensed-Oblique
omrIMInterpretiveGuideLine__doc	2	2	5.88	1.92	2	1	3.28	-6	unscoreable-font:DejaVuSans,DejaVuSans-Bold|LiberationSansNarrow,LiberationSansNarrow-Bold
gpp-pr-top-7-office-markets-4q-2023__docx	4	4	5.16	5.13	1	2	4.72	-7	font-note:|DejaVuSansCondensed-Oblique
