# ours   = Paperless.Cli @ f4b8c38255a92caf1f05cc8acdf8d8288a5ceac4 (base, before this round)
# ref    = /opt/libreoffice26.2/program/soffice, LibreOffice 26.2.4.2 (TDF tarball)
# fonts  = system fontconfig; ALL FOUR tarball confounds moved aside on 2026-09-07 --
#          Carlito/Caladea/Liberation/DejaVu duplicates, the Latin Noto, and the four
#          LiberationSansNarrow. 38 faces in .duplicates-aside, 71 left in the directory.
#          fc-match "DejaVu Sans" -> DejaVuSans.ttf. fc-list | grep -i narrow is empty.
# rule   = batch-check.sh of 2026-09-05: page count, then alphanumeric characters within
#          max(2%, 15), then unembedded fonts.
# corpus = /home/user/sample-files (reference columns from /home/user/gate-2f47 @ 2f4709c08)
# note   = the reference half here reproduces probes/odf-gate-01/rows.tsv's ref columns on
#          302 of 302 .odp rows, pages and glyphs, so the Narrow move did not touch them.
path	ext	pages	words	fonts	unemb	verdict	rawwords	glyphs
slides/chartset-003/pptx/019_advanced_powerpoint_line.pptx	pptx	1/1	61/61	4/4	0	match	67/67	331/331
slides/chartset-003/pptx/027_advanced_powerpoint_line.pptx	pptx	1/1	61/61	4/4	0	match	67/67	326/326
slides/chartset-003/pptx/028_advanced_powerpoint_pie.pptx	pptx	1/1	52/52	4/4	0	match	58/58	300/300
slides/chartset-004/pptx/004_advanced_powerpoint_pie.pptx	pptx	1/1	52/52	4/4	0	match	58/58	300/300
slides/chartset-004/pptx/013_advanced_powerpoint_doughnut.pptx	pptx	1/1	52/52	4/4	0	match	58/58	297/297
slides/chartset-004/pptx/018_advanced_powerpoint_column.pptx	pptx	1/1	61/61	4/4	0	match	67/67	329/329
slides/chartset-004/pptx/020_advanced_powerpoint_pie.pptx	pptx	1/1	52/52	4/4	0	match	58/58	300/300
slides/chartset-004/pptx/021_advanced_powerpoint_doughnut.pptx	pptx	1/1	52/52	4/4	0	match	58/58	304/304
slides/chartset-004/pptx/022_advanced_powerpoint_area.pptx	pptx	1/1	61/61	4/4	0	match	67/67	329/329
slides/chartset-004/pptx/025_advanced_powerpoint_bar.pptx	pptx	1/1	61/61	4/4	0	match	67/67	323/323
slides/chartset-004/pptx/026_advanced_powerpoint_column.pptx	pptx	1/1	61/61	4/4	0	match	67/67	332/332
slides/chartset-004/pptx/029_advanced_powerpoint_doughnut.pptx	pptx	1/1	52/52	4/4	0	match	58/58	300/300
slides/chartset-005/pptx/004_2-Stage_Vertical_Funnel_Diagram_for_PowerPoint_593f4c80.pptx	pptx	1/1	70/69	3/3	0	match	70/69	340/340
slides/chartset-005/pptx/005_2-Step_Funnel_On_left_With_Text_767f0490.pptx	pptx	1/1	93/93	3/3	0	match	93/93	470/470
slides/chartset-005/pptx/006_2-Way_Horizontal_Hierarchy_for_PowerPoint_and_Google_Slides_7c1e5084.pptx	pptx	3/3	124/126	5/3	0	match	126/128	645/645
slides/chartset-005/pptx/011_3-Stage_Vertical_Funnel_Diagram_for_PowerPoint_10ce23dd.pptx	pptx	1/1	75/74	3/3	0	match	75/74	352/352
slides/chartset-005/pptx/068_Funnel_Diagram_for_PowerPoint_with_2_Steps_437e4ba7.pptx	pptx	1/1	10/10	3/3	0	match	10/10	63/63
slides/chartset-005/pptx/069_Funnel_Diagram_for_PowerPoint_with_3_Steps_f96396fc.pptx	pptx	1/1	12/12	3/3	0	match	12/12	68/68
slides/chartset-005/pptx/070_Funnel_Diagram_for_PowerPoint_with_4_Steps_975f1642.pptx	pptx	1/1	14/14	3/3	0	match	14/14	73/73
slides/chartset-005/pptx/071_Funnel_Diagram_for_PowerPoint_with_5_Steps_5ceacdec.pptx	pptx	1/1	16/16	3/3	0	match	16/16	78/78
slides/chartset-005/pptx/076_Hexadonut_Charts_for_PowerPoint_and_Google_Slides_2b879835.pptx	pptx	3/3	214/216	4/3	0	match	216/218	1101/1101
slides/chartset-005/pptx/084_Infographic_Hierarchy_Tree_for_PowerPoint_fda8141c.pptx	pptx	3/3	213/215	5/3	0	match	213/215	1128/1128
slides/chartset-006/pptx/001_1-2-3_Horizontal_Hierarchy_39795b4d.pptx	pptx	3/3	246/248	4/3	0	match	248/250	1247/1247
slides/chartset-006/pptx/007_3_Circles_Diagram_for_PowerPoint_dac9f170.pptx	pptx	3/3	269/271	4/3	0	match	269/271	1378/1378
slides/chartset-006/pptx/017_4-Stage_Vertical_Funnel_Diagram_for_PowerPoint_61e7bde5.pptx	pptx	1/1	80/79	3/3	0	match	80/79	364/364
slides/chartset-006/pptx/031_Alarm_Clock_Pie-Chart_for_PowerPoint_and_Google_Slides_0b185a05.pptx	pptx	3/3	358/360	4/3	0	match	360/362	1865/1865
slides/chartset-006/pptx/043_Dual_Horizontal_Hierarchy_for_PowerPoint_and_Google_Slides_5074b09e.pptx	pptx	3/3	124/126	5/3	0	match	126/128	693/693
slides/chartset-006/pptx/044_Dual_Mind_Spark_Chart_for_PowerPoint_a83f890a.pptx	pptx	4/4	483/486	4/3	0	match	486/489	2628/2628
slides/chartset-006/pptx/055_Four_Pillar_Hierarchy_for_PowerPoint_and_Google_Slides_6b42ed18.pptx	pptx	3/3	334/336	4/3	0	match	336/338	1705/1705
slides/chartset-006/pptx/077_Horizontal_Org_Chart_for_PowerPoint_and_Google_Slides_8cf07020.pptx	pptx	3/3	202/204	5/3	0	match	204/206	961/961
slides/chartset-006/pptx/094_Intersecting_Teardrops_for_PowerPoint_and_Google_Slides_ff43aedb.pptx	pptx	3/3	270/272	5/3	0	match	272/274	1405/1405
slides/chartset-006/pptx/099_Light_Bulb_SWOT_for_PowerPoint_and_Google_Slides_554a1e33.pptx	pptx	3/3	272/274	4/3	0	match	274/276	1395/1395
slides/chartset-007/pptx/035_Chemistry_Column_PowerPoint_Chart_45bf8a76.pptx	pptx	3/3	293/293	4/3	0	match	293/293	1462/1462
slides/chartset-007/pptx/039_Consumer_Decision_Journey_for_PowerPoint_319207e1.pptx	pptx	1/1	86/86	4/4	0	match	88/88	554/554
slides/chartset-007/pptx/047_Female_Radar_Brain_for_PowerPoint_and_Google_Slides_c2a541f6.pptx	pptx	4/4	536/539	5/3	0	match	539/542	2720/2720
slides/chartset-007/pptx/054_Flowchart_Board_Game_for_PowerPoint_and_Google_Slides_1b047962.pptx	pptx	3/3	180/182	4/3	0	match	182/184	967/967
slides/chartset-007/pptx/057_Four-Branch_Diagram_for_PowerPoint_and_Google_Slides_ddf5d27c.pptx	pptx	3/3	148/150	4/3	0	match	150/152	805/805
slides/chartset-007/pptx/083_Infographic_Hexagon_Cluster_for_PowerPoint_and_Google_Slides_ef811a12.pptx	pptx	3/3	204/206	5/3	0	match	206/208	1037/1037
slides/chartset-007/pptx/090_Infographic_Radial_for_PowerPoint_and_Google_Slides_16a69891.pptx	pptx	3/3	112/114	5/3	0	match	114/116	625/625
slides/chartset-007/pptx/091_Infographic_Radial_for_PowerPoint_and_Google_Slides_c6909fa6.pptx	pptx	3/3	422/424	4/3	0	match	424/426	2073/2073
slides/chartset-007/pptx/092_Infographic_Tree_Diagram_for_PowerPoint_and_Google_Slides_d721fa00.pptx	pptx	3/3	278/280	5/3	0	match	280/282	1293/1293
slides/chartset-007/pptx/096_Lab_Flask_Charts_for_PowerPoint_and_Google_Slides_91e3cbb5.pptx	pptx	3/3	192/194	4/3	0	match	194/196	1009/1009
slides/chartset-008/pptx/009_3-Circle_Venn_PowerPoint_Diagram_2e59baa9.pptx	pptx	2/2	136/136	5/4	0	match	136/136	692/692
slides/chartset-008/pptx/012_3-Step_Hexagons_Puzzle_Diagram_for_PowerPoint_982482b5.pptx	pptx	3/3	268/270	5/3	0	match	268/270	1307/1307
slides/chartset-008/pptx/018_4-Step_Hexagons_Puzzle_Diagram_for_PowerPoint_19957cce.pptx	pptx	3/3	350/352	5/3	0	match	350/352	1685/1685
slides/chartset-008/pptx/038_Competitive_Advantage_Card_for_PowerPoint_and_Google_Slides_373720f6.pptx	pptx	3/3	250/252	4/4	0	match	252/254	1585/1585
slides/chartset-008/pptx/040_Crab_Diagram_for_PowerPoint_and_Google_Slides_13d38ff3.pptx	pptx	3/3	116/118	5/3	0	match	118/120	633/633
slides/chartset-008/pptx/058_Four-Direction_Divergence_Diagram_for_PowerPoint_and_Google_Slides_9838e28d.pptx	pptx	3/3	272/274	4/3	0	match	274/276	1423/1423
slides/chartset-008/pptx/065_Fourfold_Ribbon_Rings_for_PowerPoint_and_Google_Slides_39687419.pptx	pptx	3/3	272/274	4/3	0	match	274/276	1401/1401
slides/chartset-008/pptx/072_Gear_Pie_Chart_for_PowerPoint_and_Google_Slides_d464d3a0.pptx	pptx	3/3	92/94	4/3	0	match	94/96	407/407
slides/chartset-008/pptx/078_Horizontal_Pyramid_Org_Chart_for_PowerPoint_and_Google_Slides_70ea115a.pptx	pptx	3/3	208/210	4/3	0	match	210/212	1155/1155
slides/chartset-008/pptx/100_Lime_and_Lemon_Data-Driven_Chart_for_PowerPoint_d7bb4a44.pptx	pptx	5/5	422/426	4/3	0	match	428/432	2032/2032
slides/chartset-009/pptx/015_4-Option_Color_Wheel_Diagram_df7e4b8f.pptx	pptx	3/3	281/280	5/5	0	match	286/285	1413/1413
slides/chartset-009/pptx/020_5-Option_Color_Wheel_Diagram_104ea3b0.pptx	pptx	3/3	317/316	5/5	0	match	322/321	1569/1569
slides/chartset-009/pptx/022_5-Step_Hexagons_Puzzle_Diagram_for_PowerPoint_eda9895e.pptx	pptx	3/3	432/434	5/3	0	match	432/434	2063/2063
slides/chartset-009/pptx/025_6-Option_Color_Wheel_Diagram_27e1c74d.pptx	pptx	3/3	405/404	5/5	0	match	410/409	2021/2021
slides/chartset-009/pptx/030_Abstract_Petal_Diagram_71aa5e3a.pptx	pptx	3/3	267/266	5/5	0	match	272/271	1337/1336
slides/chartset-009/pptx/033_Battery_Percentage_Chart_c99c24b5.pptx	pptx	3/3	223/222	5/5	0	match	228/227	1117/1117
slides/chartset-009/pptx/037_Circle_Matrix_Framework_44bc5218.pptx	pptx	3/3	287/286	5/5	0	match	292/291	1455/1454
slides/chartset-009/pptx/052_Flame_Percentage_Chart_d27d49c4.pptx	pptx	3/3	287/286	5/5	0	match	292/291	1421/1421
slides/chartset-009/pptx/075_Heart_Arc_Radial_for_PowerPoint_and_Google_Slides_a27a3021.pptx	pptx	3/3	210/212	5/3	0	match	212/214	1029/1029
slides/chartset-009/pptx/087_Infographic_Organization_Chart_for_PowerPoint_and_Google_Slides_2d951912.pptx	pptx	4/4	750/753	5/3	0	match	750/753	3855/3855
slides/chartset-010/pptx/002_10-Point_Dual_Hub_Comparison_4ee242c9.pptx	pptx	3/3	89/88	5/5	0	match	94/93	445/445
slides/chartset-010/pptx/027_6-Point_Dual_Hub_Comparison_13f9af30.pptx	pptx	3/3	89/88	5/5	0	match	94/93	443/443
