# ours   = Paperless.Cli @ f4b8c38255a92caf1f05cc8acdf8d8288a5ceac4 (base, before this round)
# ref    = /opt/libreoffice26.2/program/soffice, LibreOffice 26.2.4.2 (TDF tarball)
# fonts  = system fontconfig; ALL FOUR tarball confounds moved aside on 2026-09-07 --
#          Carlito/Caladea/Liberation/DejaVu duplicates, the Latin Noto, and the four
#          LiberationSansNarrow. 38 faces in .duplicates-aside, 71 left in the directory.
#          fc-match "DejaVu Sans" -> DejaVuSans.ttf. fc-list | grep -i narrow is empty.
# rule   = batch-check.sh of 2026-09-05: page count, then alphanumeric characters within
#          max(2%, 15), then unembedded fonts.
# corpus = /home/user/corpus-odf
# note   = the reference half here reproduces probes/odf-gate-01/rows.tsv's ref columns on
#          302 of 302 .odp rows, pages and glyphs, so the Narrow move did not touch them.
path	ext	pages	words	fonts	unemb	verdict	rawwords	glyphs
slides/ceiling-001/odp/7-Zulkefli_Part147n66_IKMAS.odp	odp	18/18	952/949	7/7	0	match	1015/1017	5545/5547
slides/ceiling-001/odp/Fundamentals_Module_1_basics.odp	odp	26/26	979/1089	5/6	0	words	1070/1180	5615/6471
slides/ceiling-001/odp/N2_E_Maestroni_Swarm_COP.odp	odp	30/30	5144/5152	4/6	0	match	5317/5325	28373/28279
slides/ceiling-001/odp/OnTrac_StarCertificationProgram-3Day.odp	odp	15/15	1284/1030	8/7	0	words	1389/1116	7576/6233
slides/ceiling-001/odp/RRM-training-syllabus-Chapter-3-Teamwork-TC-Towing-Incident-Analysis-Dec-2009.odp	odp	27/27	2461/2576	8/8	0	match	2648/2764	13826/13959
slides/ceiling-001/odp/Sylva%20introduction%20session.odp	odp	15/15	944/1527	7/8	0	match	1032/1623	5604/5700
slides/ceiling-001/odp/Thailand17.odp	odp	54/54	2641/2625	9/9	0	match	2840/2826	14356/14380
slides/ceiling-001/odp/W3_Case_Study_of_a_Tsunami_Warning_Simulation_Exercise_Ed.odp	odp	20/20	812/812	6/6	0	match	862/862	4473/4473
slides/ceiling-001/odp/architecture6.odp	odp	31/31	1926/2544	5/5	0	match	2011/2642	10857/10715
slides/ceiling-001/odp/solog_orientation_august_2019.odp	odp	15/15	658/685	6/7	0	words	717/746	4281/4393
slides/ceiling-002/odp/16 - UTM - (NASA).odp	odp	37/37	2251/2260	12/11	0	match	2437/2447	13991/13981
slides/ceiling-002/odp/8_P-Pavese_AIRBUS-ATB-journee-CRATB.odp	odp	26/26	2105/2010	11/11	0	words	2280/2199	10319/9914
slides/ceiling-002/odp/Demick_JetBlue.odp	odp	10/10	619/608	4/4	0	words	641/631	2897/3179
slides/ceiling-002/odp/WiGr_2021W_1_Angebot-Nachfrage-Elastizität-211017-171222.odp	odp	51/51	1898/1955	7/7	0	match	2069/2134	12908/13007
slides/ceiling-002/odp/pres_ioc_phuket.odp	odp	26/26	1008/1515	9/9	0	match	1081/1591	6080/6089
slides/chart-001/odp/southern-classic-kennesaw-state-university-final.odp	odp	23/23	2254/2268	8/7	0	match	2347/2379	10999/10946
slides/chartset-001/odp/008_advanced_powerpoint_bubble.odp	odp	1/1	42/42	3/3	0	match	48/48	284/284
slides/chartset-001/odp/015_advanced_powerpoint_scatter.odp	odp	1/1	42/42	3/3	0	match	48/48	283/283
slides/chartset-001/odp/016_advanced_powerpoint_bubble.odp	odp	1/1	43/43	3/3	0	match	49/49	287/287
slides/chartset-001/odp/031_advanced_powerpoint_scatter.odp	odp	1/1	42/42	3/3	0	match	48/48	278/278
slides/chartset-001/odp/bar_chart.odp	odp	1/1	25/25	1/2	0	match	25/25	131/131
slides/chartset-001/odp/combo_bar_line_chart.odp	odp	1/1	28/42	1/2	0	words	28/42	166/219
slides/chartset-001/odp/line_chart.odp	odp	1/1	23/23	1/2	0	match	23/23	113/113
slides/chartset-001/odp/scatter_chart.odp	odp	1/1	25/46	1/1	0	words	25/46	83/105
slides/chartset-001/odp/stacked_area_chart.odp	odp	1/1	29/29	1/2	0	match	29/29	174/174
slides/chartset-001/odp/stacked_bar_chart.odp	odp	1/1	29/29	1/2	0	match	29/29	173/173
slides/chartset-002/odp/001_advanced_powerpoint_bar.odp	odp	1/1	62/62	4/4	0	match	68/68	334/334
slides/chartset-002/odp/006_advanced_powerpoint_area.odp	odp	1/1	61/61	4/4	0	match	67/67	328/328
slides/chartset-002/odp/007_advanced_powerpoint_scatter.odp	odp	1/1	42/42	3/3	0	match	48/48	282/282
slides/chartset-002/odp/014_advanced_powerpoint_area.odp	odp	1/1	61/61	4/4	0	match	67/67	330/330
slides/chartset-002/odp/017_advanced_powerpoint_bar.odp	odp	1/1	62/62	4/4	0	match	68/68	339/339
slides/chartset-002/odp/023_advanced_powerpoint_scatter.odp	odp	1/1	42/42	3/3	0	match	48/48	283/283
slides/chartset-002/odp/024_advanced_powerpoint_bubble.odp	odp	1/1	42/42	3/3	0	match	48/48	286/286
slides/chartset-002/odp/030_advanced_powerpoint_area.odp	odp	1/1	61/61	4/4	0	match	67/67	327/327
slides/chartset-002/odp/032_advanced_powerpoint_bubble.odp	odp	1/1	42/42	3/3	0	match	48/48	284/284
slides/chartset-002/odp/033_advanced_powerpoint_bar.odp	odp	1/1	61/61	4/4	0	match	67/67	328/328
slides/chartset-003/odp/002_advanced_powerpoint_column.odp	odp	1/1	63/63	4/4	0	match	69/69	335/335
slides/chartset-003/odp/003_advanced_powerpoint_line.odp	odp	1/1	62/62	4/4	0	match	68/68	332/332
slides/chartset-003/odp/005_advanced_powerpoint_doughnut.odp	odp	1/1	52/52	4/4	0	match	58/58	301/301
slides/chartset-003/odp/009_advanced_powerpoint_bar.odp	odp	1/1	63/63	4/4	0	match	69/69	339/339
slides/chartset-003/odp/010_advanced_powerpoint_column.odp	odp	1/1	61/61	4/4	0	match	67/67	332/332
slides/chartset-003/odp/011_advanced_powerpoint_line.odp	odp	1/1	61/61	4/4	0	match	67/67	328/328
slides/chartset-003/odp/012_advanced_powerpoint_pie.odp	odp	1/1	53/53	4/4	0	match	59/59	308/308
slides/chartset-003/odp/019_advanced_powerpoint_line.odp	odp	1/1	61/61	4/4	0	match	67/67	331/331
slides/chartset-003/odp/027_advanced_powerpoint_line.odp	odp	1/1	61/61	4/4	0	match	67/67	326/326
slides/chartset-003/odp/028_advanced_powerpoint_pie.odp	odp	1/1	52/52	4/4	0	match	58/58	300/300
slides/chartset-004/odp/004_advanced_powerpoint_pie.odp	odp	1/1	52/52	4/4	0	match	58/58	300/300
slides/chartset-004/odp/013_advanced_powerpoint_doughnut.odp	odp	1/1	52/52	4/4	0	match	58/58	297/297
slides/chartset-004/odp/018_advanced_powerpoint_column.odp	odp	1/1	61/61	4/4	0	match	67/67	329/329
slides/chartset-004/odp/020_advanced_powerpoint_pie.odp	odp	1/1	52/52	4/4	0	match	58/58	300/300
slides/chartset-004/odp/021_advanced_powerpoint_doughnut.odp	odp	1/1	52/52	4/4	0	match	58/58	304/304
slides/chartset-004/odp/022_advanced_powerpoint_area.odp	odp	1/1	61/61	4/4	0	match	67/67	329/329
slides/chartset-004/odp/025_advanced_powerpoint_bar.odp	odp	1/1	61/61	4/4	0	match	67/67	323/323
slides/chartset-004/odp/026_advanced_powerpoint_column.odp	odp	1/1	61/61	4/4	0	match	67/67	332/332
