identity	sum|ink|%	pages	MAJOR
PBN Matrix NAAs (V01)__xlsx	2.50	25	3
State-Medicaid-Payment-Policies-for-Medicare-Cost-Sharing__ods	12.73	18	7
State-Medicaid-Payment-Policies-for-Medicare-Cost-Sharing__xlsx	12.52	18	7
TK-Syllabus-Comparison-Document-v2__ods	378.18	1235	124
TK-Syllabus-Comparison-Document-v2__xlsx	205.57	1235	66
flightstandards-doc-Cross-reference-table_version02__xlsx	18.17	464	39
fm-provider-service-measures__ods	14.55	35	3
fm-provider-service-measures__xlsx	21.67	38	5
tk-syllabus-comparison-document-v5__ods	46.86	855	27
tk-syllabus-comparison-document-v5__xlsx	46.55	855	37
