word	advance	over_limit	over_pitch	reference	ours
nnnnnnniiii	51.702	yes	no	turned	upright
nnnnnnniiil	51.702	yes	no	turned	upright
nnnnnnniiij	51.812	yes	no	turned	upright
nnnnnnnnii	52.449	yes	no	turned	upright
nnnnnnnnil	52.449	yes	no	turned	upright
nnnnnnniiif	52.553	yes	no	turned	upright
nnnnnnnnij	52.559	yes	no	turned	upright
nnnnnnniiit	52.888	yes	no	turned	upright
nnnnnnniiir	53.042	yes	no	turned	upright
nnnnnnnnn	53.196	yes	no	turned	upright
nnnnnnnnif	53.300	yes	no	turned	upright
nnnnnnniiis	53.520	yes	no	turned	upright
nnnnnnnnit	53.635	yes	no	turned	upright
nnnnnnnnir	53.789	yes	no	turned	upright
nnnnnnnnis	54.267	yes	yes	turned	turned
