identity	ext	path	npages	ours_pairs	ref_pairs	worst_page
070_Storyboard_Template_Blank_Format_fc41673a__docx	docx	words/chartset-014/docx/070_Storyboard_Template_Blank_Format_fc41673a.docx	1	1	1	0
RMI_Document_Repository_Public-Reprts_GettingOffOil__doc	doc	words/done-012/doc/RMI_Document_Repository_Public-Reprts_GettingOffOil.doc	6	1	0	2
FO.FCTOA_.000129 Application for activities related to FSTD__docx	docx	words/done-012/docx/FO.FCTOA_.000129 Application for activities related to FSTD.docx	6	2	0	3
071_Storyboard_Template_Cartoon_Theme_ae113de2__docx	docx	words/chartset-014/docx/071_Storyboard_Template_Cartoon_Theme_ae113de2.docx	1	2	2	0
5709.16 ch.40_mgfinal__docx	docx	words/done-010/docx/5709.16 ch.40_mgfinal.docx	32	1	0	1
Press release_EUREKA labels ITEA 3 Cluster__docx	docx	words/done-007/docx/Press release_EUREKA labels ITEA 3 Cluster.docx	2	1	1	0
eTAR_External_Web_tool_Tip_Sheet_mh__docx	docx	words/done-011/docx/eTAR_External_Web_tool_Tip_Sheet_mh.docx	4	1	0	4
A1. EASA Form 2__docx	docx	words/table-001/docx/A1. EASA Form 2.docx	7	1	0	7
