identity	ext	path	npages	ours_solo	ours_solo_pt	ours_solo_pages	ref_solo	ref_solo_pt	ref_solo_pages	worst_page
064_Foot_Reflexology_Chart_Customizable_Format_79b7db06__docx	docx	words/chartset-011/docx/064_Foot_Reflexology_Chart_Customizable_Format_79b7db06.docx	1	0	0	0	3	1755	1	0
009_Free_Genogram_Diagram_Template_Handy_Format_4bb900f0__docx	docx	words/chartset-007/docx/009_Free_Genogram_Diagram_Template_Handy_Format_4bb900f0.docx	1	0	0	0	29	939	1	0
008_Free_Genogram_Diagram_Template_Green_and_Yellow_Theme_9017c1a8__docx	docx	words/chartset-012/docx/008_Free_Genogram_Diagram_Template_Green_and_Yellow_Theme_9017c1a8.docx	1	1	42	1	33	936	1	1
024_Unit_Circle_Chart_Colorful_Circles_7c92601e__docx	docx	words/chartset-012/docx/024_Unit_Circle_Chart_Colorful_Circles_7c92601e.docx	1	2	77	1	5	1112	1	1
050_Visual_Product_Roadmap_Template_Yellow_and_Blue_Theme_49b50744__docx	docx	words/chartset-012/docx/050_Visual_Product_Roadmap_Template_Yellow_and_Blue_Theme_49b50744.docx	1	0	0	0	6	1583	1	0
010_Free_Genogram_Diagram_Template_Yellow_Theme_6ee4f818__docx	docx	words/chartset-008/docx/010_Free_Genogram_Diagram_Template_Yellow_Theme_6ee4f818.docx	1	0	0	0	39	1073	1	0
048_Visual_Product_Roadmap_Template_Quality_Layout_f38f7aee__docx	docx	words/chartset-013/docx/048_Visual_Product_Roadmap_Template_Quality_Layout_f38f7aee.docx	1	0	0	0	3	1489	1	0
098_Business_Case_Template_Fillable_Layout_d0c5410e__docx	docx	words/chartset-008/docx/098_Business_Case_Template_Fillable_Layout_d0c5410e.docx	1	0	0	0	2	926	1	0
069_Work_Breakdown_Structure_Template_Professional_Format_1e02dce1__docx	docx	words/chartset-013/docx/069_Work_Breakdown_Structure_Template_Professional_Format_1e02dce1.docx	1	0	0	0	62	5956	1	0
075_Storyboard_Template_Fillable_Format_7fa01641__docx	docx	words/chartset-013/docx/075_Storyboard_Template_Fillable_Format_7fa01641.docx	1	0	0	0	24	2840	1	0
014_Project_Timeline_Template_Blue_and_Green_Theme_a8311fa1__docx	docx	words/chartset-014/docx/014_Project_Timeline_Template_Blue_and_Green_Theme_a8311fa1.docx	1	0	0	0	6	982	1	0
042_Visual_Product_Roadmap_Template_Colored_Background_89385cfb__docx	docx	words/chartset-009/docx/042_Visual_Product_Roadmap_Template_Colored_Background_89385cfb.docx	1	2	219	1	0	0	0	1
008_advanced_word_chart_report__docx	docx	words/chartset-001/docx/008_advanced_word_chart_report.docx	1	4	2043	1	2	1023	1	1
020_Project_Timeline_Template_Modern_Theme_0c215d87__docx	docx	words/chartset-010/docx/020_Project_Timeline_Template_Modern_Theme_0c215d87.docx	1	0	0	0	3	1595	1	0
026_advanced_word_chart_report__docx	docx	words/chartset-001/docx/026_advanced_word_chart_report.docx	1	4	2043	1	2	1023	1	1
028_Unit_Circle_Chart_Optimized_Graph_83d9c756__docx	docx	words/chartset-010/docx/028_Unit_Circle_Chart_Optimized_Graph_83d9c756.docx	1	0	0	0	3	1189	1	0
clustered-column-template__docx	docx	words/chartset-001/docx/clustered-column-template.docx	1	0	0	0	3	862	1	0
Pre-Application_Letter_of_Intent_Example__docx	docx	words/done-001/docx/Pre-Application_Letter_of_Intent_Example.docx	1	2	1014	1	0	0	0	1
005_advanced_word_chart_report__docx	docx	words/chartset-002/docx/005_advanced_word_chart_report.docx	1	4	2043	1	2	1023	1	1
090_Business_Case_Template_Blue_Theme_108ff0f1__docx	docx	words/chartset-010/docx/090_Business_Case_Template_Blue_Theme_108ff0f1.docx	1	1	471	1	10	2554	1	1
private-hire-operators-licensed__docx	docx	words/done-001/docx/private-hire-operators-licensed.docx	2	27	9924	2	28	10292	2	1
