document	ext	chartex_parts	cx_f	c_f	c_f_defined_name	defined_names
054_Problem_analysis_with_Pareto_chart_11058329.xlsx	xlsx	1	6	0	0	7
051_Manufacturer_defect_analysis_53db27ea.xlsx	xlsx	1	6	0	0	7
