document	before	after
051_Manufacturer_defect_analysis_53db27ea__xlsx	b1e2dc0cd5e0	f5773df0c1ed
054_Problem_analysis_with_Pareto_chart_11058329__xlsx	2dcd9a440649	54889de694b6
# 243 renderings, 2 moved, 241 byte-identical
