file	pages	verdict	detail
015_4-Option_Color_Wheel_Diagram_df7e4b8f__pptx.pdf	3	no-field	
015_Free_Gantt_Chart_Template_for_Excel_414e86bf__xlsx.pdf	8	no-field	
015_Project_Timeline_Template_Colored_Background_6434b0e8__docx.pdf	2	skip-short	
015_advanced_excel_bubble__xlsx.pdf	3	no-field	
015_advanced_powerpoint_scatter__pptx.pdf	1	skip-short	
015_advanced_word_chart_report__docx.pdf	1	skip-short	
016_4-Position_Org_Chart_1d3640b6__pptx.pdf	3	no-field	
016_Free_Organizational_Chart_Template_-_Company_Organization_Chart_db913144__xlsx.pdf	4	no-field	
016_Project_Timeline_Template_Complete_Guide_7d36d09c__docx.pdf	1	skip-short	
016_advanced_excel_radar__xlsx.pdf	3	no-field	
016_advanced_powerpoint_bubble__pptx.pdf	1	skip-short	
016_advanced_word_chart_report__docx.pdf	1	skip-short	
017_4-Stage_Vertical_Funnel_Diagram_for_PowerPoint_61e7bde5__pptx.pdf	1	skip-short	
017_Project_Timeline_Template_Customizable_Format_5d5ca2e8__docx.pdf	1	skip-short	
017_Timeline_Templates_for_Excel_b88faee6__xlsx.pdf	3	no-field	
017_advanced_excel_bar__xlsx.pdf	3	no-field	
017_advanced_powerpoint_bar__pptx.pdf	1	skip-short	
017_advanced_word_chart_report__docx.pdf	1	skip-short	
018_4-Step_Hexagons_Puzzle_Diagram_for_PowerPoint_19957cce__pptx.pdf	3	no-field	
018_Project_Timeline_Template_Editable_Format_e1cf1df5__docx.pdf	1	skip-short	
018_Weight_Loss_Chart_-_Free_Printable_Weight_Loss_Charts_and_Weight_Log_3337bd0a__xlsx.pdf	10	no-field	
018_advanced_excel_line__xlsx.pdf	3	no-field	
018_advanced_powerpoint_column__pptx.pdf	1	skip-short	
018_advanced_word_chart_report__docx.pdf	1	skip-short	
019_4-Step_Segmented_Cycle_Process_2ff93c19__pptx.pdf	3	no-field	
019_Free_Blood_Sugar_Chart_for_Excel_-_Track_Your_Blood_Sugar_Level_36f4a782__xlsx.pdf	9	no-field	
019_Project_Timeline_Template_Excellent_Layout_4ee62967__docx.pdf	1	skip-short	
019_advanced_excel_pie__xlsx.pdf	3	no-field	
019_advanced_powerpoint_line__pptx.pdf	1	skip-short	
019_advanced_word_chart_report__docx.pdf	1	skip-short	
020_5-Option_Color_Wheel_Diagram_104ea3b0__pptx.pdf	3	no-field	
020_Free_Blood_Pressure_Chart_and_Printable_Blood_Pressure_Log_8f8dcc39__xlsx.pdf	6	no-field	
020_Project_Timeline_Template_Modern_Theme_0c215d87__docx.pdf	1	skip-short	
020_advanced_excel_doughnut__xlsx.pdf	3	no-field	
020_advanced_powerpoint_pie__pptx.pdf	1	skip-short	
020_advanced_word_chart_report__docx.pdf	1	skip-short	
021_5-Position_Org_Chart_cb042559__pptx.pdf	3	no-field	
021_Control_Chart_Template_-_Create_Control_Charts_in_Excel_fd3b1a5d__xlsx.pdf	5	no-field	
021_Unit_Circle_Chart_3D_Pie_Chart_404247ab__docx.pdf	1	skip-short	
021_advanced_excel_area__xlsx.pdf	3	no-field	
021_advanced_powerpoint_doughnut__pptx.pdf	1	skip-short	
021_advanced_word_chart_report__docx.pdf	1	skip-short	
022_5-Step_Hexagons_Puzzle_Diagram_for_PowerPoint_eda9895e__pptx.pdf	3	no-field	
022_Pareto_Chart_Template_-_Pareto_Analysis_in_Excel_with_Pareto_Diagram_82b5a874__xlsx.pdf	2	skip-short	
022_Unit_Circle_Chart_Circle_A_and_B_19dbf275__docx.pdf	1	skip-short	
022_advanced_excel_scatter__xlsx.pdf	3	no-field	
022_advanced_powerpoint_area__pptx.pdf	1	skip-short	
022_advanced_word_chart_report__docx.pdf	1	skip-short	
023_5-Step_Progress_Cards_91d5ff57__pptx.pdf	3	no-field	
023_Unit_Circle_Chart_Circular_Percentage_790f7b75__docx.pdf	1	skip-short	
023_Waterfall_Chart_Template_for_Excel_349f7689__xlsx.pdf	5	no-field	
023_advanced_excel_bubble__xlsx.pdf	3	no-field	
023_advanced_powerpoint_scatter__pptx.pdf	1	skip-short	
023_advanced_word_chart_report__docx.pdf	1	skip-short	
024_5-Step_Segmented_Cycle_Process_c8ca37ef__pptx.pdf	3	no-field	
024_Free_Kids_Chore_Chart_Template_ad74bb34__xlsx.pdf	3	no-field	
024_Unit_Circle_Chart_Colorful_Circles_7c92601e__docx.pdf	1	skip-short	
024_advanced_excel_radar__xlsx.pdf	3	no-field	
024_advanced_powerpoint_bubble__pptx.pdf	1	skip-short	
024_advanced_word_chart_report__docx.pdf	1	skip-short	
025_6-Option_Color_Wheel_Diagram_27e1c74d__pptx.pdf	3	no-field	
025_Printable_Reward_Charts_for_Kids_-_Reward_Chart_Template_aabacd93__xlsx.pdf	5	no-field	
025_Unit_Circle_Chart_Cos_and_Sin_Model_1ed01892__docx.pdf	1	skip-short	
025_advanced_excel_bar__xlsx.pdf	3	no-field	
025_advanced_powerpoint_bar__pptx.pdf	1	skip-short	
025_advanced_word_chart_report__docx.pdf	1	skip-short	
026_6-Part_Hexagon_Radial_Diagram_b8ca3f40__pptx.pdf	3	no-field	
026_Monthly_cash_flow_statement_Use_this_template_8aaebea1__xlsx.pdf	11	sequential	10/10 match index
026_Unit_Circle_Chart_Four_Quadrants_09bf3ed1__docx.pdf	1	skip-short	
026_advanced_excel_line__xlsx.pdf	3	no-field	
026_advanced_powerpoint_column__pptx.pdf	1	skip-short	
026_advanced_word_chart_report__docx.pdf	1	skip-short	
027_6-Point_Dual_Hub_Comparison_13f9af30__pptx.pdf	3	no-field	
027_Simple_personal_cash_flow_statement_675c6584__xlsx.pdf	10	sequential	9/9 match index
027_Unit_Circle_Chart_Graphical_Chart_5462a579__docx.pdf	1	skip-short	
027_advanced_excel_pie__xlsx.pdf	3	no-field	
027_advanced_powerpoint_line__pptx.pdf	1	skip-short	
027_advanced_word_chart_report__docx.pdf	1	skip-short	
028_8-Point_Dual_Hub_Comparison_d6c5dde5__pptx.pdf	3	no-field	
028_Budget_summary_report_4aeefd13__xlsx.pdf	4	sequential	3/3 match index
028_Unit_Circle_Chart_Optimized_Graph_83d9c756__docx.pdf	1	skip-short	
028_advanced_excel_doughnut__xlsx.pdf	3	no-field	
028_advanced_powerpoint_pie__pptx.pdf	1	skip-short	
028_advanced_word_chart_report__docx.pdf	1	skip-short	
029_8-Step_Neumorphic_Cycle_Diagram_b9b75044__pptx.pdf	3	no-field	
029_Annual_budget_Use_this_template_30324a97__xlsx.pdf	2	skip-short	
029_Unit_Circle_Chart_Pie_Theme_8a922142__docx.pdf	1	skip-short	
029_advanced_excel_area__xlsx.pdf	3	no-field	
029_advanced_powerpoint_doughnut__pptx.pdf	1	skip-short	
029_advanced_word_chart_report__docx.pdf	1	skip-short	
