arm	page	kind	y	x0	x1	thick
WB	1	line	262.90	70.35	310.85	1.000
WB	1	line	276.10	70.35	310.85	1.000
WB	1	line	289.60	70.85	310.35	3.000
WT	1	line	303.20	70.35	310.85	1.000
WT	1	line	316.40	70.35	310.85	1.000
WT	1	line	328.90	70.85	310.35	1.000
WT	1	line	341.50	70.35	310.85	1.000
MIX	1	line	354.70	70.35	310.85	1.000
MIX	1	line	367.20	190.35	310.35	1.000
MIX	1	line	379.80	70.35	310.85	1.000
MIXN	1	line	393.00	70.35	310.85	1.000
MIXN	1	line	405.50	70.85	310.35	1.000
MIXN	1	line	418.10	70.85	310.35	1.000
PBNIL	1	line	430.60	70.85	310.35	1.000
PBNIL	1	line	443.20	70.85	310.35	1.000
PBNIL	1	line	455.70	70.85	310.35	1.000
PBNIL	1	line	468.30	70.85	310.35	1.000
PBNIL	1	line	480.80	70.85	310.35	1.000
PBNIL	1	line	493.40	70.85	310.35	1.000
PBNIL	1	line	505.90	70.85	310.35	1.000
PBNIL	1	line	518.50	70.85	310.35	1.000
PBNIL	1	line	531.00	70.85	310.35	1.000
PBNIL	1	line	543.60	70.85	310.35	1.000
PBNIL	1	line	556.10	70.85	310.35	1.000
PBNIL	1	line	568.70	70.85	310.35	1.000
PBNIL	1	line	581.20	70.85	310.35	1.000
PBNIL	1	line	593.80	70.85	310.35	1.000
PBNIL	1	line	606.30	70.85	310.35	1.000
PBNIL	1	line	618.90	70.85	310.35	1.000
PBNIL	1	line	631.40	70.85	310.35	1.000
PBNIL	1	line	644.00	70.85	310.35	1.000
PBNIL	1	line	656.50	70.85	310.35	1.000
PBNIL	1	line	669.10	70.85	310.35	1.000
PBNIL	1	line	681.60	70.85	310.35	1.000
PBNIL	1	line	694.20	70.85	310.35	1.000
PBNIL	1	line	706.70	70.85	310.35	1.000
PBNIL	1	line	719.30	70.85	310.35	1.000
PBNIL	1	line	731.80	70.85	310.35	1.000
PBNIL	1	line	744.40	70.85	310.35	1.000
PBNIL	1	line	756.90	70.85	310.35	1.000
PBNIL	1	line	769.50	70.35	310.85	1.000
PBNIL	2	cell	72.29	76.10	119.94	11.07	r30c0
PBNIL	2	cell	72.29	196.10	239.94	11.07	r30c1
PBNIL	2	cell	84.84	76.10	119.94	11.07	r31c0
PBNIL	2	cell	84.84	196.10	239.59	11.07	r31c1
PBNIL	2	cell	97.39	76.10	119.94	11.07	r32c0
PBNIL	2	cell	97.39	196.10	239.94	11.07	r32c1
PBNIL	2	cell	109.94	76.10	119.94	11.07	r33c0
PBNIL	2	cell	109.94	196.10	239.94	11.07	r33c1
PBNIL	2	cell	122.49	76.10	119.94	11.07	r34c0
PBNIL	2	cell	122.49	196.10	239.94	11.07	r34c1
PBNIL	2	cell	135.04	76.10	119.94	11.07	r35c0
PBNIL	2	cell	135.04	196.10	239.94	11.07	r35c1
PBNIL	2	cell	147.59	76.10	119.94	11.07	r36c0
PBNIL	2	cell	147.59	196.10	239.94	11.07	r36c1
PBNIL	2	cell	160.14	76.10	119.94	11.07	r37c0
PBNIL	2	cell	160.14	196.10	239.94	11.07	r37c1
PBNIL	2	cell	172.69	76.10	119.94	11.07	r38c0
PBNIL	2	cell	172.69	196.10	239.94	11.07	r38c1
PBNIL	2	cell	185.24	76.10	119.94	11.07	r39c0
PBNIL	2	cell	185.24	196.10	239.94	11.07	r39c1
PBNIL	2	cell	197.79	76.10	119.94	11.07	r40c0
PBNIL	2	cell	197.79	196.10	239.94	11.07	r40c1
PBNIL	2	cell	210.34	76.10	119.94	11.07	r41c0
PBNIL	2	cell	210.34	196.10	239.59	11.07	r41c1
PBNIL	2	cell	222.89	76.10	119.94	11.07	r42c0
PBNIL	2	cell	222.89	196.10	239.94	11.07	r42c1
PBNIL	2	cell	235.44	76.10	119.94	11.07	r43c0
PBNIL	2	cell	235.44	196.10	239.94	11.07	r43c1
PBNN	2	cell	261.19	76.10	112.74	11.07	r0c0
PBNN	2	cell	261.19	196.10	232.74	11.07	r0c1
PBNN	2	cell	272.74	76.10	112.74	11.07	r1c0
PBNN	2	cell	272.74	196.10	232.39	11.07	r1c1
PBNN	2	cell	284.29	76.10	112.74	11.07	r2c0
PBNN	2	cell	284.29	196.10	232.74	11.07	r2c1
PBNN	2	cell	295.84	76.10	112.74	11.07	r3c0
PBNN	2	cell	295.84	196.10	232.74	11.07	r3c1
PBNN	2	cell	307.39	76.10	112.74	11.07	r4c0
PBNN	2	cell	307.39	196.10	232.74	11.07	r4c1
PBNN	2	cell	318.94	76.10	112.74	11.07	r5c0
PBNN	2	cell	318.94	196.10	232.74	11.07	r5c1
PBNN	2	cell	330.49	76.10	112.74	11.07	r6c0
PBNN	2	cell	330.49	196.10	232.74	11.07	r6c1
PBNN	2	cell	342.04	76.10	112.74	11.07	r7c0
PBNN	2	cell	342.04	196.10	232.74	11.07	r7c1
PBNN	2	cell	353.59	76.10	112.74	11.07	r8c0
PBNN	2	cell	353.59	196.10	232.74	11.07	r8c1
PBNN	2	cell	365.14	76.10	112.74	11.07	r9c0
PBNN	2	cell	365.14	196.10	232.74	11.07	r9c1
PBNN	2	cell	376.69	76.10	117.74	11.07	r10c0
PBNN	2	cell	376.69	196.10	237.74	11.07	r10c1
PBNN	2	cell	388.24	76.10	117.39	11.07	r11c0
PBNN	2	cell	388.24	196.10	236.99	11.07	r11c1
PBNN	2	cell	399.79	76.10	117.74	11.07	r12c0
PBNN	2	cell	399.79	196.10	237.74	11.07	r12c1
PBNN	2	cell	411.34	76.10	117.74	11.07	r13c0
