arm	page	y	x0	x1	thick
BB	1	83.60	70.35	310.85	1.000
BB	1	96.10	70.85	310.35	1.000
BB	1	108.70	70.35	310.85	1.000
BN	1	121.90	70.35	310.85	1.000
BN	1	134.40	70.85	310.35	1.000
BN	1	147.00	70.35	310.85	1.000
NT	1	160.20	70.35	310.85	1.000
NT	1	172.70	70.85	310.35	1.000
NT	1	185.30	70.35	310.85	1.000
NN	1	198.50	70.35	310.85	1.000
NN	1	222.60	70.35	310.85	1.000
WB	1	235.80	70.35	310.85	1.000
WB	1	249.30	70.85	310.35	3.000
WB	1	262.90	70.35	310.85	1.000
WT	1	276.10	70.35	310.85	1.000
WT	1	289.60	70.85	310.35	3.000
WT	1	303.20	70.35	310.85	1.000
MIX	1	316.40	70.35	310.85	1.000
MIX	1	328.90	70.85	310.35	1.000
MIX	1	341.50	70.35	310.85	1.000
MIXN	1	354.70	70.35	310.85	1.000
MIXN	1	367.20	190.35	310.35	1.000
MIXN	1	379.80	70.35	310.85	1.000
PBNIL	1	393.00	70.35	310.85	1.000
PBNIL	1	405.50	70.85	310.35	1.000
PBNIL	1	418.10	70.85	310.35	1.000
PBNIL	1	430.60	70.85	310.35	1.000
PBNIL	1	443.20	70.85	310.35	1.000
PBNIL	1	455.70	70.85	310.35	1.000
PBNIL	1	468.30	70.85	310.35	1.000
PBNIL	1	480.80	70.85	310.35	1.000
PBNIL	1	493.40	70.85	310.35	1.000
PBNIL	1	505.90	70.85	310.35	1.000
PBNIL	1	518.50	70.85	310.35	1.000
PBNIL	1	531.00	70.85	310.35	1.000
PBNIL	1	543.60	70.85	310.35	1.000
PBNIL	1	556.10	70.85	310.35	1.000
PBNIL	1	568.70	70.85	310.35	1.000
PBNIL	1	581.20	70.85	310.35	1.000
PBNIL	1	593.80	70.85	310.35	1.000
PBNIL	1	606.30	70.85	310.35	1.000
PBNIL	1	618.90	70.85	310.35	1.000
PBNIL	1	631.40	70.85	310.35	1.000
PBNIL	1	644.00	70.85	310.35	1.000
PBNIL	1	656.50	70.85	310.35	1.000
PBNIL	1	669.10	70.85	310.35	1.000
PBNIL	1	681.60	70.85	310.35	1.000
PBNIL	1	694.20	70.85	310.35	1.000
PBNIL	1	706.70	70.85	310.35	1.000
PBNIL	1	719.30	70.85	310.35	1.000
PBNIL	1	731.80	70.85	310.35	1.000
PBNIL	1	744.40	70.85	310.35	1.000
PBNIL	1	756.90	70.85	310.35	1.000
PBNIL	1	769.50	70.35	310.85	1.000
PBNIL	2	71.40	70.35	310.85	1.000
PBNIL	2	83.90	70.85	310.35	1.000
PBNIL	2	96.50	70.85	310.35	1.000
PBNIL	2	109.00	70.85	310.35	1.000
PBNIL	2	121.60	70.85	310.35	1.000
PBNIL	2	134.10	70.85	310.35	1.000
PBNIL	2	146.70	70.85	310.35	1.000
PBNIL	2	159.20	70.85	310.35	1.000
PBNIL	2	171.80	70.85	310.35	1.000
PBNIL	2	184.30	70.85	310.35	1.000
PBNIL	2	196.90	70.85	310.35	1.000
PBNIL	2	209.40	70.85	310.35	1.000
PBNIL	2	222.00	70.85	310.35	1.000
PBNIL	2	234.50	70.85	310.35	1.000
PBNIL	2	247.10	70.35	310.85	1.000
PBNN	2	260.30	70.35	310.85	1.000
PBNN	2	769.00	70.35	310.85	1.000
PBNN	3	70.90	70.35	310.85	1.000
PBNN	3	602.70	70.35	310.85	1.000
