# measure. 2026-09-06
# 24.2.7.2: /usr/bin/soffice -> LibreOffice 24.2.7.2 420(Build:2)
# 26.2.4.2: /opt/libreoffice26.2/program/soffice -> LibreOffice 26.2.4.2 0229ac93fcf0d7cbc6376066c6f35021cef002dc
# fonts: system /usr/share/fonts; the 26.2 tarball's Latin metric duplicates, its Latin NotoSans/NotoSerif and opens___.ttf are moved aside
# drawn = 1 - sum(TJ adjustment)/sum(declared /Widths); predicted = round(px96)/px96
# only runs whose text is entirely digits and separators are reported: an axis label carries no kerning pair in any of these faces, so every TJ adjustment in one is the round trip and not the font's own kerning
document	stack	size_pt	text	gaps	drawn_ratio	predicted_ratio	delta
001_advanced_excel_bar.xlsx	26.2.4.2	10.008	'100'	2	0.97233	0.97439	-0.00205
001_advanced_excel_bar.xlsx	26.2.4.2	10.008	'120'	2	0.97233	0.97439	-0.00205
001_advanced_excel_bar.xlsx	26.2.4.2	10.008	'140'	2	0.97233	0.97439	-0.00205
001_advanced_excel_bar.xlsx	26.2.4.2	10.008	'160'	2	0.97233	0.97439	-0.00205
001_advanced_excel_bar.xlsx	26.2.4.2	10.008	'180'	2	0.97233	0.97439	-0.00205
001_advanced_excel_bar.xlsx	26.2.4.2	14.995	'1.96'	3	1.00000	1.00032	-0.00032
001_advanced_excel_bar.xlsx	26.2.4.2	10.008	'20'	1	0.97233	0.97439	-0.00205
001_advanced_excel_bar.xlsx	26.2.4.2	10.008	'40'	1	0.97233	0.97439	-0.00205
001_advanced_excel_bar.xlsx	26.2.4.2	10.008	'60'	1	0.97233	0.97439	-0.00205
001_advanced_excel_bar.xlsx	26.2.4.2	10.008	'80'	1	0.97233	0.97439	-0.00205
001_advanced_excel_bar.xlsx	26.2.4.2	10.008	'100'	2	0.97233	0.97439	-0.00205
001_advanced_excel_bar.xlsx	26.2.4.2	10.008	'120'	2	0.97233	0.97439	-0.00205
001_advanced_excel_bar.xlsx	26.2.4.2	10.008	'140'	2	0.97233	0.97439	-0.00205
001_advanced_excel_bar.xlsx	26.2.4.2	10.008	'160'	2	0.97233	0.97439	-0.00205
001_advanced_excel_bar.xlsx	26.2.4.2	10.008	'180'	2	0.97233	0.97439	-0.00205
001_advanced_excel_bar.xlsx	26.2.4.2	10.998	'87'	1	1.00000	1.02287	-0.02287
001_advanced_excel_bar.xlsx	26.2.4.2	10.998	'95'	1	1.00000	1.02287	-0.02287
001_advanced_excel_bar.xlsx	26.2.4.2	10.998	'82'	1	1.00000	1.02287	-0.02287
