path	base	head
/home/user/sample-files/sheets/chartset-004/xlsx/009_advanced_excel_bar.xlsx	ecd4b0aee4a327b02401cc9ca6cd0efc	ecd4b0aee4a327b02401cc9ca6cd0efc
/home/user/sample-files/sheets/chartset-004/xlsx/010_advanced_excel_line.xlsx	2ffeddb29f2ea79dd59a79f20fe30922	2ffeddb29f2ea79dd59a79f20fe30922
/home/user/sample-files/sheets/chartset-004/xlsx/019_advanced_excel_pie.xlsx	fa80d82f175216cfafe064a32e5f1b0b	fa80d82f175216cfafe064a32e5f1b0b
/home/user/sample-files/sheets/chartset-004/xlsx/023_advanced_excel_bubble.xlsx	38e4e051b96745756c9f30244d4b4502	38e4e051b96745756c9f30244d4b4502
/home/user/sample-files/sheets/chartset-004/xlsx/DynamicBubbleChart.xlsx	343aef1cb36d5bcd51eda56cfd15c03f	84e262fcbddae084b02124a1668dcc24
/home/user/sample-files/sheets/chartset-004/xlsx/microsoft_learn_multi_chart_examples.xlsx	a66bc0ee31de344aee305c4bfc8ce15b	a66bc0ee31de344aee305c4bfc8ce15b
/home/user/sample-files/sheets/chartset-005/xlsx/004_Contextures_chart_sample_de7c0671.xlsx	a56543f5cff113b6dd6d5e4b6d33551f	a56543f5cff113b6dd6d5e4b6d33551f
/home/user/sample-files/sheets/chartset-005/xlsx/022_Pareto_Chart_Template_-_Pareto_Analysis_in_Excel_with_Pareto_Diagram_82b5a874.xlsx	f7b6f518bb3285e3219caba51dac15d4	f7b6f518bb3285e3219caba51dac15d4
/home/user/sample-files/sheets/chartset-005/xlsx/067_Basic_invoice_Use_this_template_1d35c3e9.xlsx	538e2087d965b7f0ea8ddf7b50368391	538e2087d965b7f0ea8ddf7b50368391
/home/user/sample-files/sheets/chartset-005/xlsx/073_Graph_paper_6e1a30eb.xlsx	1fcc7735887e48365e7caad85b84d004	1fcc7735887e48365e7caad85b84d004
/home/user/sample-files/sheets/chartset-005/xlsx/074_Idea_planner_bacaa123.xlsx	186ad0a7dcccab5c49f1b063bf044913	186ad0a7dcccab5c49f1b063bf044913
/home/user/sample-files/sheets/chartset-005/xlsx/091_Volunteer_Sign_Up_Sheet_Template_Colored_Background_2cb58d01.xlsx	d32c323861303b57da8a4afaa873d29d	d32c323861303b57da8a4afaa873d29d
/home/user/sample-files/sheets/chartset-005/xlsx/093_Volunteer_Sign_Up_Sheet_Template_Customizable_Format_3a4d6b58.xlsx	5f82db566a1971570bf7a137ee100e7c	5f82db566a1971570bf7a137ee100e7c
/home/user/sample-files/sheets/chartset-005/xlsx/095_Volunteer_Sign_Up_Sheet_Template_Fillable_Format_b3330009.xlsx	be9c88fdab85623baa43438ae7be5b24	be9c88fdab85623baa43438ae7be5b24
/home/user/sample-files/sheets/chartset-005/xlsx/096_Volunteer_Sign_Up_Sheet_Template_Green_Theme_b4f1809d.xlsx	9fc4bf549ca4482c22ebd163a71d9518	9fc4bf549ca4482c22ebd163a71d9518
/home/user/sample-files/sheets/chartset-005/xlsx/098_Volunteer_Sign_Up_Sheet_Template_Simple_Layout_080a06a1.xlsx	d532d6c0a061923d32ec4a9e889b6644	d532d6c0a061923d32ec4a9e889b6644
/home/user/sample-files/sheets/chartset-006/xls/011_Contextures_chart_sample_599b4392.xls	7b0aa359ac3571722e6c5e62c31923ed	7b0aa359ac3571722e6c5e62c31923ed
/home/user/sample-files/sheets/chartset-006/xls/014_Contextures_chart_sample_991ecfc5.xls	f7989f02b8cb9ddccb0d4c55edb660d6	f7989f02b8cb9ddccb0d4c55edb660d6
/home/user/sample-files/sheets/chartset-006/xlsx/005_Contextures_chart_sample_6e279b08.xlsx	f51d0b422f8287637f14d2feb5de1263	f51d0b422f8287637f14d2feb5de1263
/home/user/sample-files/sheets/chartset-006/xlsx/006_Contextures_chart_sample_afa23b53.xlsx	bfa6b7d2109b9b0688fac1d204653f9c	bfa6b7d2109b9b0688fac1d204653f9c
/home/user/sample-files/sheets/chartset-006/xlsx/044_Cash_flow_forecast_Use_this_template_b8fa1f35.xlsx	3c23db2ff3b0f273480c0f50d968a940	d14c4dfe7981c619a77625c9cc1ffdb0
/home/user/sample-files/sheets/chartset-006/xlsx/052_Manufacturing_output_chart_88570318.xlsx	5b58fc2ff270837452bd2d69981cae95	5b58fc2ff270837452bd2d69981cae95
/home/user/sample-files/sheets/chartset-006/xlsx/061_Regional_sales_chart_cb9eb690.xlsx	388e67ac5b98f70cfa2ba811e33f30db	388e67ac5b98f70cfa2ba811e33f30db
/home/user/sample-files/sheets/chartset-006/xlsx/070_Equipment_inventory_list_Use_this_template_fd524c8a.xlsx	7c3bdc751b57b572082bfa38f0051c2d	7c3bdc751b57b572082bfa38f0051c2d
/home/user/sample-files/sheets/chartset-006/xlsx/088_To-do_list_with_progress_tracker_Use_this_template_8c438912.xlsx	47e26d21a5bc51624f24ee9d8c67a918	47e26d21a5bc51624f24ee9d8c67a918
/home/user/sample-files/sheets/chartset-006/xlsx/089_Vintage_inventory_list_Use_this_template_f616cac0.xlsx	0ab23fac8d2d7b48aa997271314e977e	0ab23fac8d2d7b48aa997271314e977e
/home/user/sample-files/sheets/chartset-007/xlsm/003_Contextures_chart_sample_9bda2719.xlsm	3959855e93af0f987d5fe5fca6bf457e	3959855e93af0f987d5fe5fca6bf457e
/home/user/sample-files/sheets/chartset-007/xlsx/037_Personal_money_tracker_a57957bb.xlsx	9a7f804ccc6ebc4d2bd3cdb4e2a3340f	9a7f804ccc6ebc4d2bd3cdb4e2a3340f
/home/user/sample-files/sheets/chartset-007/xlsx/040_Blood_pressure_tracker_872b6833.xlsx	067f56a1c5c2887ba4f684cdfba6dc91	067f56a1c5c2887ba4f684cdfba6dc91
/home/user/sample-files/sheets/chartset-007/xlsx/050_Financial_vision_d44241e1.xlsx	ed0d47d1ba775b5cfb4ef7828c17bb70	ed0d47d1ba775b5cfb4ef7828c17bb70
/home/user/sample-files/sheets/chartset-007/xlsx/054_Problem_analysis_with_Pareto_chart_11058329.xlsx	8ea76d4b6dfd744a461e97e64e6f7be3	8ea76d4b6dfd744a461e97e64e6f7be3
/home/user/sample-files/sheets/chartset-007/xlsx/058_Social_media_engagement_data_cfa1cb18.xlsx	808f87bed05f139e15c9956861a67165	808f87bed05f139e15c9956861a67165
/home/user/sample-files/sheets/chartset-007/xlsx/063_Sales_pipeline_aec57013.xlsx	d98d07d278d75ce82c7ae37a4133b713	d98d07d278d75ce82c7ae37a4133b713
/home/user/sample-files/sheets/chartset-007/xlsx/082_Project_to_do_list_28f80082.xlsx	1d8ee0210265d0f32a324b4aa400c625	1d8ee0210265d0f32a324b4aa400c625
/home/user/sample-files/sheets/chartset-007/xlsx/083_Project_tracker_Use_this_template_b38d057c.xlsx	1de9cb887948aa2fd3a21d6ffebe5144	1de9cb887948aa2fd3a21d6ffebe5144
/home/user/sample-files/sheets/chartset-007/xlsx/090_Weekly_time_sheet_Use_this_template_0499cc43.xlsx	47c9fd992fc8a433e8e0f793e7ef36dc	47c9fd992fc8a433e8e0f793e7ef36dc
/home/user/sample-files/sheets/chartset-008/xlsx/008_Contextures_chart_sample_7ea7a1d7.xlsx	61d16857e40a2e2effa299d0572f84d2	61d16857e40a2e2effa299d0572f84d2
/home/user/sample-files/sheets/chartset-008/xlsx/021_Control_Chart_Template_-_Create_Control_Charts_in_Excel_fd3b1a5d.xlsx	a6e128d9606ad265ed22ea4dc9b45a4c	a6e128d9606ad265ed22ea4dc9b45a4c
/home/user/sample-files/sheets/chartset-008/xlsx/023_Waterfall_Chart_Template_for_Excel_349f7689.xlsx	2995146b4755a75baacefda935972565	2995146b4755a75baacefda935972565
