identity	base|ink|%	head|ink|%	pages	baseMAJOR	headMAJOR
Infotabelle_WLAN im Flugzeug__xlsx	0.00	0.00	4	0	0
List of EQS securities_0__ods	no-ref
List of EQS securities_0__xls	0.46	0.46	104	0	0
NPIAS_App_A__ods	41.55	41.55	124	9	9
NPIAS_App_A__xls	6.21	6.21	124	0	0
ODs-February-2022-Airbus-Commercial-Aircraft__ods	4.57	0.98	175	3	2
ODs-February-2022-Airbus-Commercial-Aircraft__xlsx	4.62	1.03	175	4	3
P1636e__ods	0.06	0.06	2	0	0
P1636e__xls	0.01	0.01	2	0	0
PBN Matrix NAAs (V01)__ods	1.16	0.94	25	1	0
PBN Matrix NAAs (V01)__xlsx	2.55	2.33	25	3	2
RegChangeReport__ods	4.94	4.64	12	7	6
RegChangeReport__xlsx	5.32	5.03	12	6	5
SIL_TDB648__ods	72.17	70.87	88	39	38
SIL_TDB648__xlsx	3.43	3.01	90	3	2
STC_WebList__ods	0.00	0.00	0	0	0
STC_WebList__xlsx	0.00	0.00	0	0	0
TDA_Smoke-Detectors__ods	1.76	0.26	28	1	0
TDA_Smoke-Detectors__xlsx	2.03	0.53	28	1	0
TOGAF9-Tool-ConfReqts-CSQ__ods	13.05	9.04	28	3	0
TOGAF9-Tool-ConfReqts-CSQ__xls	16.75	12.92	28	4	1
Template Pilot Logbook JAR-FCL V3.0__ods	5.71	5.35	38	2	2
Template Pilot Logbook JAR-FCL V3.0__xls	1.72	1.34	38	1	1
certification-type-certificates-docs-tcdns-databases-MAdB-Rotorcraft-14-28112013__ods	3.98	3.86	82	0	0
certification-type-certificates-docs-tcdns-databases-MAdB-Rotorcraft-14-28112013__xlsx	4.00	3.86	82	0	0
fm-provider-service-measures__ods	14.55	12.74	35	3	2
fm-provider-service-measures__xlsx	21.67	19.86	38	5	4
fse_identification_form__ods	0.38	0.45	3	0	0
fse_identification_form__xlsx	0.25	0.32	3	0	0
grants-2005__ods	48.36	48.36	201	0	0
grants-2005__xls	96.11	96.11	201	45	45
orbus_togaf_tool_csq__ods	65.43	60.26	75	27	22
orbus_togaf_tool_csq__xls	50.90	45.72	75	24	20
register-changes-in-may-2024---adujsted__ods	2.25	0.04	7	1	0
register-changes-in-may-2024---adujsted__xlsx	2.28	0.04	10	1	0
template-ECSPR-notifications__ods	1.80	0.22	26	3	0
template-ECSPR-notifications__xlsx	3.31	1.86	26	12	11
