doc	pages_base	pages_after	alnum_base	alnum_after
021_Unit_Circle_Chart_3D_Pie_Chart_404247ab__docx.pdf	1	1	549	549
028_Unit_Circle_Chart_Optimized_Graph_83d9c756__docx.pdf	1	1	1220	1220
ABCD-FE-01-00 Flight Envelope - v1 08.03.16__docx.pdf	14	14	18420	18420
clustered-column-result__docx.pdf	1	1	389	389
clustered-column-template__docx.pdf	1	1	200	200
pie-chart-result__docx.pdf	1	1	234	234
pie-chart-template__docx.pdf	1	1	73	73
