doc	ours_items	ref_items	ours_meanw	ref_meanw	width_ratio	hair_ours	hair_ref	ratio_ex_hair
(5000021142)-(subc0226)-criminology-subject-collection-list__xlsx.pdf	160	165	0.750	0.750	1.000	0	0	1.000
001_Contextures_chart_sample_b089bc34__xlsx.pdf	59	72	0.131	0.883	0.149	54	0	1.754
001_advanced_excel_bar__xlsx.pdf	26	26	0.737	0.736	1.002	0	0	1.002
002_Contextures_chart_sample_f605e7bc__xlsx.pdf	30	40	0.750	0.909	0.825	0	0	0.825
002_advanced_excel_line__xlsx.pdf	38	38	0.818	0.816	1.002	0	0	1.002
004_Contextures_chart_sample_de7c0671__xlsx.pdf	63	71	0.960	0.969	0.991	1	0	1.007
00514292__xlsx.pdf	77	91	0.717	0.719	0.998	0	0	0.998
005_Contextures_chart_sample_6e279b08__xlsx.pdf	179	185	0.297	0.750	0.397	108	0	1.000
005_advanced_excel_area__xlsx.pdf	28	28	0.737	0.736	1.002	0	0	1.002
006_Contextures_chart_sample_afa23b53__xlsx.pdf	40	47	0.863	0.918	0.939	2	0	0.989
006_advanced_excel_scatter__xlsx.pdf	44	44	0.760	0.759	1.002	0	0	1.002
007_advanced_excel_bubble__xlsx.pdf	40	40	0.737	0.736	1.002	0	0	1.002
008_Contextures_chart_sample_7ea7a1d7__xlsx.pdf	56	61	0.027	0.766	0.035	54	0	0.979
009_Contextures_chart_sample_adcb3f6c__xlsx.pdf	42	51	0.750	0.806	0.931	0	0	0.931
009_advanced_excel_bar__xlsx.pdf	28	28	0.737	0.736	1.002	0	0	1.002
010_Contextures_chart_sample_e6ea06a3__xlsx.pdf	65	75	0.258	0.859	0.300	48	0	1.148
010_advanced_excel_line__xlsx.pdf	40	40	0.814	0.812	1.002	0	0	1.002
011_Contextures_chart_sample_599b4392__xls.pdf	30	37	0.950	0.987	0.962	0	0	0.962
013_advanced_excel_area__xlsx.pdf	28	28	0.737	0.736	1.002	0	0	1.002
014_Contextures_chart_sample_991ecfc5__xls.pdf	108	136	0.000	0.250	0.000	108	108	0.000
014_advanced_excel_scatter__xlsx.pdf	46	46	0.759	0.758	1.002	0	0	1.002
015_Free_Gantt_Chart_Template_for_Excel_414e86bf__xlsx.pdf	199	213	0.586	0.593	0.990	0	0	0.990
015_advanced_excel_bubble__xlsx.pdf	42	42	0.737	0.736	1.002	0	0	1.002
016_Free_Organizational_Chart_Template_-_Company_Organization_Chart_db913144__xlsx.pdf	123	128	1.021	1.003	1.018	0	0	1.018
017_Timeline_Templates_for_Excel_b88faee6__xlsx.pdf	44	53	1.119	1.207	0.927	0	0	0.927
017_advanced_excel_bar__xlsx.pdf	26	26	0.737	0.736	1.002	0	0	1.002
018_Weight_Loss_Chart_-_Free_Printable_Weight_Loss_Charts_and_Weight_Log_3337bd0a__xlsx.pdf	350	415	0.676	0.590	1.147	0	54	0.998
018_advanced_excel_line__xlsx.pdf	38	38	0.818	0.816	1.002	0	0	1.002
019_Free_Blood_Sugar_Chart_for_Excel_-_Track_Your_Blood_Sugar_Level_36f4a782__xlsx.pdf	528	648	0.584	0.457	1.277	0	120	1.040
020_Free_Blood_Pressure_Chart_and_Printable_Blood_Pressure_Log_8f8dcc39__xlsx.pdf	221	236	0.750	0.748	1.002	0	0	1.002
021_advanced_excel_area__xlsx.pdf	28	28	0.737	0.736	1.002	0	0	1.002
022_Pareto_Chart_Template_-_Pareto_Analysis_in_Excel_with_Pareto_Diagram_82b5a874__xlsx.pdf	57	74	0.518	0.402	1.286	0	16	1.008
022_advanced_excel_scatter__xlsx.pdf	44	44	0.760	0.759	1.002	0	0	1.002
023_advanced_excel_bubble__xlsx.pdf	40	40	0.737	0.736	1.002	0	0	1.002
024_Free_Kids_Chore_Chart_Template_ad74bb34__xlsx.pdf	101	107	0.325	0.352	0.925	0	0	0.925
025_advanced_excel_bar__xlsx.pdf	28	28	0.737	0.736	1.002	0	0	1.002
026_advanced_excel_line__xlsx.pdf	38	38	0.818	0.816	1.002	0	0	1.002
028_Budget_summary_report_4aeefd13__xlsx.pdf	71	68	0.544	0.564	0.965	3	0	1.008
029_Annual_budget_Use_this_template_30324a97__xlsx.pdf	40	38	0.230	0.419	0.548	17	0	0.954
029_advanced_excel_area__xlsx.pdf	28	28	0.737	0.736	1.002	0	0	1.002
030_Basic_balance_sheet_Use_this_template_10ed9144__xlsx.pdf	154	158	0.857	0.923	0.929	6	0	0.967
030_advanced_excel_scatter__xlsx.pdf	46	46	0.759	0.758	1.002	0	0	1.002
031_advanced_excel_bubble__xlsx.pdf	40	40	0.737	0.736	1.002	0	0	1.002
032_Business_expenses_budget_d377eaab__xlsx.pdf	142	141	0.338	0.477	0.708	30	4	0.872
033_Event_planning_tracker_Use_this_template_f29a848e__xlsx.pdf	94	96	0.448	0.453	0.989	2	0	1.010
033_advanced_excel_bar__xlsx.pdf	26	26	0.737	0.736	1.002	0	0	1.002
034_Personal_net_worth_calculator_f7b8fb57__xlsx.pdf	73	80	0.771	0.760	1.015	0	1	1.002
034_advanced_excel_line__xlsx.pdf	40	40	0.814	0.812	1.002	0	0	1.002
035_Project_plan_for_law_firms_aa2d4462__xlsx.pdf	26	27	0.557	0.557	1.000	0	0	1.000
036_Simple_to-do_list_Use_this_template_ba44373b__xlsx.pdf	29	28	0.293	0.326	0.900	3	0	1.003
037_Personal_money_tracker_a57957bb__xlsx.pdf	74	81	0.779	0.817	0.953	13	16	0.928
038_Baby_growth_chart_bb9cd672__xlsx.pdf	33	31	0.278	0.298	0.934	2	0	0.995
039_Baby_growth_tracker_e295ae56__xlsx.pdf	33	31	0.273	0.292	0.934	2	0	0.995
040_Blood_pressure_tracker_872b6833__xlsx.pdf	31	31	0.619	0.653	0.947	2	0	1.012
043_Buy_a_car_vs._rideshare_ff07c7e6__xlsx.pdf	59	62	0.940	0.944	0.997	1	0	1.014
044_Cash_flow_forecast_Use_this_template_b8fa1f35__xlsx.pdf	330	332	0.465	0.470	0.989	4	0	1.001
045_Check_register_with_chart_4becb8a0__xlsx.pdf	17	17	1.560	1.559	1.000	0	0	1.000
046_Cost_analysis_with_Pareto_chart_7db5ef69__xlsx.pdf	15	13	0.180	0.210	0.857	2	0	0.989
049_Expenses_calculator_c351f3d0__xlsx.pdf	34	39	0.973	1.035	0.940	0	3	0.868
050_Financial_vision_d44241e1__xlsx.pdf	23	23	0.460	0.470	0.978	1	0	1.023
052_Manufacturing_output_chart_88570318__xlsx.pdf	11	10	0.430	0.464	0.925	1	0	1.018
053_Personal_asset_inventory_5446d84b__xlsx.pdf	27	32	0.683	0.685	0.997	2	0	1.077
057_Simple_balance_sheet_Use_this_template_e2d4cbb2__xlsx.pdf	18	16	1.359	1.451	0.936	2	0	1.053
058_Social_media_engagement_data_cfa1cb18__xlsx.pdf	12	11	0.517	0.556	0.929	1	0	1.013
061_Regional_sales_chart_cb9eb690__xlsx.pdf	26	26	0.674	0.676	0.997	0	0	0.997
064_Small_business_cash_flow_Use_this_template_0a640756__xlsx.pdf	302	383	0.065	0.523	0.123	240	78	0.479
071_Four-week_project_timeline_Use_this_template_4f05db49__xlsx.pdf	81	90	0.338	0.367	0.921	0	0	0.921
073_Graph_paper_6e1a30eb__xlsx.pdf	173	179	0.750	0.750	1.000	0	0	1.000
079_Org_charts_visual_248d1dcf__xlsx.pdf	157	159	0.156	0.158	0.989	0	0	0.989
082_Project_to_do_list_28f80082__xlsx.pdf	10	10	0.435	0.435	1.000	0	0	1.000
084_Service_invoice_Use_this_template_c92b43dc__xlsx.pdf	36	40	0.154	0.182	0.849	0	0	0.849
085_Simple_Gantt_chart_d65b8377__xlsx.pdf	336	384	0.398	0.399	0.997	0	0	0.997
090_Weekly_time_sheet_Use_this_template_0499cc43__xlsx.pdf	26	29	0.472	0.467	1.012	0	0	1.012
091_Volunteer_Sign_Up_Sheet_Template_Colored_Background_2cb58d01__xlsx.pdf	32	35	0.100	0.100	1.000	0	0	1.000
093_Volunteer_Sign_Up_Sheet_Template_Customizable_Format_3a4d6b58__xlsx.pdf	76	86	0.750	0.750	1.000	0	0	1.000
094_Volunteer_Sign_Up_Sheet_Template_Editable_Format_6711b281__xlsx.pdf	30	34	0.737	0.737	1.000	0	0	1.000
096_Volunteer_Sign_Up_Sheet_Template_Green_Theme_b4f1809d__xlsx.pdf	99	104	0.100	0.104	0.962	0	0	0.962
16424782563923__xlsx.pdf	123	129	0.750	0.750	1.000	0	0	1.000
18-02RD301_ILS_components_Master_9-13-18__xls.pdf	10	11	0.750	0.750	1.000	0	0	1.000
2012-GA-Survey-Chapter-5-Tables-16Dec2013-V2__xls.pdf	44	45	0.382	0.395	0.966	16	16	0.978
