doc	ours_items	ref_items	ours_meanw	ref_meanw	width_ratio	hair_ours	hair_ref	ratio_ex_hair
001_advanced_powerpoint_bar__pptx.pdf	30	30	0.992	0.992	1.000	0	0	1.000
002_advanced_powerpoint_column__pptx.pdf	30	30	0.992	0.992	1.000	0	0	1.000
003_advanced_powerpoint_line__pptx.pdf	52	52	0.727	0.727	1.000	18	18	1.000
006_advanced_powerpoint_area__pptx.pdf	30	30	0.992	0.992	1.000	0	0	1.000
009_advanced_powerpoint_bar__pptx.pdf	30	30	0.992	0.992	1.000	0	0	1.000
010_advanced_powerpoint_column__pptx.pdf	30	30	0.992	0.992	1.000	0	0	1.000
011_advanced_powerpoint_line__pptx.pdf	52	52	0.727	0.727	1.000	18	18	1.000
014_advanced_powerpoint_area__pptx.pdf	30	30	0.992	0.992	1.000	0	0	1.000
015_4-Option_Color_Wheel_Diagram_df7e4b8f__pptx.pdf	16	16	1.502	1.502	1.000	8	8	1.000
017_advanced_powerpoint_bar__pptx.pdf	30	30	0.992	0.992	1.000	0	0	1.000
018_advanced_powerpoint_column__pptx.pdf	30	30	0.992	0.992	1.000	0	0	1.000
019_advanced_powerpoint_line__pptx.pdf	52	52	0.727	0.727	1.000	18	18	1.000
020_5-Option_Color_Wheel_Diagram_104ea3b0__pptx.pdf	35	35	1.498	1.498	1.000	15	15	1.000
022_5-Step_Hexagons_Puzzle_Diagram_for_PowerPoint_eda9895e__pptx.pdf	10	10	2.239	2.239	1.000	0	0	1.000
022_advanced_powerpoint_area__pptx.pdf	30	30	0.992	0.992	1.000	0	0	1.000
025_6-Option_Color_Wheel_Diagram_27e1c74d__pptx.pdf	36	36	1.789	1.789	1.000	10	10	1.000
025_advanced_powerpoint_bar__pptx.pdf	30	30	0.992	0.992	1.000	0	0	1.000
026_advanced_powerpoint_column__pptx.pdf	30	30	0.992	0.992	1.000	0	0	1.000
027_advanced_powerpoint_line__pptx.pdf	52	52	0.727	0.727	1.000	18	18	1.000
02_REDAC_New ATM briefing _March 2017v2__pptx.pdf	17	22	1.062	1.046	1.015	0	0	1.015
030_advanced_powerpoint_area__pptx.pdf	30	30	0.992	0.992	1.000	0	0	1.000
032_BCG_Growth-Share_Matrix_560d0485__pptx.pdf	116	116	1.034	1.034	1.000	0	0	1.000
033_advanced_powerpoint_bar__pptx.pdf	30	30	0.992	0.992	1.000	0	0	1.000
035_Chemistry_Column_PowerPoint_Chart_45bf8a76__pptx.pdf	40	40	1.888	1.888	1.000	0	0	1.000
036_Chevron_Process_Cards_3c8f0ea1__pptx.pdf	10	10	3.005	3.005	1.000	0	0	1.000
040_Crab_Diagram_for_PowerPoint_and_Google_Slides_13d38ff3__pptx.pdf	18	18	3.005	3.005	1.000	0	0	1.000
049_Five-Block_Hub_Spoke_42ee8593__pptx.pdf	11	13	2.126	1.921	1.107	0	0	1.107
051_Five-Stage_Zigzag_Timeline_2bd39be9__pptx.pdf	22	22	4.113	4.113	1.000	0	0	1.000
053_Flow_Wave_Process_9c0082f4__pptx.pdf	60	74	1.200	1.161	1.034	0	0	1.034
054_Flowchart_Board_Game_for_PowerPoint_and_Google_Slides_1b047962__pptx.pdf	18	18	4.507	4.507	1.000	0	0	1.000
064_Four-Step_Success_Cycle_30c0a917__pptx.pdf	32	32	2.537	2.537	1.000	0	0	1.000
066_Free_PowerPoint_Layered_Funnel_Process_c0b380ec__pptx.pdf	75	75	0.850	0.850	1.000	0	0	1.000
067_Free_PowerPoint_Layered_Funnel_Process_4_Stages_4deb9647__pptx.pdf	52	52	0.866	0.866	1.000	0	0	1.000
078_Horizontal_Pyramid_Org_Chart_for_PowerPoint_and_Google_Slides_70ea115a__pptx.pdf	20	20	0.510	0.510	1.000	0	0	1.000
079_Horizontal_Relationships_for_PowerPoint_and_Google_Slides_a3d35f63__pptx.pdf	19	19	14.003	14.003	1.000	0	0	1.000
080214-Intl-pol-frameworks-and-their-implications-for-Africa-ISS-workshop__ppt.pdf	16	16	1.531	1.534	0.998	0	0	0.998
081_Infographic_Funnel_w_3_Stages_for_PowerPoint_28e26b31__pptx.pdf	24	24	0.992	0.992	1.000	0	0	1.000
082_Infographic_Funnel_with_4_Stages_for_PowerPoint_72d4f125__pptx.pdf	32	32	0.992	0.992	1.000	0	0	1.000
085_Infographic_Org_Chart_for_PowerPoint_5_Blocks_3870252f__pptx.pdf	18	18	1.471	1.471	1.000	0	0	1.000
086_Infographic_Org_Chart_for_PowerPoint_6_Blocks_f9086d83__pptx.pdf	24	24	1.375	1.375	1.000	0	0	1.000
098_Leaning_Cards_Process_dadb3738__pptx.pdf	26	26	1.949	1.949	1.000	0	0	1.000
10. Drawings, circuit diagrams and schematics__pptx.pdf	10	11	1.030	1.037	0.993	0	0	0.993
1200-Assigning-Club-officers__pptx.pdf	22	22	1.316	1.316	1.000	11	11	1.000
1_Country-Updates_DRC_English__pptx.pdf	29	30	1.301	1.240	1.050	0	0	1.050
2015-Civil-Rights-Website-training__ppt.pdf	411	411	0.042	0.133	0.318	372	0	3.347
30-04-2021 merged NDoH and NICD_Presentation HBV BD meeting 05May2021_1__pptx.pdf	15	15	0.947	0.947	1.000	0	0	1.000
3492__pptx.pdf	81	81	0.922	0.922	1.000	6	6	1.000
429_BLISc 2019 IInd Sem.  PAPER-7 UNIT 3__pptx.pdf	16	16	0.737	0.737	1.000	0	0	1.000
5b_upasana_dasgupta_-_liability_and_registration__pptx.pdf	16	16	0.000	0.000	0.000	16	16	0.000
7-Zulkefli_Part147n66_IKMAS__pptx.pdf	218	236	1.114	1.239	0.899	0	0	0.899
71393_pp7__ppt.pdf	16	16	2.391	2.381	1.004	0	0	1.004
97936__pptx.pdf	49	49	1.357	1.357	1.000	0	0	1.000
AATF-Fact-Sheet-2025__pptx.pdf	18	20	0.664	0.642	1.033	0	0	1.033
Airport Planning 09112013__ppt.pdf	20	25	0.263	0.485	0.541	13	0	1.546
BMFE-06-03 (Gerflor) Smoke Density and Toxicity__pptx.pdf	583	598	0.097	0.200	0.483	538	0	6.263
COMSTAC_11_5_2021am_2__pptx.pdf	25	26	0.650	0.668	0.974	0	0	0.974
Curriculum-Schematic-E22-11052025__pptx.pdf	81	92	1.502	1.420	1.058	0	0	1.058
DOE Interactive Exercise Presentation draft rev 2__pptx.pdf	133	133	1.006	1.006	1.000	0	0	1.000
Demick_JetBlue__pptx.pdf	525	522	0.576	0.573	1.005	174	174	1.002
EG1_dsrc tech__ppt.pdf	146	136	1.326	1.373	0.966	0	0	0.966
Ensemble-pour-l-amelioration-de-la-securite-de-lac-AIRBUS__pptx.pdf	44	47	1.460	1.433	1.019	0	0	1.019
FAAAIandtheArtandScienceofV&Vfinal__pptx.pdf	43	33	0.935	0.970	0.965	10	5	1.066
FIT26-Presentation-PR-Briefing-Debrief-Airbus__pptx.pdf	83	82	1.878	1.895	0.991	0	0	0.991
Fundamentals_Module_1_basics__ppt.pdf	46	46	1.522	1.518	1.003	0	0	1.003
Intersil_Italy_CAN_Bus_Transceiver_Presentation_Final__pptx.pdf	43	42	1.293	1.301	0.993	0	0	0.993
N2_E_Maestroni_Swarm_COP__pptx.pdf	72	72	0.450	0.450	1.000	0	0	1.000
NAS-Infrastructure-Roadmaps-HSI__pptx.pdf	911	917	0.319	0.370	0.861	468	0	1.770
NAS-Infrastructure-Roadmaps-Weather__pptx.pdf	458	463	0.620	0.620	1.000	1	1	1.000
NAS-Infrastructure-Roadmaps-v16.0__pptx.pdf	595	595	0.567	0.573	0.989	38	0	1.056
OnTrac_StarCertificationProgram-3Day__pptx.pdf	125	97	1.039	1.052	0.987	0	0	0.987
PRM_training__pptx.pdf	22	22	0.402	0.402	1.000	0	0	1.000
REDAC Briefing_SSIT_CARA_08132014.ppt__pptx.pdf	67	69	1.387	1.384	1.002	2	2	1.003
REDAC HF briefing Sep 2016_LARD_ATC_TO_FE_v2__pptx.pdf	55	55	0.896	0.896	1.000	0	0	1.000
REDAC briefing March12-13-2014jemvbFINAL.ppt__pptx.pdf	36	40	2.039	2.017	1.011	0	0	1.011
ROK-PI Climate Bulletin - Edition 2017-06__pptx.pdf	48	52	0.903	0.914	0.988	0	0	0.988
RPA P4 - Advanced Material__pptx.pdf	325	326	0.060	0.159	0.377	314	2	11.058
RRM-training-syllabus-Chapter-3-Teamwork-TC-Towing-Incident-Analysis-Dec-2009__ppt.pdf	11	14	2.795	2.397	1.166	0	0	1.166
Reporting_responsibilities_matrix__pptx.pdf	64	57	1.351	1.242	1.088	0	0	1.088
Sean Monogue__pptx.pdf	87	89	1.206	1.208	0.998	0	0	0.998
Sector_Skills_Insights_Advanced_Manufacturing_summary_slide_pack__pptx.pdf	56	48	1.872	2.034	0.920	0	2	0.882
Snowbirds_High_Show__pptx.pdf	182	185	1.138	1.132	1.005	0	0	1.005
Stakeholders-v08052017 - v5__pptx.pdf	13	16	4.084	3.534	1.156	0	0	1.156
Sylva%20introduction%20session__pptx.pdf	25	32	0.971	1.022	0.949	2	0	1.032
Thailand17__ppt.pdf	12	12	1.212	1.213	0.999	0	0	0.999
W3_Case_Study_of_a_Tsunami_Warning_Simulation_Exercise_Ed__ppt.pdf	13	15	1.635	1.595	1.025	0	0	1.025
Wildlife for REDAC September 11__pptx.pdf	57	49	2.020	1.845	1.095	0	0	1.095
airbus-powerpoint-presentation-2019-20-without-video_diy_2019-20__pptx.pdf	24	24	1.758	1.757	1.000	0	0	1.000
architecture6__ppt.pdf	26	26	1.419	1.427	0.995	0	0	0.995
attendance-updates-for-governors__pptx.pdf	23	30	3.005	2.518	1.193	0	0	1.193
bar_chart__pptx.pdf	12	11	0.737	0.737	1.000	0	0	1.000
bitesize-writing-a-report__pptx.pdf	30	34	0.305	0.516	0.591	21	21	0.754
fishbone-diagram-template-ppt-1__pptx.pdf	51	50	1.882	1.903	0.989	0	0	0.989
flying-by-numbers-presentation__pptx.pdf	50	50	0.804	0.804	1.000	0	0	1.000
ghgp-supply-chain-initiative_20100323_wri__pptx.pdf	47	47	1.002	1.002	1.000	0	0	1.000
gillikin_online_user_mtg_2010__ppt.pdf	15	15	2.250	2.239	1.005	0	0	1.005
iaeg_work_group_leader_updates__pptx.pdf	29	29	2.002	2.002	1.000	0	0	1.000
iep-amount-frequency-for-webinar__ppt.pdf	28	28	0.777	0.776	1.001	0	0	1.001
line_chart__pptx.pdf	31	30	0.671	0.669	1.003	15	15	0.972
nabiyeleul_1_aviation_service_28_july_2020__pptx.pdf	34	34	2.625	2.625	1.000	0	0	1.000
outlook_of_nigerian_pension_sector__ppt.pdf	74	66	0.795	1.034	0.769	38	0	1.580
passiv__pptx.pdf	36	43	1.020	0.910	1.122	0	0	1.122
pods05__ppt.pdf	201	203	1.938	1.943	0.997	0	0	0.997
pres_ioc_phuket__ppt.pdf	29	33	3.200	3.003	1.065	0	0	1.065
redac-fullComm-201705-EE-FRs-briefing__pptx.pdf	16	16	0.794	0.794	1.000	0	0	1.000
redac-nasops-201503-RIRP-portfolio-update__pptx.pdf	35	32	0.975	1.004	0.971	2	1	0.997
redac-sas-201703-hf-research-division__pptx.pdf	10	10	1.315	1.315	1.000	0	0	1.000
scatter_chart__pptx.pdf	35	38	0.484	0.446	1.086	12	15	1.000
schematicplay__pptx.pdf	18	24	1.446	1.332	1.085	0	0	1.085
section_1_our_rights_presentation__pptx.pdf	63	77	0.872	0.886	0.985	0	0	0.985
southern-classic-kennesaw-state-university-final__pptx.pdf	105	109	1.067	1.117	0.955	20	14	1.029
