probe                style chain                            size            weight          italic          colour          font            under           strike          caps            align           left            above           below           keep           
p_H1upper_chars      Heading_20_1>Heading>Standard          14pt@Heading    bold@Standard   italic@Standard #ff0000@Standard Liberation Serif@direct -               -               -               -               -               0.1665in@Heading 0.0835in@Heading always@Heading 
p_H1upper_marks      Heading_20_1>Heading>Standard          14pt@Heading    -               -               -               Liberation Serif@direct solid@Standard  solid@Standard  uppercase@Standard -               -               0.1665in@Heading 0.0835in@Heading always@Heading 
p_H1upper_paras      Heading_20_1>Heading>Standard          14pt@Heading    -               -               -               Liberation Serif@direct -               -               -               center@Standard 0.5in@Standard  0.1665in@Heading 0.0835in@Heading always@Heading 
p_H1upper_plain      Heading_20_1>Heading>Standard          14pt@Heading    -               -               -               Liberation Serif@direct -               -               -               -               -               0.1665in@Heading 0.0835in@Heading always@Heading 
p_H1upper_size       Heading_20_1>Heading>Standard          14pt@Heading    -               -               -               Liberation Serif@direct -               -               -               -               -               0.1665in@Heading 0.0835in@Heading always@Heading 
p_bodytext_chars     Text_20_body>Standard                  10pt@Standard   bold@Standard   italic@Standard #ff0000@Standard Liberation Serif@direct -               -               -               -               -               -               -               -              
p_bodytext_marks     Text_20_body>Standard                  10pt@Standard   -               -               -               Liberation Serif@direct solid@Standard  solid@Standard  uppercase@Standard -               -               -               -               -              
p_bodytext_paras     Text_20_body>Standard                  10pt@Standard   -               -               -               Liberation Serif@direct -               -               -               center@Standard 0.5in@Standard  0.278in@Standard 0in@Standard    -              
p_bodytext_plain     Text_20_body>Standard                  10pt@Standard   -               -               -               Liberation Serif@direct -               -               -               -               -               -               -               -              
p_bodytext_size      Text_20_body>Standard                  18pt@Standard   -               -               -               Liberation Serif@direct -               -               -               -               -               -               -               -              
p_h1_chars           Heading_20_1>Heading>Standard          14pt@Heading    bold@Standard   italic@Standard #ff0000@Standard Liberation Serif@direct -               -               -               -               -               0.1665in@Heading 0.0835in@Heading always@Heading 
p_h1_marks           Heading_20_1>Heading>Standard          14pt@Heading    -               -               -               Liberation Serif@direct solid@Standard  solid@Standard  uppercase@Standard -               -               0.1665in@Heading 0.0835in@Heading always@Heading 
p_h1_paras           Heading_20_1>Heading>Standard          14pt@Heading    -               -               -               Liberation Serif@direct -               -               -               center@Standard 0.5in@Standard  0.1665in@Heading 0.0835in@Heading always@Heading 
p_h1_plain           Heading_20_1>Heading>Standard          14pt@Heading    -               -               -               Liberation Serif@direct -               -               -               -               -               0.1665in@Heading 0.0835in@Heading always@Heading 
p_h1_size            Heading_20_1>Heading>Standard          14pt@Heading    -               -               -               Liberation Serif@direct -               -               -               -               -               0.1665in@Heading 0.0835in@Heading always@Heading 
p_h2_chars           Heading_20_2>Heading>Standard          14pt@Heading    bold@Standard   italic@Standard #ff0000@Standard Liberation Serif@direct -               -               -               -               -               0.1665in@Heading 0.0835in@Heading always@Heading 
p_h2_marks           Heading_20_2>Heading>Standard          14pt@Heading    -               -               -               Liberation Serif@direct solid@Standard  solid@Standard  uppercase@Standard -               -               0.1665in@Heading 0.0835in@Heading always@Heading 
p_h2_paras           Heading_20_2>Heading>Standard          14pt@Heading    -               -               -               Liberation Serif@direct -               -               -               center@Standard 0.5in@Standard  0.1665in@Heading 0.0835in@Heading always@Heading 
p_h2_plain           Heading_20_2>Heading>Standard          14pt@Heading    -               -               -               Liberation Serif@direct -               -               -               -               -               0.1665in@Heading 0.0835in@Heading always@Heading 
p_h2_size            Heading_20_2>Heading>Standard          14pt@Heading    -               -               -               Liberation Serif@direct -               -               -               -               -               0.1665in@Heading 0.0835in@Heading always@Heading 
p_h3_chars           Heading_20_3>Heading>Standard          14pt@Heading    bold@Standard   italic@Standard #ff0000@Standard Liberation Serif@direct -               -               -               -               -               0.1665in@Heading 0.0835in@Heading always@Heading 
p_h3_marks           Heading_20_3>Heading>Standard          14pt@Heading    -               -               -               Liberation Serif@direct solid@Standard  solid@Standard  uppercase@Standard -               -               0.1665in@Heading 0.0835in@Heading always@Heading 
p_h3_paras           Heading_20_3>Heading>Standard          14pt@Heading    -               -               -               Liberation Serif@direct -               -               -               center@Standard 0.5in@Standard  0.1665in@Heading 0.0835in@Heading always@Heading 
p_h3_plain           Heading_20_3>Heading>Standard          14pt@Heading    -               -               -               Liberation Serif@direct -               -               -               -               -               0.1665in@Heading 0.0835in@Heading always@Heading 
p_h3_size            Heading_20_3>Heading>Standard          14pt@Heading    -               -               -               Liberation Serif@direct -               -               -               -               -               0.1665in@Heading 0.0835in@Heading always@Heading 
p_h4_chars           Heading_20_4>Heading>Standard          14pt@Heading    bold@Standard   italic@Standard #ff0000@Standard Liberation Serif@direct -               -               -               -               -               0.1665in@Heading 0.0835in@Heading always@Heading 
p_h4_marks           Heading_20_4>Heading>Standard          14pt@Heading    -               -               -               Liberation Serif@direct solid@Standard  solid@Standard  uppercase@Standard -               -               0.1665in@Heading 0.0835in@Heading always@Heading 
p_h4_paras           Heading_20_4>Heading>Standard          14pt@Heading    -               -               -               Liberation Serif@direct -               -               -               center@Standard 0.5in@Standard  0.1665in@Heading 0.0835in@Heading always@Heading 
p_h4_plain           Heading_20_4>Heading>Standard          14pt@Heading    -               -               -               Liberation Serif@direct -               -               -               -               -               0.1665in@Heading 0.0835in@Heading always@Heading 
p_h4_size            Heading_20_4>Heading>Standard          14pt@Heading    -               -               -               Liberation Serif@direct -               -               -               -               -               0.1665in@Heading 0.0835in@Heading always@Heading 
p_h5_chars           Heading_20_5>Heading>Standard          14pt@Heading    bold@Standard   italic@Standard #ff0000@Standard Liberation Serif@direct -               -               -               -               -               0.1665in@Heading 0.0835in@Heading always@Heading 
p_h5_marks           Heading_20_5>Heading>Standard          14pt@Heading    -               -               -               Liberation Serif@direct solid@Standard  solid@Standard  uppercase@Standard -               -               0.1665in@Heading 0.0835in@Heading always@Heading 
p_h5_paras           Heading_20_5>Heading>Standard          14pt@Heading    -               -               -               Liberation Serif@direct -               -               -               center@Standard 0.5in@Standard  0.1665in@Heading 0.0835in@Heading always@Heading 
p_h5_plain           Heading_20_5>Heading>Standard          14pt@Heading    -               -               -               Liberation Serif@direct -               -               -               -               -               0.1665in@Heading 0.0835in@Heading always@Heading 
p_h5_size            Heading_20_5>Heading>Standard          14pt@Heading    -               -               -               Liberation Serif@direct -               -               -               -               -               0.1665in@Heading 0.0835in@Heading always@Heading 
p_h6_chars           Heading_20_6>Heading>Standard          14pt@Heading    bold@Standard   italic@Standard #ff0000@Standard Liberation Serif@direct -               -               -               -               -               0.1665in@Heading 0.0835in@Heading always@Heading 
p_h6_marks           Heading_20_6>Heading>Standard          14pt@Heading    -               -               -               Liberation Serif@direct solid@Standard  solid@Standard  uppercase@Standard -               -               0.1665in@Heading 0.0835in@Heading always@Heading 
p_h6_paras           Heading_20_6>Heading>Standard          14pt@Heading    -               -               -               Liberation Serif@direct -               -               -               center@Standard 0.5in@Standard  0.1665in@Heading 0.0835in@Heading always@Heading 
p_h6_plain           Heading_20_6>Heading>Standard          14pt@Heading    -               -               -               Liberation Serif@direct -               -               -               -               -               0.1665in@Heading 0.0835in@Heading always@Heading 
p_h6_size            Heading_20_6>Heading>Standard          14pt@Heading    -               -               -               Liberation Serif@direct -               -               -               -               -               0.1665in@Heading 0.0835in@Heading always@Heading 
p_h7_chars           Heading_20_7>Heading>Standard          14pt@Heading    bold@Standard   italic@Standard #ff0000@Standard Liberation Serif@direct -               -               -               -               -               0.1665in@Heading 0.0835in@Heading always@Heading 
p_h7_marks           Heading_20_7>Heading>Standard          14pt@Heading    -               -               -               Liberation Serif@direct solid@Standard  solid@Standard  uppercase@Standard -               -               0.1665in@Heading 0.0835in@Heading always@Heading 
p_h7_paras           Heading_20_7>Heading>Standard          14pt@Heading    -               -               -               Liberation Serif@direct -               -               -               center@Standard 0.5in@Standard  0.1665in@Heading 0.0835in@Heading always@Heading 
p_h7_plain           Heading_20_7>Heading>Standard          14pt@Heading    -               -               -               Liberation Serif@direct -               -               -               -               -               0.1665in@Heading 0.0835in@Heading always@Heading 
p_h7_size            Heading_20_7>Heading>Standard          14pt@Heading    -               -               -               Liberation Serif@direct -               -               -               -               -               0.1665in@Heading 0.0835in@Heading always@Heading 
p_h8_chars           Heading_20_8>Heading>Standard          14pt@Heading    bold@Standard   italic@Standard #ff0000@Standard Liberation Serif@direct -               -               -               -               -               0.1665in@Heading 0.0835in@Heading always@Heading 
p_h8_marks           Heading_20_8>Heading>Standard          14pt@Heading    -               -               -               Liberation Serif@direct solid@Standard  solid@Standard  uppercase@Standard -               -               0.1665in@Heading 0.0835in@Heading always@Heading 
p_h8_paras           Heading_20_8>Heading>Standard          14pt@Heading    -               -               -               Liberation Serif@direct -               -               -               center@Standard 0.5in@Standard  0.1665in@Heading 0.0835in@Heading always@Heading 
p_h8_plain           Heading_20_8>Heading>Standard          14pt@Heading    -               -               -               Liberation Serif@direct -               -               -               -               -               0.1665in@Heading 0.0835in@Heading always@Heading 
p_h8_size            Heading_20_8>Heading>Standard          14pt@Heading    -               -               -               Liberation Serif@direct -               -               -               -               -               0.1665in@Heading 0.0835in@Heading always@Heading 
p_h9_chars           Heading_20_9>Heading>Standard          14pt@Heading    bold@Standard   italic@Standard #ff0000@Standard Liberation Serif@direct -               -               -               -               -               0.1665in@Heading 0.0835in@Heading always@Heading 
p_h9_marks           Heading_20_9>Heading>Standard          14pt@Heading    -               -               -               Liberation Serif@direct solid@Standard  solid@Standard  uppercase@Standard -               -               0.1665in@Heading 0.0835in@Heading always@Heading 
p_h9_paras           Heading_20_9>Heading>Standard          14pt@Heading    -               -               -               Liberation Serif@direct -               -               -               center@Standard 0.5in@Standard  0.1665in@Heading 0.0835in@Heading always@Heading 
p_h9_plain           Heading_20_9>Heading>Standard          14pt@Heading    -               -               -               Liberation Serif@direct -               -               -               -               -               0.1665in@Heading 0.0835in@Heading always@Heading 
p_h9_size            Heading_20_9>Heading>Standard          14pt@Heading    -               -               -               Liberation Serif@direct -               -               -               -               -               0.1665in@Heading 0.0835in@Heading always@Heading 
p_headingbare_chars  Heading>Standard                       10pt@Standard   bold@Standard   italic@Standard #ff0000@Standard Liberation Serif@direct -               -               -               -               -               -               -               -              
p_headingbare_marks  Heading>Standard                       10pt@Standard   -               -               -               Liberation Serif@direct solid@Standard  solid@Standard  uppercase@Standard -               -               -               -               -              
p_headingbare_paras  Heading>Standard                       10pt@Standard   -               -               -               Liberation Serif@direct -               -               -               center@Standard 0.5in@Standard  0.278in@Standard 0in@Standard    -              
p_headingbare_plain  Heading>Standard                       10pt@Standard   -               -               -               Liberation Serif@direct -               -               -               -               -               -               -               -              
p_headingbare_size   Heading>Standard                       18pt@Standard   -               -               -               Liberation Serif@direct -               -               -               -               -               -               -               -              
p_quote_chars        Quote                                  -               -               -               -               Liberation Serif@direct -               -               -               -               -               -               -               -              
p_quote_marks        Quote                                  -               -               -               -               Liberation Serif@direct -               -               -               -               -               -               -               -              
p_quote_paras        Quote                                  -               -               -               -               Liberation Serif@direct -               -               -               -               -               -               -               -              
