path	dir	spacing	size	bold	linebreak	overlap	rot	count	index	words	whole	widest	rest	text
sheets/chartset-011/xlsx/028_Budget_summary_report_4aeefd13.xlsx	V	51.6076	10.5000	0	1	0	0.0000	5	0	4	123.8685	41.0445	75.8940	Pretax operating profit (loss)
sheets/chartset-011/xlsx/028_Budget_summary_report_4aeefd13.xlsx	V	51.6076	10.5000	0	1	0	0.0000	5	1	2	64.6169	38.3879	23.9191	SG&A expenses
sheets/chartset-011/xlsx/028_Budget_summary_report_4aeefd13.xlsx	V	51.6076	10.5000	0	1	0	0.0000	5	2	4	104.7689	37.6424	60.1965	Sales from new products
sheets/chartset-011/xlsx/028_Budget_summary_report_4aeefd13.xlsx	V	51.6076	10.5000	0	1	0	0.0000	5	3	2	56.3850	31.1430	22.9320	Gross margin
sheets/chartset-011/xlsx/028_Budget_summary_report_4aeefd13.xlsx	V	47.8047	10.5000	0	1	0	0.0000	6	0	2	87.2655	45.0765	39.8790	Long-term liabilities
sheets/chartset-011/xlsx/028_Budget_summary_report_4aeefd13.xlsx	V	47.8047	10.5000	0	1	0	0.0000	6	1	2	74.4134	39.2069	32.8965	Accounts payable
sheets/chartset-011/xlsx/028_Budget_summary_report_4aeefd13.xlsx	V	47.8047	10.5000	0	1	0	0.0000	6	2	4	132.4469	46.4309	79.7160	Property, plant, and equipment
sheets/chartset-011/xlsx/028_Budget_summary_report_4aeefd13.xlsx	V	47.8047	10.5000	0	1	0	0.0000	6	4	2	84.4828	42.9658	39.2069	Accounts receivable
sheets/chartset-011/xlsx/028_Budget_summary_report_4aeefd13.xlsx	V	47.8047	10.5000	0	1	0	0.0000	6	5	4	88.4414	27.5940	53.9174	Period end cash flow
sheets/chartset-011/xlsx/030_Basic_balance_sheet_Use_this_template_10ed9144.xlsx	V	18.0951	8.0000	0	1	0	0.0000	12	3	2	82.9634	42.7325	37.6084	Accounts receivable
sheets/chartset-011/xlsx/030_Basic_balance_sheet_Use_this_template_10ed9144.xlsx	V	18.0951	8.0000	0	1	0	0.0000	12	4	2	75.5632	39.0263	33.9145	Pre-paid expenses
sheets/chartset-011/xlsx/030_Basic_balance_sheet_Use_this_template_10ed9144.xlsx	V	18.0951	8.0000	0	1	0	0.0000	12	6	3	80.5343	29.7613	45.5281	Total current assets
sheets/chartset-011/xlsx/030_Basic_balance_sheet_Use_this_template_10ed9144.xlsx	V	18.0951	8.0000	0	1	0	0.0000	12	7	3	100.3213	44.6457	50.4306	Property and equipment
sheets/chartset-011/xlsx/030_Basic_balance_sheet_Use_this_template_10ed9144.xlsx	V	18.0951	8.0000	0	1	0	0.0000	12	8	2	104.0395	59.6555	41.7616	Leasehold improvements
sheets/chartset-011/xlsx/030_Basic_balance_sheet_Use_this_template_10ed9144.xlsx	V	18.0951	8.0000	0	1	0	0.0000	12	9	4	122.3400	50.8857	63.5870	Equity and other investments
sheets/chartset-011/xlsx/030_Basic_balance_sheet_Use_this_template_10ed9144.xlsx	V	18.0951	8.0000	0	1	0	0.0000	12	10	3	128.4068	53.5163	69.6456	Less accumulated depreciation
sheets/chartset-011/xlsx/030_Basic_balance_sheet_Use_this_template_10ed9144.xlsx	V	18.0951	8.0000	0	1	0	0.0000	12	11	2	64.2317	35.3487	26.2606	Goodwill assets
sheets/chartset-011/xlsx/030_Basic_balance_sheet_Use_this_template_10ed9144.xlsx	V	23.2431	8.0000	0	1	0	0.0000	9	0	2	73.0657	37.6084	32.8349	Accounts payable
sheets/chartset-011/xlsx/030_Basic_balance_sheet_Use_this_template_10ed9144.xlsx	V	23.2431	8.0000	0	1	0	0.0000	9	1	2	62.5396	33.5035	26.4137	Accrued wages
sheets/chartset-011/xlsx/030_Basic_balance_sheet_Use_this_template_10ed9144.xlsx	V	23.2431	8.0000	0	1	0	0.0000	9	2	2	94.4440	58.3181	33.5035	Accrued compensation
sheets/chartset-011/xlsx/030_Basic_balance_sheet_Use_this_template_10ed9144.xlsx	V	23.2431	8.0000	0	1	0	0.0000	9	3	3	90.7299	32.8349	52.6502	Income taxes payable
sheets/chartset-011/xlsx/030_Basic_balance_sheet_Use_this_template_10ed9144.xlsx	V	23.2431	8.0000	0	1	0	0.0000	9	4	2	76.5864	40.1865	33.7775	Unearned revenue
sheets/chartset-011/xlsx/030_Basic_balance_sheet_Use_this_template_10ed9144.xlsx	V	23.2431	8.0000	0	1	0	0.0000	9	6	2	74.8543	39.3969	32.8349	Mortgage payable
sheets/chartset-011/xlsx/030_Basic_balance_sheet_Use_this_template_10ed9144.xlsx	V	23.2431	8.0000	0	1	0	0.0000	9	7	2	77.0537	46.7284	27.7028	Investment capital
sheets/chartset-011/xlsx/030_Basic_balance_sheet_Use_this_template_10ed9144.xlsx	V	23.2431	8.0000	0	1	0	0.0000	9	8	3	129.2769	53.9594	70.0726	Accumulated retained earnings
sheets/chartset-011/xlsx/042_Business_monthly_budget_4e4d092f.xlsx	H	229.7626	9.0000	0	1	0	0.0000	3	1	2	89.4198	43.9848	42.5742	Personnel expenses
sheets/chartset-011/xlsx/042_Business_monthly_budget_4e4d092f.xlsx	H	229.7626	9.0000	0	1	0	0.0000	3	2	2	90.4306	44.9956	42.5742	Operating expenses
sheets/chartset-011/xlsx/057_Simple_balance_sheet_Use_this_template_e2d4cbb2.xlsx	H	32.0978	9.0000	0	1	0	0.0000	20	3	2	90.5054	46.6171	41.0274	Accounts receivable
sheets/chartset-011/xlsx/057_Simple_balance_sheet_Use_this_template_e2d4cbb2.xlsx	H	32.0978	9.0000	0	1	0	0.0000	20	4	2	82.4326	42.5742	36.9976	Pre-paid expenses
sheets/chartset-011/xlsx/057_Simple_balance_sheet_Use_this_template_e2d4cbb2.xlsx	H	32.0978	9.0000	0	1	0	0.0000	20	6	3	109.4414	48.7046	55.0151	Property and equipment
