path	sha256	pages	glyphs	rc
sheets/ceiling-001/xls/Template Pilot Logbook JAR-FCL V3.0.xls	89ef6a216e8fd87097afcf26192288c29c46f0427b0597f83c71778cbf6d86fe	38	5638	0
sheets/chartset-001/xlsx/001_advanced_excel_bar.xlsx	b9531b46d798b56124b5675c3994831087151d2a867833c78a2b1f5b2dd45c12	3	472	0
sheets/chartset-001/xlsx/002_advanced_excel_line.xlsx	0cc6eb82f498632833c42177eaea556edb6aa5c13781d870f1f810e955ac33a6	3	466	0
sheets/chartset-001/xlsx/005_advanced_excel_area.xlsx	e1ee795ccc9a4cbc0368ffd8b22a848b9545947fd205fe80454a0028a09c6e69	3	447	0
sheets/chartset-001/xlsx/006_advanced_excel_scatter.xlsx	7d1be17cfa319c2c02f79bb927e3908dd8f70c7ecd39cdcd0d4c2ff661944680	3	420	0
sheets/chartset-001/xlsx/016_advanced_excel_radar.xlsx	c66c94ded044ea87a8d342e9bb5e5650369eab7b4f25c7112652ab563adab4b1	3	422	0
sheets/chartset-001/xlsx/022_advanced_excel_scatter.xlsx	8b3cb91f5e3883c837640a951cca4b75124d2e3ec19a9a22381c39f3d57195c4	3	422	0
sheets/chartset-001/xlsx/025_advanced_excel_bar.xlsx	d02c75d5f19ea3c3089f402b1f42fa1ff54b52ff321b42214ab2879642cd55c8	3	440	0
sheets/chartset-001/xlsx/028_advanced_excel_doughnut.xlsx	dde455d7984e0ef5e3e8655b23a352f72b651971549286fc7f557a062797a038	3	374	0
sheets/chartset-001/xlsx/032_advanced_excel_radar.xlsx	ce518ff885cf6003720a9ff0c155761a8f36379ae229b2cd43991110417a6a83	3	412	0
sheets/chartset-001/xlsx/033_advanced_excel_bar.xlsx	f466f091ad39d454ecd9c11c2e13f46cc9ccc3b873a6ab4ff092836711d35b66	3	454	0
sheets/chartset-002/xlsx/003_advanced_excel_pie.xlsx	0423fa7b622fb161ebbaecc25597e35112e885096ed8d3a7c6d61b7eec467b46	3	479	0
sheets/chartset-002/xlsx/007_advanced_excel_bubble.xlsx	6f366ab522088151455768651899bd6ab0e5c0766775e9d13b328219554e47f9	3	418	0
sheets/chartset-002/xlsx/011_advanced_excel_pie.xlsx	441c146a54a805bed65555e2b7e952a1bfaa161051703f9a7925df21fdd5576a	3	457	0
sheets/chartset-002/xlsx/012_advanced_excel_doughnut.xlsx	0b0f41bf5da1f34ee60f2253ba0a65a38b25d5063251d57f0dc4926b3b27c2e6	3	400	0
sheets/chartset-002/xlsx/013_advanced_excel_area.xlsx	686b0ded13bad00a01b54d719399202ba590a1e3050a5fe29a643777400ba397	3	433	0
sheets/chartset-002/xlsx/021_advanced_excel_area.xlsx	85e598ab873805bb92e21bb08f190f6695101f5dd2adaf204a8794f3051fe77a	3	455	0
sheets/chartset-002/xlsx/026_advanced_excel_line.xlsx	086396ccd12c67c1d3c95704998657b2a56d1e38373df6052adba8169f1c89f3	3	454	0
sheets/chartset-002/xlsx/027_advanced_excel_pie.xlsx	4b12324dd702a144c7c52d42b6aafc7579078a055517e4c6b523e318d3d3141a	3	451	0
sheets/chartset-002/xlsx/030_advanced_excel_scatter.xlsx	d118336c68a6d1c56bf35eec60ac3c9d7ed3bb57e7b6b8e881f6d1dd11af15d1	3	421	0
sheets/chartset-002/xlsx/034_advanced_excel_line.xlsx	494b8a0d1fad991ade75571332d46ae068cc1e0eb34367d231da71353a1f539c	3	465	0
sheets/chartset-003/xlsx/004_advanced_excel_doughnut.xlsx	373c26b734f07d3a72db8f3363b434b62e8d3dd735ad48e10be8c87bb027becf	3	375	0
sheets/chartset-003/xlsx/008_advanced_excel_radar.xlsx	ae95c620fd911fd8253262520d0de63eb9d92d7ba118586fe01d93640f08fae1	3	415	0
sheets/chartset-003/xlsx/014_advanced_excel_scatter.xlsx	98ece8b0498d9ea5915ef349a85d02b6cd0a8c2ccb80de737d97e61a8def1493	3	432	0
sheets/chartset-003/xlsx/015_advanced_excel_bubble.xlsx	be4d292ae88514c85c66fbe796466a1e5e5ef9fa4de9e979ecfd094d9d5ca3ce	3	428	0
sheets/chartset-003/xlsx/017_advanced_excel_bar.xlsx	6e2ab4d689bb8b1d9c62dc8b7955264ffe6d8763453cebb8b26e9ba34f9bb8bf	3	488	0
sheets/chartset-003/xlsx/018_advanced_excel_line.xlsx	4fcb3dfcc62f9db23e5b5b7bb6aaa1abd166ffdbc849ae5dc71d641acffde1ed	3	447	0
sheets/chartset-003/xlsx/020_advanced_excel_doughnut.xlsx	5fb505a284b545d7a02d4e715617e0d0b87072575241a8609fe0a6461c270f2a	3	374	0
sheets/chartset-003/xlsx/024_advanced_excel_radar.xlsx	ba8e558ea5ea4315a699bcf174369696f49e7c842ece95e7b3706ded37312127	3	423	0
sheets/chartset-003/xlsx/029_advanced_excel_area.xlsx	c35816de30708c6dc6c822890d559b33c691cc83e7acfd36768631dbf635a9a0	3	444	0
sheets/chartset-003/xlsx/031_advanced_excel_bubble.xlsx	50a5aaa18e5d082e9deda91e185f3de16ff77b23930d64f474e35255aa1b1f52	3	404	0
sheets/chartset-004/xlsx/009_advanced_excel_bar.xlsx	b62c810664cd412967cb2cca05e62b45971ad6a3d79c07fa958f8c161b71c14c	3	495	0
