path	banked	now	pages_ref	glyphs_ref	pages_ours	glyphs_ours	unemb
sheets/done-005/xls/Praktikastellen_-_chinesischsprachiger_Kulturraum.xls	match	match	34	12164	34	12112	0
sheets/done-005/xls/apron-area.xls	match	match	3	1814	3	1814	0
sheets/done-005/xlsx/june_2025_published.xlsx	match	match	15	90883	15	90883	0
sheets/done-006/xls/WG7_NCWF_Skills_Table.XLS	match	match	44	60914	44	60901	0
sheets/done-006/xls/Hazard Analysis Template.xls	match	match	3	3313	3	3309	0
sheets/done-006/xls/ZenithAviation_AuctionList.xls	match	match	33	34246	33	34246	0
sheets/done-006/xlsx/SSRO_Quarterly_Statistical_Bulletin_Q3201617_DATA.xlsx	match	match	4	2849	4	2798	0
sheets/done-006/xlsx/register-changes-in-may-2024---adujsted.xlsx	match	match	10	4782	10	4782	0
sheets/done-006/xlsx/Infotabelle_WLAN im Flugzeug.xlsx	words	words	4	2234	4	2025	0
sheets/done-006/xlsx/Published_Issuances_2024.xlsx	words	words	1	4064	1	4294	0
sheets/done-006/xlsx/dragon-175066A.xlsx	match	match	13	53149	13	53149	0
sheets/done-006/xlsx/AFS-400_Contacts.xlsx	match	match	48	43685	48	43685	0
sheets/done-006/xlsx/Performance.xlsx	words	words	13	7439	13	7270	0
sheets/done-007/xlsx/ecopy of 2016 statistical bulletin_public finance statistics_final.xlsx	match	match	17	25548	17	25528	0
sheets/done-007/xls/CSA_CCM_v1.2.xls	match	match	13	73399	13	73416	0
sheets/done-007/xlsx/jobs-bulletin-51-22-december-2025.xlsx	match	match	12	10093	12	10033	0
sheets/done-007/xlsx/114339-PROP-P127508-PUBLIC-PPCRNARCPPforPublication.xlsx	match	match	21	14213	21	14213	0
sheets/done-007/xlsx/wiley-cancelled-title-list.xlsx	match	match	60	56700	60	56700	0
sheets/done-007/xlsx/National-Finalists-2024-1.xlsx	match	match	30	27258	30	27258	0
sheets/done-007/xlsx/essd-16-3433-2024-t02.xlsx	words	words	4	5403	4	2346	0
sheets/done-007/xlsx/hdss-bulletin-index-2019-2022.xlsx	match	match	24	18407	24	18341	0
sheets/done-007/xls/ACRONYM.xls	match	match	69	61586	69	61586	0
sheets/done-007/xlsx/SLSA_Directory_031423.xlsx	match	match	10	28339	10	28238	0
sheets/done-008/xlsx/RVSM_Non_approved_list_2025_84c0b3f4ac.xlsx	match	match	2	2206	2	2205	0
sheets/done-008/xlsx/template-ECSPR-notifications.xlsx	match	match	26	1288	26	1288	0
sheets/done-008/xls/Liste-Zertifizierung-ChemKlimaschutzV-RPT.xls	match	match	5	8638	5	8638	0
sheets/done-008/xls/data_20121018181533.xls	match	match	57	57017	57	57017	0
sheets/done-008/xlsx/Computer and Software Services_50 State Comparison.xlsx	match	match	26	13369	26	13368	0
sheets/done-008/xlsx/commander-authorisation-tasks-spreadsheet-october-2025.xlsx	match	match	23	65750	23	65750	0
sheets/done-008/xlsx/2015-19 top 25 Arms producing companies data - to upload on website - FINAL_edit.xlsx	words	words	19	14433	19	12974	0
sheets/done-008/xlsx/Company_Seniority_Date_Calculator.xlsx	words	words	12	16725	12	16107	0
sheets/done-008/xlsx/airports_6.xlsx	match	match	17	58811	17	58811	0
sheets/done-008/xlsx/TDA_Smoke-Detectors.xlsx	match	match	28	18141	28	18138	0
sheets/done-009/xls/6f9e605c-fded-11e3-bd0e-00144feab7de.xls	match	match	16	32397	16	32397	0
sheets/done-009/xlsx/PBN Matrix NAAs (V01).xlsx	match	match	25	28210	25	28329	0
sheets/done-009/xlsx/sistem-rekod-markah-srm-_-rekod-master.xlsx	words	words	31	16300	31	15175	0
sheets/done-009/xlsx/Aviation_Abbreviations.xlsx	match	match	94	92850	94	92850	0
sheets/done-009/xlsx/RegChangeReport.xlsx	match	match	12	17685	12	17685	0
sheets/done-009/xlsx/State-Medicaid-Payment-Policies-for-Medicare-Cost-Sharing.xlsx	match	match	18	233718	18	233524	0
sheets/done-009/xls/cy01_state.xls	match	match	36	84648	36	84656	0
sheets/done-009/xls/INDEX_Digital_Transformation_Toolkits.xls	match	match	24	14956	24	14956	0
