path	pages_ref	pages_before	pages_after	mean_before	mean_after	worst_before	worst_after	worstpage
sheets/chartset-006/xlsx/006_Contextures_chart_sample_afa23b53.xlsx	5	5	5	0.442	0.561	1.207	1.298	3
sheets/chartset-006/xlsx/052_Manufacturing_output_chart_88570318.xlsx	1	1	1	4.069	4.065	4.069	4.065	1
sheets/chartset-007/xlsx/037_Personal_money_tracker_a57957bb.xlsx	5	5	5	4.069	3.898	7.743	7.743	3
sheets/chartset-008/xlsx/046_Cost_analysis_with_Pareto_chart_7db5ef69.xlsx	1	1	1	0.338	0.449	0.338	0.449	1
sheets/chartset-008/xlsx/055_Project_timeline_with_milestones_Use_this_template_546cecc0.xlsx	2	2	2	1.849	1.900	3.515	3.617	1
sheets/chartset-009/xlsx/056_Quarterly_sale_report_baa6bb0d.xlsx	4	4	4	0.683	0.279	1.960	0.529	3
sheets/chartset-010/xlsx/065_Weight_loss_tracker_ff1c89af.xlsx	2	2	2	46.863	46.831	72.318	72.318	2
sheets/chartset-011/xlsx/057_Simple_balance_sheet_Use_this_template_e2d4cbb2.xlsx	3	3	3	3.759	2.665	9.851	6.567	3
sheets/chartset-011/xlsx/060_Monthly_company_budget_47b2a99a.xlsx	4	4	4	7.052	7.043	14.106	14.106	4
sheets/chartset-012/xlsx/026_Monthly_cash_flow_statement_Use_this_template_8aaebea1.xlsx	11	11	11	1.044	1.022	6.760	6.518	7
sheets/chartset-013/xlsx/001_Contextures_chart_sample_b089bc34.xlsx	15	15	15	0.448	0.451	3.854	3.913	8
sheets/chartset-013/xlsx/019_Free_Blood_Sugar_Chart_for_Excel_-_Track_Your_Blood_Sugar_Level_36f4a782.xlsx	9	9	9	5.314	5.261	14.785	15.008	1
sheets/chartset-013/xlsx/059_Milestone_and_task_project_timeline_Use_this_template_24f1e8f1.xlsx	3	3	3	4.114	4.326	7.181	7.815	1
sheets/done-010/xlsx/Keywords_Mapping_Graphs_and_Charts.xlsx	46	46	46	1.867	1.941	5.484	5.484	27
slides/ceiling-001/pptx/N2_E_Maestroni_Swarm_COP.pptx	30	30	30	3.827	3.682	34.977	30.617	7
slides/ceiling-002/pptx/8_P-Pavese_AIRBUS-ATB-journee-CRATB.pptx	26	26	26	4.349	4.419	17.372	17.372	13
slides/chart-001/pptx/southern-classic-kennesaw-state-university-final.pptx	23	23	23	4.540	4.523	9.958	9.958	20
slides/done-011/pptx/171128IPAP.pptx	40	40	40	5.313	5.199	14.082	14.082	40
words/chartset-009/docx/027_Unit_Circle_Chart_Graphical_Chart_5462a579.docx	1	1	1	12.948	11.864	12.948	11.864	1
words/chartset-012/docx/021_Unit_Circle_Chart_3D_Pie_Chart_404247ab.docx	1	1	1	12.202	11.999	12.202	11.999	1
